id,objectType,posType,nextState,serverSubTaskId,objectParam
20111010,4,2,,,
20111020,13,0,,,20111020
20111021,3,2,,,401312
20111022,3,2,,,401313
20112010,4,2,,,
20112020,13,0,,,20112020
20112021,3,2,,,401314
20112022,3,2,,,401315
20112031,9,1,20112032,,
20112032,1,2,,,4013198
20113010,4,2,,,
20113020,13,0,,,20113020
20113021,3,2,,,401316
20113022,3,2,,,401317
20113031,9,1,20113032,,
20113032,1,2,,,4013197
20201011,6,2,202010112,2020104,
20201031,2,2,,,402331
20201032,11,2,,,
20201041,2,2,,,402317
20201051,12,2,,,
20202011,4,2,,,
20202021,2,2,,,402318
20202022,2,2,,,402319
20202031,2,2,,,402320
20202032,2,2,,,402321
20202033,2,2,,,402322
20202041,2,2,,,402323
20202051,2,2,,,402324
20203011,2,2,,,402325
20203021,2,2,,,402326
20204011,12,2,202040111,2020402,
20204021,6,2,202040211,2020401,
20204031,2,2,,,402327
20205011,2,2,,,402328
20205021,6,2,202050211,2020502,
20205022,6,2,202050221,2020502,
20205031,2,2,,,402406
20206011,2,2,,,402329
20207021,2,2,,,402405
20207041,4,2,,,
20208011,4,2,,,
20208031,2,2,,,402330
20208041,4,2,,,
102040121,12,2,,,
102040131,12,2,,,
102070411,12,2,102070412,,
102070412,12,2,,,
102070421,12,2,102070422,,
102070422,12,2,,,
102070431,12,2,102070432,,
102070432,12,2,,,
102090121,12,2,,1020901,
102090131,12,2,,1020901,
102090141,12,2,,1020901,
102090211,12,2,,,
102090221,12,2,,,
102090231,12,2,,,
202010112,12,2,,,
202040111,12,2,,2020402,
202040211,12,2,,2020401,
202050211,12,2,,,
202050221,12,2,,,
