id,commit,address,reward1
63,7-12,Assets/Config/ScenarioDatas/Chapter7/VN7_12_1.asset,
64,7-14,Assets/Config/ScenarioDatas/Chapter7/VN7_14_1.asset,
65,7-22开场,Assets/Config/ScenarioDatas/Chapter7/VN7_22_1.asset,
66,7-22结束,Assets/Config/ScenarioDatas/Chapter7/VN7_22_2.asset,
67,7章彩蛋,Assets/Config/ScenarioDatas/Chapter7/VN7_22_3.asset,
68,8-1开场,Assets/Config/ScenarioDatas/Chapter8/VN8_1_1.asset,
69,8-1结束,Assets/Config/ScenarioDatas/Chapter8/VN8_1_2.asset,
70,8-3,Assets/Config/ScenarioDatas/Chapter8/VN8_3_1.asset,
71,8-5,Assets/Config/ScenarioDatas/Chapter8/VN8_5_1.asset,
72,8-7,Assets/Config/ScenarioDatas/Chapter8/VN8_7_1.asset,
73,8-9,Assets/Config/ScenarioDatas/Chapter8/VN8_9_1.asset,
74,8-11开场,Assets/Config/ScenarioDatas/Chapter8/VN8_11_1.asset,
75,8-11结束,Assets/Config/ScenarioDatas/Chapter8/VN8_11_2.asset,
76,8-13,Assets/Config/ScenarioDatas/Chapter8/VN8_13_1.asset,
77,8-15,Assets/Config/ScenarioDatas/Chapter8/VN8_15_1.asset,
78,8-17,Assets/Config/ScenarioDatas/Chapter8/VN8_17_1.asset,
79,8-19开场,Assets/Config/ScenarioDatas/Chapter8/VN8_19_1.asset,
80,8-19结束,Assets/Config/ScenarioDatas/Chapter8/VN8_19_2.asset,
81,8-22开场,Assets/Config/ScenarioDatas/Chapter8/VN8_22_1.asset,
82,8-22结束,Assets/Config/ScenarioDatas/Chapter8/VN8_22_2.asset,
83,9-1开场,Assets/Config/ScenarioDatas/Chapter9/VN9_1_1.asset,
84,9-1结束,Assets/Config/ScenarioDatas/Chapter9/VN9_1_2.asset,
85,9-5,Assets/Config/ScenarioDatas/Chapter9/VN9_5_1.asset,
86,9-9,Assets/Config/ScenarioDatas/Chapter9/VN9_9_1.asset,
87,9-13,Assets/Config/ScenarioDatas/Chapter9/VN9_13_1.asset,
88,9-22开场,Assets/Config/ScenarioDatas/Chapter9/VN9_22_1.asset,
89,9-22结束,Assets/Config/ScenarioDatas/Chapter9/VN9_22_2.asset,
90,9章彩蛋,Assets/Config/ScenarioDatas/Chapter9/VN9_22_3.asset,
91,10-1,Assets/Config/ScenarioDatas/Chapter10/VN10_1_1.asset,
92,10-2,Assets/Config/ScenarioDatas/Chapter10/VN10_2_1.asset,
93,10-5,Assets/Config/ScenarioDatas/Chapter10/VN10_5_1.asset,
94,10-8,Assets/Config/ScenarioDatas/Chapter10/VN10_8_1.asset,
95,10-11,Assets/Config/ScenarioDatas/Chapter10/VN10_11_1.asset,
96,10-14,Assets/Config/ScenarioDatas/Chapter10/VN10_14_1.asset,
97,10-19开场,Assets/Config/ScenarioDatas/Chapter10/VN10_19_1.asset,
98,10-19结束,Assets/Config/ScenarioDatas/Chapter10/VN10_19_2.asset,
99,10-20,Assets/Config/ScenarioDatas/Chapter10/VN10_20_1.asset,
100,10-22开场,Assets/Config/ScenarioDatas/Chapter10/VN10_22_1.asset,
101,10-22结束,Assets/Config/ScenarioDatas/Chapter10/VN10_22_2.asset,
102,11-1开场,Assets/Config/ScenarioDatas/Chapter11/VN11_1_1.asset,
103,11-1结束,Assets/Config/ScenarioDatas/Chapter11/VN11_1_2.asset,
104,11-2,Assets/Config/ScenarioDatas/Chapter11/VN11_2_1.asset,
105,11-6开场,Assets/Config/ScenarioDatas/Chapter11/VN11_6_1.asset,
106,11-6结束,Assets/Config/ScenarioDatas/Chapter11/VN11_6_2.asset,
107,11-7,Assets/Config/ScenarioDatas/Chapter11/VN11_7_1.asset,
108,11-10开场,Assets/Config/ScenarioDatas/Chapter11/VN11_10_1.asset,
109,11-10结束,Assets/Config/ScenarioDatas/Chapter11/VN11_10_2.asset,
110,11-11,Assets/Config/ScenarioDatas/Chapter11/VN11_11_1.asset,
111,11-15,Assets/Config/ScenarioDatas/Chapter11/VN11_15_1.asset,
112,11-16,Assets/Config/ScenarioDatas/Chapter11/VN11_16_1.asset,
113,11-20,Assets/Config/ScenarioDatas/Chapter11/VN11_20_1.asset,
114,11-21,Assets/Config/ScenarioDatas/Chapter11/VN11_21_1.asset,
115,11-25开场,Assets/Config/ScenarioDatas/Chapter11/VN11_25_1.asset,
116,11-25结束,Assets/Config/ScenarioDatas/Chapter11/VN11_25_2.asset,
117,12-1,Assets/Config/ScenarioDatas/Chapter12/VN12_1_1.asset,
118,12-5,Assets/Config/ScenarioDatas/Chapter12/VN12_5_1.asset,
119,12-11,Assets/Config/ScenarioDatas/Chapter12/VN12_11_1.asset,
120,12-17,Assets/Config/ScenarioDatas/Chapter12/VN12_17_1.asset,
121,12-18,Assets/Config/ScenarioDatas/Chapter12/VN12_18_1.asset,
122,12-19,Assets/Config/ScenarioDatas/Chapter12/VN12_19_1.asset,
123,12-25开场,Assets/Config/ScenarioDatas/Chapter12/VN12_25_1.asset,
124,12-25结束,Assets/Config/ScenarioDatas/Chapter12/VN12_25_2.asset,
125,12章彩蛋,Assets/Config/ScenarioDatas/Chapter12/VN12_25_3.asset,

1010099,,Assets/Config/ScenarioDatas/YGGDRASIL/1010099.asset,
1010100,,Assets/Config/ScenarioDatas/YGGDRASIL/1010100.asset,
1010101,,Assets/Config/ScenarioDatas/YGGDRASIL/1010101.asset,
1010102,,Assets/Config/ScenarioDatas/YGGDRASIL/1010102.asset,
1010201,,Assets/Config/ScenarioDatas/YGGDRASIL/1010201.asset,
1010202,,Assets/Config/ScenarioDatas/YGGDRASIL/1010202.asset,
1010203,,Assets/Config/ScenarioDatas/YGGDRASIL/1010203.asset,
1010300,,Assets/Config/ScenarioDatas/YGGDRASIL/1010300.asset,
1010301,,Assets/Config/ScenarioDatas/YGGDRASIL/1010301.asset,
1010302,,Assets/Config/ScenarioDatas/YGGDRASIL/1010302.asset,
1010303,,Assets/Config/ScenarioDatas/YGGDRASIL/1010303.asset,
1010304,,Assets/Config/ScenarioDatas/YGGDRASIL/1010304.asset,
1010399,,Assets/Config/ScenarioDatas/YGGDRASIL/1010399.asset,
1010400,,Assets/Config/ScenarioDatas/YGGDRASIL/1010400.asset,
1010402,,Assets/Config/ScenarioDatas/YGGDRASIL/1010402.asset,
1010499,,Assets/Config/ScenarioDatas/YGGDRASIL/1010499.asset,
1020101,,Assets/Config/ScenarioDatas/YGGDRASIL/1020101.asset,
1020199,,Assets/Config/ScenarioDatas/YGGDRASIL/1020199.asset,
1020201,,Assets/Config/ScenarioDatas/YGGDRASIL/1020201.asset,
1020299,,Assets/Config/ScenarioDatas/YGGDRASIL/1020299.asset,
1020301,,Assets/Config/ScenarioDatas/YGGDRASIL/1020301.asset,
1020302,,Assets/Config/ScenarioDatas/YGGDRASIL/1020302.asset,
1020401,,Assets/Config/ScenarioDatas/YGGDRASIL/1020401.asset,
1020402,,Assets/Config/ScenarioDatas/YGGDRASIL/1020402.asset,
1020499,,Assets/Config/ScenarioDatas/YGGDRASIL/1020499.asset,
1020501,,Assets/Config/ScenarioDatas/YGGDRASIL/1020501.asset,
1020502,,Assets/Config/ScenarioDatas/YGGDRASIL/1020502.asset,
1020503,,Assets/Config/ScenarioDatas/YGGDRASIL/1020503.asset,
1020504,,Assets/Config/ScenarioDatas/YGGDRASIL/1020504.asset,
1020505,,Assets/Config/ScenarioDatas/YGGDRASIL/1020505.asset,
1020599,,Assets/Config/ScenarioDatas/YGGDRASIL/1020599.asset,
1020601,,Assets/Config/ScenarioDatas/YGGDRASIL/1020601.asset,
1020602,,Assets/Config/ScenarioDatas/YGGDRASIL/1020602.asset,
1020603,,Assets/Config/ScenarioDatas/YGGDRASIL/1020603.asset,
1020699,,Assets/Config/ScenarioDatas/YGGDRASIL/1020699.asset,
1020701,,Assets/Config/ScenarioDatas/YGGDRASIL/1020701.asset,
1020702,,Assets/Config/ScenarioDatas/YGGDRASIL/1020702.asset,
1020703,,Assets/Config/ScenarioDatas/YGGDRASIL/1020703.asset,
1020799,,Assets/Config/ScenarioDatas/YGGDRASIL/1020799.asset,
1020801,,Assets/Config/ScenarioDatas/YGGDRASIL/1020801.asset,
1020802,,Assets/Config/ScenarioDatas/YGGDRASIL/1020802.asset,
1020803,,Assets/Config/ScenarioDatas/YGGDRASIL/1020803.asset,
1020804,,Assets/Config/ScenarioDatas/YGGDRASIL/1020804.asset,
1020899,,Assets/Config/ScenarioDatas/YGGDRASIL/1020899.asset,

2010100,,Assets/Config/ScenarioDatas/YGGDRASIL/2010100.asset,
2010101,,Assets/Config/ScenarioDatas/YGGDRASIL/2010101.asset,
2010102,,Assets/Config/ScenarioDatas/YGGDRASIL/2010102.asset,
2010103,,Assets/Config/ScenarioDatas/YGGDRASIL/2010103.asset,
2010104,,Assets/Config/ScenarioDatas/YGGDRASIL/2010104.asset,
2010105,,Assets/Config/ScenarioDatas/YGGDRASIL/2010105.asset,
2010106,,Assets/Config/ScenarioDatas/YGGDRASIL/2010106.asset,
2010199,,Assets/Config/ScenarioDatas/YGGDRASIL/2010199.asset,
2010200,,Assets/Config/ScenarioDatas/YGGDRASIL/2010200.asset,
2010201,,Assets/Config/ScenarioDatas/YGGDRASIL/2010201.asset,
2010202,,Assets/Config/ScenarioDatas/YGGDRASIL/2010202.asset,
2010299,,Assets/Config/ScenarioDatas/YGGDRASIL/2010299.asset,
2010300,,Assets/Config/ScenarioDatas/YGGDRASIL/2010300.asset,
2010399,,Assets/Config/ScenarioDatas/YGGDRASIL/2010399.asset,
2010400,,Assets/Config/ScenarioDatas/YGGDRASIL/2010400.asset,
2010499,,Assets/Config/ScenarioDatas/YGGDRASIL/2010499.asset,
2010500,,Assets/Config/ScenarioDatas/YGGDRASIL/2010500.asset,
2010599,,Assets/Config/ScenarioDatas/YGGDRASIL/2010599.asset,
2010600,,Assets/Config/ScenarioDatas/YGGDRASIL/2010600.asset,
2010601,,Assets/Config/ScenarioDatas/YGGDRASIL/2010601.asset,
2010602,,Assets/Config/ScenarioDatas/YGGDRASIL/2010602.asset,
2010699,,Assets/Config/ScenarioDatas/YGGDRASIL/2010699.asset,
2010700,,Assets/Config/ScenarioDatas/YGGDRASIL/2010700.asset,
2010701,,Assets/Config/ScenarioDatas/YGGDRASIL/2010701.asset,
2010702,,Assets/Config/ScenarioDatas/YGGDRASIL/2010702.asset,
2010703,,Assets/Config/ScenarioDatas/YGGDRASIL/2010703.asset,
2010799,,Assets/Config/ScenarioDatas/YGGDRASIL/2010799.asset,
2010801,,Assets/Config/ScenarioDatas/YGGDRASIL/2010801.asset,
2010899,,Assets/Config/ScenarioDatas/YGGDRASIL/2010899.asset,
2010901,,Assets/Config/ScenarioDatas/YGGDRASIL/2010901.asset,
2010902,,Assets/Config/ScenarioDatas/YGGDRASIL/2010902.asset,
2010999,,Assets/Config/ScenarioDatas/YGGDRASIL/2010999.asset,
2011001,,Assets/Config/ScenarioDatas/YGGDRASIL/2011001.asset,
2011002,,Assets/Config/ScenarioDatas/YGGDRASIL/2011002.asset,
2011099,,Assets/Config/ScenarioDatas/YGGDRASIL/2011099.asset,
2020100,,Assets/Config/ScenarioDatas/YGGDRASIL/2020100.asset,
2020101,,Assets/Config/ScenarioDatas/YGGDRASIL/2020101.asset,
2020102,,Assets/Config/ScenarioDatas/YGGDRASIL/2020102.asset,
2020103,,Assets/Config/ScenarioDatas/YGGDRASIL/2020103.asset,
2020104,,Assets/Config/ScenarioDatas/YGGDRASIL/2020104.asset,
2020105,,Assets/Config/ScenarioDatas/YGGDRASIL/2020105.asset,
2020199,,Assets/Config/ScenarioDatas/YGGDRASIL/2020199.asset,
2020200,,Assets/Config/ScenarioDatas/YGGDRASIL/2020200.asset,
2020201,,Assets/Config/ScenarioDatas/YGGDRASIL/2020201.asset,
2020202,,Assets/Config/ScenarioDatas/YGGDRASIL/2020202.asset,
2020203,,Assets/Config/ScenarioDatas/YGGDRASIL/2020203.asset,
2020204,,Assets/Config/ScenarioDatas/YGGDRASIL/2020204.asset,
2020205,,Assets/Config/ScenarioDatas/YGGDRASIL/2020205.asset,
2020299,,Assets/Config/ScenarioDatas/YGGDRASIL/2020299.asset,
2020300,,Assets/Config/ScenarioDatas/YGGDRASIL/2020300.asset,
2020301,,Assets/Config/ScenarioDatas/YGGDRASIL/2020301.asset,
2020302,,Assets/Config/ScenarioDatas/YGGDRASIL/2020302.asset,
2020399,,Assets/Config/ScenarioDatas/YGGDRASIL/2020399.asset,
2020400,,Assets/Config/ScenarioDatas/YGGDRASIL/2020400.asset,
2020401,,Assets/Config/ScenarioDatas/YGGDRASIL/2020401.asset,
2020499,,Assets/Config/ScenarioDatas/YGGDRASIL/2020499.asset,
2020500,,Assets/Config/ScenarioDatas/YGGDRASIL/2020500.asset,
2020501,,Assets/Config/ScenarioDatas/YGGDRASIL/2020501.asset,
2020502,,Assets/Config/ScenarioDatas/YGGDRASIL/2020502.asset,
2020599,,Assets/Config/ScenarioDatas/YGGDRASIL/2020599.asset,
2020600,,Assets/Config/ScenarioDatas/YGGDRASIL/2020600.asset,
2020601,,Assets/Config/ScenarioDatas/YGGDRASIL/2020601.asset,
2020699,,Assets/Config/ScenarioDatas/YGGDRASIL/2020699.asset,
2020700,,Assets/Config/ScenarioDatas/YGGDRASIL/2020700.asset,
2020701,,Assets/Config/ScenarioDatas/YGGDRASIL/2020701.asset,
2020702,,Assets/Config/ScenarioDatas/YGGDRASIL/2020702.asset,
2020703,,Assets/Config/ScenarioDatas/YGGDRASIL/2020703.asset,
2020799,,Assets/Config/ScenarioDatas/YGGDRASIL/2020799.asset,
2020800,,Assets/Config/ScenarioDatas/YGGDRASIL/2020800.asset,
2020801,,Assets/Config/ScenarioDatas/YGGDRASIL/2020801.asset,
2020802,,Assets/Config/ScenarioDatas/YGGDRASIL/2020802.asset,
2020803,,Assets/Config/ScenarioDatas/YGGDRASIL/2020803.asset,
2020899,,Assets/Config/ScenarioDatas/YGGDRASIL/2020899.asset,
10102031,,Assets/Config/ScenarioDatas/YGGDRASIL/10102031.asset,
10102032,,Assets/Config/ScenarioDatas/YGGDRASIL/10102032.asset,
10103031,,Assets/Config/ScenarioDatas/YGGDRASIL/10103031.asset,

20501,公会接待员,Assets/Config/ScenarioDatas/YGGDRASIL/20501.asset,
20511,士兵,Assets/Config/ScenarioDatas/YGGDRASIL/20511.asset,
20521,商人,Assets/Config/ScenarioDatas/YGGDRASIL/20521.asset,
20401,安莉,Assets/Config/ScenarioDatas/YGGDRASIL/20401.asset,
20411,恩菲雷亚,Assets/Config/ScenarioDatas/YGGDRASIL/20411.asset,
20421,哥布林队长,Assets/Config/ScenarioDatas/YGGDRASIL/20421.asset,
10071,亚乌菈,Assets/Config/ScenarioDatas/YGGDRASIL/10071.asset,
30031,扎里尤斯,Assets/Config/ScenarioDatas/YGGDRASIL/30031.asset,
30041,沙斯林,Assets/Config/ScenarioDatas/YGGDRASIL/30041.asset,
30051,库鲁雪,Assets/Config/ScenarioDatas/YGGDRASIL/30051.asset,
30061,泽伯鲁,Assets/Config/ScenarioDatas/YGGDRASIL/30061.asset,
30071,斯修·乔乔,Assets/Config/ScenarioDatas/YGGDRASIL/30071.asset,
30081,休古·兹兹,Assets/Config/ScenarioDatas/YGGDRASIL/30081.asset,
