id,rewardsIdAndCnt,unlockCondition,probability,times,currencies,realPrice
1615002,1615002:1,1:1,1,-1,2,15
1615003,1615003:1,1:1,1,-1,2,25
1615004,1615004:1,1:1,1,-1,2,45
1615005,1615005:1,1:1,1,-1,2,180
1615006,1615006:1,1:1,1,-1,2,260
1610002,1610002:1,1:1,1,-1,2,60
1610004,1610004:1,1:1,1,-1,2,120
1610006,1610006:1,1:1,1,-1,2,240
600101,1606003:1,1:20,1,5,13,300
600102,1606004:1,1:30,1,5,13,600
600103,1616101:1,1:20,1,4,13,500
600104,1601003:1,1:1,1,5,13,400
600105,123101:5,1:1,1,10,13,350
600106,123102:5,1:1,1,10,13,350
600107,123103:5,1:1,1,10,13,350
600108,123104:5,1:1,1,10,13,350
600109,123105:5,1:1,1,10,13,350
600110,123106:5,1:1,1,10,13,350
600111,123201:3,1:1,1,4,13,240
600112,123202:3,1:20,1,4,13,800
600113,123301:2,1:1,1,4,13,240
600114,123302:2,1:20,1,4,13,800
