id,dropGroup,dropItem,dropPr,dropNumber
415,3010001,11,1000,"3000,3000"
416,3010001,8001,1000,"1,1"
417,3010011,11,1000,"2000,2000"
418,3010011,2,1000,"200,200"
419,3010011,1604002,1000,"5,5"
420,3010011,123301,1000,"4,4"
421,3011001,11,1000,"3000,3000"
422,3011011,11,1000,"2500,2500"
423,3011011,121001,1000,"15,15"
424,3012001,11,1000,"3000,3000"
425,3012011,11,1000,"2500,2500"
426,3012011,121002,1000,"15,15"
427,3013001,11,1000,"3000,3000"
428,3013011,11,1000,"2500,2500"
429,3013011,1604002,1000,"10,10"
430,3014001,11,1000,"3000,3000"
431,3014011,11,1000,"2500,2500"
432,3014011,123201,1000,"6,6"
433,3015001,11,1000,"4000,4000"
434,3015001,8001,1000,"1,1"
435,3015011,11,1000,"3000,3000"
436,3015011,2,1000,"200,200"
437,3015011,1604002,1000,"10,10"
438,3015011,123201,1000,"6,6"
439,3016001,11,1000,"4000,4000"
440,3016011,11,1000,"3500,3500"
441,3016011,121002,1000,"10,10"
442,3017001,11,1000,"4000,4000"
443,3017011,11,1000,"3500,3500"
444,3017011,121002,1000,"15,15"
445,3018001,11,1000,"4000,4000"
446,3018011,11,1000,"3500,3500"
447,3018011,1603002,1000,"10,10"
448,3019001,11,1000,"4000,4000"
449,3019011,11,1000,"3500,3500"
450,3019011,123301,1000,"4,4"
451,3020001,11,1000,"5000,5000"
452,3020001,8001,1000,"1,1"
453,3020011,11,1000,"4000,4000"
454,3020011,2,1000,"200,200"
455,3020011,1603002,1000,"10,10"
456,3020011,123301,1000,"6,6"
457,3021001,11,1000,"5000,5000"
458,3021011,11,1000,"4500,4500"
459,3021011,121002,1000,"10,10"
460,3022001,11,1000,"5000,5000"
461,3022011,11,1000,"4500,4500"
462,3022011,121002,1000,"15,15"
463,3023001,11,1000,"5000,5000"
464,3023011,11,1000,"4500,4500"
465,3023011,1603002,1000,"10,10"
466,3024001,11,1000,"5000,5000"
467,3024011,11,1000,"4500,4500"
468,3024011,123202,1000,"4,4"
469,3025001,11,1000,"6000,6000"
470,3025001,8001,1000,"1,1"
471,3025011,11,1000,"5000,5000"
472,3025011,2,1000,"200,200"
473,3025011,1604002,1000,"10,10"
474,3025011,123202,1000,"6,6"
475,3026001,11,1000,"6000,6000"
476,3026011,11,1000,"5500,5500"
477,3026011,121002,1000,"10,10"
478,3027001,11,1000,"6000,6000"
479,3027011,11,1000,"5500,5500"
480,3027011,121002,1000,"15,15"
481,3028001,11,1000,"6000,6000"
482,3028011,11,1000,"5500,5500"
483,3028011,1603002,1000,"10,10"
484,3029001,11,1000,"6000,6000"
485,3029011,11,1000,"5500,5500"
486,3029011,123301,1000,"4,4"
487,3030001,11,1000,"7000,7000"
488,3030001,8001,1000,"1,1"
489,3030011,11,1000,"6000,6000"
490,3030011,2,1000,"200,200"
491,3030011,1603002,1000,"10,10"
492,3030011,123301,1000,"6,6"
493,3031001,11,1000,"7000,7000"
494,3031011,11,1000,"6500,6500"
495,3031011,121002,1000,"10,10"
496,3032001,11,1000,"7000,7000"
497,3032011,11,1000,"6500,6500"
498,3032011,121002,1000,"15,15"
499,3033001,11,1000,"7000,7000"
500,3033011,11,1000,"6500,6500"
501,3033011,1603002,1000,"10,10"
502,3034001,11,1000,"7000,7000"
503,3034011,11,1000,"6500,6500"
504,3034011,123203,1000,"4,4"
505,3035001,11,1000,"8000,8000"
506,3035001,8001,1000,"1,1"
507,3035011,11,1000,"7000,7000"
508,3035011,2,1000,"200,200"
509,3035011,1603002,1000,"10,10"
510,3035011,123203,1000,"6,6"
511,3036001,11,1000,"8000,8000"
512,3036011,11,1000,"7500,7500"
513,3036011,121002,1000,"10,10"
514,3037001,11,1000,"8000,8000"
515,3037011,11,1000,"7500,7500"
516,3037011,121002,1000,"15,15"
517,3038001,11,1000,"8000,8000"
518,3038011,11,1000,"7500,7500"
519,3038011,1603002,1000,"10,10"
520,3039001,11,1000,"8000,8000"
521,3039011,11,1000,"7500,7500"
522,3039011,123301,1000,"4,4"
523,3040001,11,1000,"9000,9000"
524,3040001,8001,1000,"1,1"
525,3040011,11,1000,"8000,8000"
526,3040011,2,1000,"200,200"
527,3040011,1604002,1000,"10,10"
528,3040011,123301,1000,"6,6"
529,3041001,11,1000,"9000,9000"
530,3041011,11,1000,"8500,8500"
531,3041011,121002,1000,"10,10"
532,3042001,11,1000,"9000,9000"
533,3042011,11,1000,"8500,8500"
534,3042011,121002,1000,"15,15"
535,3043001,11,1000,"9000,9000"
536,3043011,11,1000,"8500,8500"
537,3043011,1603002,1000,"10,10"
538,3044001,11,1000,"9000,9000"
539,3044011,11,1000,"8500,8500"
540,3044011,123203,1000,"4,4"
541,3045001,11,1000,"10000,10000"
542,3045001,8001,1000,"1,1"
543,3045011,11,1000,"9000,9000"
544,3045011,2,1000,"200,200"
545,3045011,1603002,1000,"10,10"
546,3045011,123203,1000,"6,6"
547,3046001,11,1000,"10000,10000"
548,3046011,11,1000,"9500,9500"
549,3046011,121002,1000,"10,10"
550,3047001,11,1000,"10000,10000"
551,3047011,11,1000,"9500,9500"
552,3047011,121002,1000,"15,15"
553,3048001,11,1000,"10000,10000"
554,3048011,11,1000,"9500,9500"
555,3048011,1603002,1000,"10,10"
556,3049001,11,1000,"10000,10000"
557,3049011,11,1000,"9500,9500"
558,3049011,123304,1000,"4,4"
559,3050001,11,1000,"11000,11000"
560,3050001,8001,1000,"1,1"
561,3050011,11,1000,"10000,10000"
562,3050011,2,1000,"200,200"
563,3050011,1603002,1000,"10,10"
564,3050011,123304,1000,"6,6"
565,4011001,2,1000,"10,10"
566,4000001,172001,1000,"1,1"
567,4000001,121002,1000,"2,2"
568,4000001,11,1000,"5000,5000"
569,4000002,2,1000,"15,15"
570,4000002,131002,1000,"2,2"
571,4000003,2,1000,"15,15"
572,4000003,131002,1000,"2,2"
573,4000003,151001,1000,"1,1"
574,4000004,2,1000,"30,30"
575,4000004,151003,1000,"2,2"
576,4000005,2,1000,"30,30"
577,4000005,151003,1000,"1,1"
578,4000005,131003,1000,"2,2"
579,4000006,2,1000,"50,50"
580,4000006,121003,1000,"2,2"
581,4000006,121004,1000,"2,2"
582,4000007,2,1000,"50,50"
583,4000007,131004,1000,"2,2"
584,4000007,151003,1000,"2,2"
585,4012101,171103,1000,"1,1"
586,4012101,172001,1000,"1,1"
587,4012101,11,1000,"500,500"
588,4012102,171101,1000,"1,1"
589,4012102,172001,1000,"1,1"
590,4012102,11,1000,"500,500"
591,4013101,131001,1000,"5,5"
592,4013101,51,1000,"10,10"
593,4013102,172001,1000,"8,8"
594,4013102,51,1000,"10,10"
595,4013103,1616101,1000,"2,2"
596,4013103,51,1000,"10,10"
597,4013103,171009,1000,"1,1"
598,4013104,172001,1000,"12,12"
599,4013104,52,1000,"10,10"
600,4013196,172001,1000,"8,8"
601,4013196,1616101,1000,"1,1"
602,4013196,8001,1000,"2,2"
603,4013197,171803,1000,"1,1"
604,4013198,171802,1000,"1,1"
605,4013199,171801,1000,"1,1"
606,4013301,51,1000,"5,5"
607,4013301,131001,1000,"7,7"
608,4013302,51,1000,"5,5"
609,4013302,131001,1000,"7,7"
610,4013303,51,1000,"5,5"
611,4013303,131001,1000,"7,7"
612,4013304,51,1000,"5,5"
613,4013304,131001,1000,"7,7"
614,4013305,51,1000,"15,15"
615,4013305,2,1000,"30,30"
616,4013306,51,1000,"15,15"
617,4013306,2,1000,"30,30"
618,4013307,51,1000,"5,5"
619,4013307,1615001,1000,"2,2"
620,4013308,51,1000,"5,5"
621,4013308,1615001,1000,"2,2"
622,4013309,51,1000,"5,5"
623,4013309,1615001,1000,"2,2"
624,4013310,51,1000,"5,5"
625,4013310,131002,1000,"2,2"
626,4013395,172001,1000,"10,10"
627,4013396,172001,1000,"6,6"
628,4013397,171804,1000,"1,1"
629,4013398,171805,1000,"1,1"
630,4013399,171806,1000,"1,1"
631,4015011,2,1000,"80,80"
632,4015011,123103,1000,"4,4"
633,4015011,123104,1000,"4,4"
634,4015021,2,1000,"80,80"
635,4015021,123103,1000,"4,4"
636,4015021,123104,1000,"4,4"
637,4015031,2,1000,"80,80"
638,4015031,123103,1000,"4,4"
639,4015031,123104,1000,"4,4"
640,4015041,2,1000,"80,80"
641,4015041,123105,1000,"4,4"
642,4015041,123106,1000,"4,4"
643,4015051,2,1000,"80,80"
644,4015051,123101,1000,"4,4"
645,4015051,123102,1000,"4,4"
646,4015061,2,1000,"80,80"
647,4015061,123103,1000,"4,4"
648,4015061,123104,1000,"4,4"
649,4021401,11,1000,"100,100"
650,4021402,11,1000,"100,100"
651,4021403,11,1000,"100,100"
652,4021404,11,1000,"100,100"
653,4021405,11,1000,"100,100"
654,4021501,11,1000,"100,100"
655,4021601,11,1000,"100,100"
656,4021602,11,1000,"100,100"
657,4022101,171109,1000,"1,1"
658,4022101,172001,1000,"1,1"
659,4022101,11,1000,"500,500"
660,4022102,171107,1000,"1,1"
661,4022102,172001,1000,"1,1"
662,4022102,11,1000,"500,500"
663,4022103,171107,1000,"1,1"
664,4022103,172001,1000,"1,1"
665,4022103,11,1000,"500,500"
666,4022104,171105,1000,"1,1"
667,4022104,172001,1000,"1,1"
668,4022104,11,1000,"500,500"
669,4023101,52,1000,"10,10"
670,4023101,8002,1000,"1,1"
671,4023102,52,1000,"10,10"
672,4023102,151001,1000,"7,7"
673,4023103,52,1000,"10,10"
674,4023103,151001,1000,"7,7"
675,4023104,52,1000,"10,10"
676,4023104,1616101,1000,"2,2"
677,4023105,52,1000,"10,10"
678,4023105,151001,1000,"7,7"
679,4023106,52,1000,"10,10"
680,4023106,172001,1000,"5,5"
681,4023107,52,1000,"10,10"
682,4023107,151002,1000,"2,2"
683,4023108,52,1000,"10,10"
684,4023108,2,1000,"100,100"
685,4023109,52,1000,"10,10"
686,4023109,2,1000,"100,100"
687,4023110,52,1000,"10,10"
688,4023110,172001,1000,"10,10"
689,4023198,171111,1000,"1,1"
690,4023199,171112,1000,"1,1"
691,4023197,171004,1000,"1,1"
692,4023196,171012,1000,"1,1"
693,4023301,52,1000,"5,5"
694,4023301,151002,1000,"2,2"
695,4023302,52,1000,"15,15"
696,4023302,2,1000,"30,30"
697,4023303,52,1000,"5,5"
698,4023303,151002,1000,"2,2"
699,4023304,52,1000,"5,5"
700,4023304,151002,1000,"2,2"
701,4023305,52,1000,"5,5"
702,4023305,11,1000,"15000,15000"
703,4023306,52,1000,"5,5"
704,4023306,2,1000,"30,30"
705,4023307,52,1000,"5,5"
706,4023307,11,1000,"15000,15000"
707,4023308,52,1000,"5,5"
708,4023308,131002,1000,"3,3"
709,4023309,52,1000,"5,5"
710,4023309,131002,1000,"3,3"
711,4025011,2,1000,"80,80"
712,4025011,123105,1000,"4,4"
713,4025011,123106,1000,"4,4"
714,4025021,2,1000,"80,80"
715,4025021,123105,1000,"4,4"
716,4025021,123106,1000,"4,4"
717,4025031,2,1000,"80,80"
718,4025031,123105,1000,"4,4"
719,4025031,123106,1000,"4,4"
720,4025041,2,1000,"80,80"
721,4025041,123105,1000,"4,4"
722,4025041,123106,1000,"4,4"
723,4025051,2,1000,"80,80"
724,4025051,123101,1000,"4,4"
725,4025051,123102,1000,"4,4"
726,4025061,2,1000,"80,80"
727,4025061,123101,1000,"4,4"
728,4025061,123102,1000,"4,4"
729,4025071,2,1000,"80,80"
730,4025071,123101,1000,"4,4"
731,4025071,123102,1000,"4,4"
732,4025081,2,1000,"80,80"
733,4025081,123101,1000,"4,4"
734,4025081,123102,1000,"4,4"
735,4025091,2,1000,"80,80"
736,4025091,123103,1000,"4,4"
737,4025091,123104,1000,"4,4"
738,4025101,2,1000,"80,80"
739,4025101,123103,1000,"4,4"
740,4025101,123104,1000,"4,4"
741,4025111,2,1000,"80,80"
742,4025111,123103,1000,"4,4"
743,4025111,123104,1000,"4,4"
744,4025121,2,1000,"80,80"
745,4025121,123103,1000,"4,4"
746,4025121,123104,1000,"4,4"
747,4999987,2,1000,"80,80"
748,4999988,2,1000,"120,120"
749,4999989,2,1000,"180,180"
750,4999997,171997,1000,"2,2"
751,4999998,171998,1000,"2,2"
752,4999999,171999,1000,"2,2"
753,5000001,11,1000,"1000,1000"
754,5000002,1604001,1000,"1,1"
755,5000003,131002,1000,"5,5"
756,5000004,1606001,1000,"1,1"
757,5000005,1600101,1000,"80,80"
758,5000006,1603002,1000,"1,1"
759,5000007,2,1000,"50,50"
760,5000008,11,1000,"2000,2000"
761,5000009,1604001,1000,"1,1"
762,5000010,131002,1000,"5,5"
763,5000011,1606001,1000,"1,1"
764,5000012,1600101,1000,"80,80"
765,5000013,1603002,1000,"1,1"
766,5000014,8001,1000,"1,1"
767,5000015,11,1000,"2000,2000"
768,5000016,1604001,1000,"1,1"
769,5000017,131002,1000,"5,5"
770,5000018,1606001,1000,"1,1"
