id,buildId,level,mainTowerLevelLimit,levelUpConsume,levelUpTime,levelUpDropId,storeLimit,produceLimit,consumeResource,produceTime,unitCount
605004,5,4,10,11:7800,4428,6050104,140,,,514,"2,3"
605005,5,5,12,11:9400,6199,6050105,180,,,450,"2,3"
605006,5,6,14,11:14050,7970,6050106,180,,,450,"2,4"
605007,5,7,16,11:23400,10627,6050107,200,,,400,"2,4"
605008,5,8,19,11:28100,15941,6050108,200,,,400,"2,4"
605009,5,9,23,11:39000,23026,6050109,220,,,400,"2,5"
605010,5,10,25,11:51450,28339,6050110,240,,,360,"2,5"
605011,5,11,28,11:54600,37195,6050111,240,,,360,"2,6"
605012,5,12,30,11:85750,43394,6050112,240,,,360,"2,6"
605013,5,13,31,11:101350,46494,6050113,320,,,328,"2,6"
605014,5,14,34,11:132500,92102,6050114,320,,,328,"2,7"
605015,5,15,35,11:140300,106272,6050115,350,,,300,"2,7"
606001,6,1,3,,0,,,12,"1600101:9,11:1000",2240,"1,1"
606002,6,2,4,11:9400,1200,6060102,,12,"1600101:9,11:1000",2140,"1,1"
606003,6,3,6,11:12500,2100,6060103,,13,"1600101:12,11:1000",2640,"1,1"
606004,6,4,10,11:15650,4860,6060104,,13,"1600101:16,11:1000",3140,"1,1"
606005,6,5,12,11:21900,6804,6060105,,14,"1600101:16,11:1000",3040,"1,2"
606006,6,6,14,11:28150,8748,6060106,,14,"1600101:25,11:1000",3340,"1,2"
606007,6,7,16,11:40650,11664,6060107,,15,"1600101:25,11:1000",3140,"1,2"
606008,6,8,19,11:56250,17496,6060108,,15,"1600101:36,11:1000",3440,"1,2"
606009,6,9,21,11:78150,21384,6060109,,16,"1600101:36,11:1000",3240,"1,3"
606010,6,10,24,11:103100,27216,6060110,,16,"1600101:36,11:1000",3040,"1,3"
606011,6,11,26,11:109350,34020,6060111,,17,"1600101:45,11:1000",3340,"1,3"
606012,6,12,28,11:171850,40824,6060112,,17,"1600101:45,11:1000",3130,"1,3"
606013,6,13,30,11:203100,47628,6060113,,18,"1600101:54,11:1000",3430,"1,4"
606014,6,14,32,11:265600,62208,6060114,,19,"1600101:54,11:1000",2980,"1,4"
606015,6,15,33,11:281200,77760,6060115,,20,"1600101:70,11:1000",3180,"1,4"
607001,7,1,5,,0,,,12,"1600101:9,11:1000",2240,"1,1"
607002,7,2,6,11:9400,1200,6070102,,12,"1600101:9,11:1000",2140,"1,1"
607003,7,3,8,11:12500,2100,6070103,,13,"1600101:12,11:1000",2640,"1,1"
607004,7,4,11,11:15650,6091,6070104,,13,"1600101:16,11:1000",3140,"1,1"
607005,7,5,13,11:21900,8122,6070105,,14,"1600101:16,11:1000",3040,"1,2"
607006,7,6,15,11:28150,10152,6070106,,14,"1600101:25,11:1000",3340,"1,2"
607007,7,7,17,11:40650,14213,6070107,,15,"1600101:25,11:1000",3140,"1,2"
607008,7,8,19,11:56250,18274,6070108,,15,"1600101:36,11:1000",3440,"1,2"
607009,7,9,21,11:78150,22334,6070109,,16,"1600101:36,11:1000",3240,"1,3"
607010,7,10,24,11:103100,28426,6070110,,16,"1600101:36,11:1000",3040,"1,3"
607011,7,11,26,11:109350,35532,6070111,,17,"1600101:45,11:1000",3340,"1,3"
607012,7,12,28,11:171850,42638,6070112,,17,"1600101:45,11:1000",3130,"1,3"
607013,7,13,30,11:203100,49745,6070113,,18,"1600101:54,11:1000",3430,"1,4"
607014,7,14,32,11:265600,64973,6070114,,19,"1600101:54,11:1000",2980,"1,4"
607015,7,15,34,11:281200,105581,6070115,,20,"1600101:70,11:1000",3180,"1,4"
608001,8,1,5,,0,,,12,"1600101:9,11:1000",2240,"1,1"
608002,8,2,6,11:9400,1200,6080102,,12,"1600101:9,11:1000",2140,"1,1"
608003,8,3,8,11:12500,2100,6080103,,13,"1600101:12,11:1000",2640,"1,1"
608004,8,4,11,11:15650,6221,6080104,,13,"1600101:16,11:1000",3140,"1,1"
608005,8,5,13,11:21900,8294,6080105,,14,"1600101:16,11:1000",3040,"1,2"
608006,8,6,16,11:28150,12442,6080106,,14,"1600101:25,11:1000",3340,"1,2"
608007,8,7,18,11:40650,16589,6080107,,15,"1600101:25,11:1000",3140,"1,2"
608008,8,8,20,11:56250,20736,6080108,,15,"1600101:36,11:1000",3440,"1,2"
608009,8,9,22,11:78150,24883,6080109,,16,"1600101:36,11:1000",3240,"1,3"
608010,8,10,25,11:103100,33178,6080110,,16,"1600101:36,11:1000",3040,"1,3"
608011,8,11,27,11:109350,39917,6080111,,17,"1600101:45,11:1000",3340,"1,3"
608012,8,12,29,11:171850,46656,6080112,,17,"1600101:45,11:1000",3130,"1,3"
608013,8,13,31,11:203100,54432,6080113,,18,"1600101:54,11:1000",3430,"1,4"
608014,8,14,33,11:265600,82944,6080114,,19,"1600101:54,11:1000",2980,"1,4"
608015,8,15,34,11:281200,107827,6080115,,20,"1600101:70,11:1000",3180,"1,4"
609001,9,1,7,,0,,,6,"1600101:20,11:1000",5620,"1,1"
609002,9,2,8,11:12100,1200,6090102,,6,"1600101:20,11:1000",5420,"1,1"
609003,9,3,9,11:16100,2100,6090103,,6,"1600101:30,11:1000",5920,"1,1"
609004,9,4,11,11:20100,6739,6090104,,7,"1600101:40,11:1000",6420,"1,1"
609005,9,5,14,11:28150,10109,6090105,,7,"1600101:40,11:1000",6220,"1,2"
609006,9,6,16,11:36200,13478,6090106,,7,"1600101:60,11:1000",6520,"1,2"
609007,9,7,18,11:52250,17971,6090107,,8,"1600101:60,11:1000",6320,"1,2"
609008,9,8,21,11:72350,24710,6090108,,8,"1600101:80,11:1000",6620,"1,2"
609009,9,9,23,11:100450,29203,6090109,,8,"1600101:80,11:1000",6420,"1,3"
609010,9,10,26,11:132600,39312,6090110,,9,"1600101:80,11:1000",6220,"1,3"
609011,9,11,28,11:140600,47174,6090111,,9,"1600101:100,11:1000",6520,"1,3"
609012,9,12,30,11:220950,55037,6090112,,9,"1600101:100,11:1000",6310,"1,3"
609013,9,13,32,11:261100,71885,6090113,,9,"1600101:120,11:1000",6610,"1,4"
609014,9,14,34,11:341450,116813,6090114,,10,"1600101:120,11:1000",6160,"1,4"
609015,9,15,35,11:361550,134784,6090115,,10,"1600101:140,11:1000",6360,"1,4"
610001,10,1,3,,0,,200,,,300,"2,3"
610002,10,2,4,11:1350,180,6100102,220,,,277,"2,3"
610003,10,3,5,11:1800,480,6100103,220,,,277,"2,4"
610004,10,4,6,11:2250,1080,6100104,240,,,258,"2,4"
610005,10,5,7,11:2700,1540,6100105,240,,,258,"2,5"
610006,10,6,10,11:4050,3888,6100106,280,,,240,"2,5"
610007,10,7,13,11:6700,6221,6100107,320,,,240,"2,6"
610008,10,8,16,11:8050,9331,6100108,360,,,225,"2,6"
610009,10,9,19,11:11150,13997,6100109,400,,,225,"2,7"
610010,10,10,23,11:14700,20218,6100110,480,,,212,"2,7"
610011,10,11,27,11:15600,29938,6100111,520,,,212,"2,8"
610012,10,12,31,11:24500,40824,6100112,580,,,200,"2,8"
610013,10,13,32,11:28950,49766,6100113,640,,,190,"2,9"
610014,10,14,34,11:37900,80870,6100114,660,,,190,"2,10"
610015,10,15,35,11:40100,93312,6100115,700,,,180,"2,10"
611001,11,1,,,0,,,,,,
611002,11,2,,11:2500,432,6110102,,,,,
611003,11,3,,11:3700,864,6110103,,,,,
611004,11,4,,11:6100,1296,6110104,,,,,
611005,11,5,,11:7400,1711,6110105,,,,,
611006,11,6,,11:11000,2138,6110106,,,,,
611007,11,7,,11:13400,4277,6110107,,,,,
611008,11,8,,11:15900,6480,6110108,,,,,
611009,11,9,,11:19500,8640,6110109,,,,,
611010,11,10,,11:23200,10800,6110110,,,,,
611011,11,11,,11:26800,12960,6110111,,,,,
611012,11,12,,11:30500,15120,6110112,,,,,
611013,11,13,,11:34100,17280,6110113,,,,,
611014,11,14,,11:37800,19440,6110114,,,,,
611015,11,15,,11:47500,21600,6110115,,,,,
611016,11,16,,11:57300,25920,6110116,,,,,
611017,11,17,,11:67000,30240,6110117,,,,,
611018,11,18,,11:76800,34560,6110118,,,,,
611019,11,19,,11:86500,38880,6110119,,,,,
611020,11,20,,11:96200,43200,6110120,,,,,
611021,11,21,,11:106000,47520,6110121,,,,,
611022,11,22,,11:120600,51840,6110122,,,,,
611023,11,23,,11:135200,56160,6110123,,,,,
611024,11,24,,11:149800,60480,6110124,,,,,
611025,11,25,,11:164400,69120,6110125,,,,,
611026,11,26,,11:179000,75600,6110126,,,,,
611027,11,27,,11:193600,83160,6110127,,,,,
611028,11,28,,11:208300,90720,6110128,,,,,
611029,11,29,,11:222900,97200,6110129,,,,,
611030,11,30,,11:247200,105840,6110130,,,,,
611031,11,31,,11:271600,113400,6110131,,,,,
611032,11,32,,11:295900,138240,6110132,,,,,
611033,11,33,,11:320300,172800,6110133,,,,,
611034,11,34,,11:344600,224640,6110134,,,,,
611035,11,35,,11:369000,259200,6110135,,,,,
612001,12,1,4,,0,,19,,,3615,"2,3"
612002,12,2,9,11:8500,888,6120102,21,,,3265,"2,3"
612003,12,3,14,11:12700,3340,6120103,25,,,2765,"2,3"
612004,12,4,18,11:25300,7176,6120104,29,,,2405,"2,4"
612005,12,5,22,11:50500,13264,6120105,38,,,2115,"2,4"
612006,12,6,26,11:75700,22178,6120106,40,,,1995,"2,4"
612007,12,7,30,11:100900,34627,6120107,44,,,1890,"2,5"
612008,12,8,34,11:126100,52723,6120108,57,,,1800,"2,5"
2101001,2101,1,,,,0,,,,,
2102001,2102,1,,,,0,,,,,
2103001,2103,1,,,,0,,,,,
2104001,2104,1,,,,0,,,,,
2105001,2105,1,,,,0,,,,,
2106001,2106,1,,,,0,,,,,
