id,comment,eventsID,objectEffectsID,triggerEffectsID,triggerObject,triggerType,triggerParam,triggerCD,triggerPR,duration,type
2021052,桀洛被动2级,,20210520,,1,15,0,6,100,999,
2021053,桀洛被动3级,,20210530,,1,15,0,6,100,999,
2021054,桀洛被动4级,,20210540,,1,15,0,6,100,999,
2021055,桀洛被动5级,,20210550,,1,15,0,6,100,999,
3002051,仓助被动1级,,30020501,,1,15,0,-1,100,999,
3002052,仓助被动2级,,30020502,,1,15,0,-1,100,999,
3002053,仓助被动3级,,30020503,,1,15,0,-1,100,999,
3002054,仓助被动4级,,30020504,,1,15,0,-1,100,999,
3002055,仓助被动5级,,30020505,,1,15,0,-1,100,999,
3003051,扎里尤斯·沙沙被动1级,,,,1,15,0,-1,100,999,
3003052,扎里尤斯·沙沙被动2级,,,,1,15,0,-1,100,999,
3003053,扎里尤斯·沙沙被动3级,,,,1,15,0,-1,100,999,
3003054,扎里尤斯·沙沙被动4级,,,,1,15,0,-1,100,999,
3003055,扎里尤斯·沙沙被动5级,,,,1,15,0,-1,100,999,
3004051,沙斯林沙沙被动1级,300405101,,,1,15,2,-1,100,999,
3004052,沙斯林沙沙被动2级,300405102,,,1,15,2,-1,100,999,
3004053,沙斯林沙沙被动3级,300405103,,,1,15,2,-1,100,999,
3004054,沙斯林沙沙被动4级,300405104,,,1,15,2,-1,100,999,
3004055,沙斯林沙沙被动5级,300405105,,,1,15,2,-1,100,999,
3005051,库鲁雪鲁鲁被动1级,300505101,,,1,15,0,-1,100,999,
3005052,库鲁雪鲁鲁被动2级,300505102,,,1,15,0,-1,100,999,
3005053,库鲁雪鲁鲁被动3级,300505103,,,1,15,0,-1,100,999,
3005054,库鲁雪鲁鲁被动4级,300505104,,,1,15,0,-1,100,999,
3005055,库鲁雪鲁鲁被动5级,300505105,,,1,15,0,-1,100,999,
3006051,斯修乔乔被动1级,300605101,,,1,15,0,-1,100,999,
3006052,斯修乔乔被动2级,300605102,,,1,15,0,-1,100,999,
3006053,斯修乔乔被动3级,300605103,,,1,15,0,-1,100,999,
3006054,斯修乔乔被动4级,300605104,,,1,15,0,-1,100,999,
3006055,斯修乔乔被动5级,300605105,,,1,15,0,-1,100,999,
3010051,沙丘隆特被动1级,,,30100501,1,1,"301001,301004",0,100,999,
3010052,沙丘隆特被动2级,,,30100502,1,1,"301001,301004",0,100,999,
3010053,沙丘隆特被动3级,,,30100503,1,1,"301001,301004",0,100,999,
3010054,沙丘隆特被动4级,,,30100504,1,1,"301001,301004",0,100,999,
3010055,沙丘隆特被动5级,,,30100505,1,1,"301001,301004",0,100,999,
4002051,彼得·莫克被动1级,,40020510,,1,15,0,-1,100,999,
4002052,彼得·莫克被动2级,,40020520,,1,15,0,-1,100,999,
4002053,彼得·莫克被动3级,,40020530,,1,15,0,-1,100,999,
4002054,彼得·莫克被动4级,,40020540,,1,15,0,-1,100,999,
4002055,彼得·莫克被动5级,,40020550,,1,15,0,-1,100,999,
4003051,卢克诺克·波尔布被动1级,,40030510,,1,15,0,-1,100,999,
4003052,卢克诺克·波尔布被动2级,,40030520,,1,15,0,-1,100,999,
4003053,卢克诺克·波尔布被动3级,,40030530,,1,15,0,-1,100,999,
4003054,卢克诺克·波尔布被动4级,,40030540,,1,15,0,-1,100,999,
4003055,卢克诺克·波尔布被动5级,,40030550,,1,15,0,-1,100,999,
4004051,尼亚被动1级,,40040510,,1,15,0,-1,100,999,
4004052,尼亚被动2级,,40040520,,1,15,0,-1,100,999,
4004053,尼亚被动3级,,40040530,,1,15,0,-1,100,999,
4004054,尼亚被动4级,,40040540,,1,15,0,-1,100,999,
4004055,尼亚被动5级,,40040550,,1,15,0,-1,100,999,
2998041,死亡骑士奥义免控,,2998041,,1,1,2998031,0,100,999,
2998042,死亡骑士奥义解除免控,,2998042,,1,2,2998031,0,100,999,
600103,加眩晕,6001031,,,1,15,0,600000,100,999,
600104,移除眩晕,6001041,,,"1,2",7,,600000,100,999,
600105,扣除当前生命值-怪物方,6001051,,,1,15,0,-1,100,999,
600106,扣除当前生命值-角色方,6001061,,,1,15,0,-1,100,999,
600403,火焰天使特效,6004031,,,1,15,0,-1,100,999,
600503,冒险者坦克被动加防御,6005061,,,1,15,0,-1,100,999,
600504,冒险者坦克被动护盾,6005041,,,1,15,0,-1,100,999,
601205,冒险者僵尸被动伤害,6012051,,,1,15,3,-1,100,999,
601206,冒险者僵尸被动特效,6012061,,,1,15,0,-1,100,999,
601212,冒险者僵尸被动,6012012,,,1,15,0,-1,100,999,
601304,骷髅战士被动加防御,6013041,,,1,15,3,-1,100,999,
601305,骷髅战士被动护盾,,6013051,,1,15,0,-1,100,999,
601603,食人魔 被动,6016031,,,1,15,0,-1,100,999,
601802,蜥蜴人坦克被动,,6018021,,1,15,0,-1,100,999,
601902,蜥蜴人战士被动,,6019021,,1,15,0,-1,100,999,
602003,蜥蜴人法师被动,6020031,,,1,15,0,-1,100,999,
602303,蜥蜴人射手被动,6023031,,,1,15,0,-1,100,999,
603503,八指射手被动,,6035031,,1,15,0,-1,100,999,
6048038,王城卫兵弓箭手加伤害,,6048038,,1,1,"604801,604802,604804",-1,100,999,
6048039,王城卫兵弓箭手去掉buff,,6048039,,1,2,"604801,604802,604804",-1,100,999,
602403,亡灵狼被动,6024031,,,1,23,,-1,100,999,
602603,亡灵野猪被动,,6026031,,1,5,602602,0,100,999,
604505,地狱猎犬被动,,,6045051,1,30,,0,100,999,
605104,精英人类战士被动,6051041,,,1,15,0,-1,100,999,
605304,精英人类刺客被动,6053041,,,1,3,"605301,605302,605303",0,100,999,
606005,精英蜥蜴人射手被动,6060051,,,1,15,0,-1,100,999,
606704,眷属狼被动,6067041,,,1,23,,-1,100,999,
607104,千鞭虫被动,,6071041,,1,15,0,-1,100,999,
607207,剑刀虫被动,,6072071,,1,15,0,-1,100,999,
700000,boss通用免疫眩晕击退击倒大伤害,,7000000,,1,15,0,-1,100,999,
700001,boss通用免疫浮空石化,,7000001,,1,15,0,-1,100,999,
700002,break降低防御,7000002,,,1,31,0,0,100,999,
700004,break监听,,7000004,,1,15,0,-1,100,999,
700109,火精灵特效被动,,7001091,,1,15,0,-1,100,999,
700111,火精灵召唤被动,7001111,,,1,15,0,-1,100,999,
700121,火精灵特效被动,7001211,,,1,15,0,-1,100,999,
700131,火精灵特效被动,,7001311,,1,15,0,-1,100,999,
700141,火精灵特效被动,7001411,,,1,15,0,-1,100,999,
700211,监察权天使技能二被动,,7002036,,1,29,,0,100,999,
700212,监察权天使技能五被动,,7002062,,1,7,,0,100,999,
700214,监察权天使技能六被动监听,,7002091,,1,7,,0,100,999,
700215,监察权天使技能六被动触发,,7002102,,1,15,0,-1,100,999,
700311,威光主天使灵魂链接,,7003073,,1,7,3,0,100,10,
700312,威光主天使灵魂链接,,7003074,,1,7,2,0,100,10,
700313,威光主天使扣生命值上限被动,,7003131,,1,15,0,-1,100,999,
700409,仓助提高物防被动,7004091,,,1,15,0,-1,100,999,
700410,仓助降低魔防被动,7004101,,,1,15,0,-1,100,999,
700512,卡吉特被动-提升伤害,7005121,,,1,15,0,-1,100,999,
700516,卡吉特监听技能二,,7005033,,1,25,0,-1,100,5,
700517,卡吉特被动记录奥义次数,,7005044,,3,24,,0,100,999,
700609,骨龙魔防被动,,7006094,,1,15,0,-1,100,999,
700610,骨龙给目标暴击被动,7006092,,,1,15,0,-1,100,999,
700611,骨龙魔防被动,,7006093,,1,15,0,-1,100,999,
700709,克莱门汀免疫控制,,70070901,,1,15,0,-1,100,999,
700904,boss漆黑圣典一席技能三,,,7009041,1,3,,0,100,999,
700907,boss漆黑圣典一席技能六,,7009071,,1,3,,0,100,999,
701109,伊格瓦尔基被动,7011091,,,1,15,0,-1,100,999,
701215,夏提雅扣生命值上限被动,,7012151,,1,15,0,-1,100,999,
701307,boss伊古瓦骷髅加防,,70130701,,1,15,0,-1,100,999,
701308,boss伊古瓦召唤物死后驱散,,70130801,,1,29,,0,100,999,
701309,boss伊古瓦免疫控制,,70130901,,1,15,0,-1,100,999,
701507,boss沙斯林沙沙免伤buff,7015071,,,1,15,0,-1,100,999,
701508,boss沙斯林沙沙免疫控制,,70150801,,1,15,0,-1,100,999,
701509,boss沙斯林沙沙-召唤物死亡监听,,70150702,,1,23,0,-1,100,999,
701903,洛洛洛被动技能三监听,,7019033,,1,15,0,-1,100,999,
701905,洛洛洛被动自身加防,7019051,,,1,15,0,-1,100,999,
701906,洛洛洛被动友军加防,7019061,,,1,15,0,-1,100,999,
702106,boss沙丘隆特被动记录奥义次数,,70210601,,3,24,,0,100,999,
702107,boss沙丘隆特免疫控制,,70210701,,1,15,0,-1,100,999,
702108,boss沙丘隆特被动附加伤害,,70210801,,1,15,0,-1,100,999,
702109,boss沙丘隆特被动招幻象,,70210901,,3,25,0,0,100,999,
704612,知拉农被动-提升伤害,7046121,,,1,15,0,-1,100,999,
704616,知拉农监听技能二,,7046033,,1,25,0,-1,100,5,
400014,娜迦技能三监听,4000144,,,1,15,0,-1,100,999,
400018,娜迦被动,4000181,,,1,15,0,-1,100,999,
100011,世界级道具不洁银匙1级,,,1000111,1,29,,0,40,999,
100012,世界级道具不洁银匙2级,,,1000121,1,29,,0,40,999,
100013,世界级道具不洁银匙3级,,,1000131,1,29,,0,60,999,
100014,世界级道具不洁银匙4级,,,1000141,1,29,,0,60,999,
100015,世界级道具不洁银匙5级,,,1000151,1,29,,0,60,999,
100031,世界级道具天幕之盾技能1级,,1000311,,1,15,0,-1,100,999,
100032,世界级道具天幕之盾技能2级,,1000312,,1,15,0,-1,100,999,
100033,世界级道具天幕之盾技能3级,,1000313,,1,15,0,-1,100,999,
100034,世界级道具天幕之盾技能4级,,1000314,,1,15,0,-1,100,999,
100035,世界级道具天幕之盾技能5级,,1000315,,1,15,0,-1,100,999,
100021,世界级道具神裁之矛1级,,1000211,,1,15,0,10,100,999,
100022,世界级道具神裁之矛2级,,1000221,,1,15,0,8,100,999,
100023,世界级道具神裁之矛3级,,1000231,,1,15,0,8,100,999,
100024,世界级道具神裁之矛4级,,1000241,,1,15,0,6,100,999,
100025,世界级道具神裁之矛5级,,1000251,,1,15,0,6,100,999,
200031,船夫金币1级,,2000311,,1,15,0,-1,100,999,
200032,船夫金币2级,,2000321,,1,15,0,-1,100,999,
200033,船夫金币3级,,2000331,,1,15,0,-1,100,999,
200034,船夫金币4级,,2000341,,1,15,0,-1,100,999,
200035,船夫金币5级,,2000351,,1,15,0,-1,100,999,
100051,永恒造星1级,,1000511,,1,15,0,-1,100,999,
100052,永恒造星2级,,1000521,,1,15,0,-1,100,999,
100053,永恒造星3级,,1000531,,1,15,0,-1,100,999,
100054,永恒造星4级,,1000541,,1,15,0,-1,100,999,
100055,永恒造星5级,,1000551,,1,15,0,-1,100,999,
100171,鲜红玫瑰1级,,1001711,,1,15,1,-1,100,999,
100172,鲜红玫瑰2级,,1001721,,1,15,1,-1,100,999,
100173,鲜红玫瑰3级,,1001731,,1,15,1,-1,100,999,
100174,鲜红玫瑰4级,,1001741,,1,15,1,-1,100,999,
100175,鲜红玫瑰5级,,1001751,,1,15,1,-1,100,999,
100231,绝对否定1级,100231,1002313,,1,22,,-1,100,999,
100232,绝对否定2级,100232,1002313,,1,22,,-1,100,999,
100233,绝对否定3级,100233,1002313,,1,22,,-1,100,999,
100234,绝对否定4级,100234,1002313,,2,22,,-1,100,999,
100235,绝对否定5级,100235,1002313,,1,22,,-1,100,999,
200021,世界级道具裹尸布的残片技能1级,,2000211,,1,15,0,-1,100,999,
200022,世界级道具裹尸布的残片技能2级,,2000212,,1,15,0,-1,100,999,
200023,世界级道具裹尸布的残片技能3级,,2000213,,1,15,0,-1,100,999,
200024,世界级道具裹尸布的残片技能4级,,2000214,,1,15,0,-1,100,999,
200025,世界级道具裹尸布的残片技能5级,,2000215,,1,15,0,-1,100,999,
100111,世界级道具棘刺之矛技能1级,,1001111,,1,15,0,-1,100,999,
100112,世界级道具棘刺之矛技能2级,,1001112,,1,15,0,-1,100,999,
100113,世界级道具棘刺之矛技能3级,,1001113,,1,15,0,-1,100,999,
100114,世界级道具棘刺之矛技能4级,,1001114,,1,15,0,-1,100,999,
100115,世界级道具棘刺之矛技能5级,,1001115,,1,15,0,-1,100,999,
100121,世界级道具独夫短剑技能1级,,1001211,,1,15,0,-1,100,999,
100122,世界级道具独夫短剑技能2级,,1001212,,1,15,0,-1,100,999,
100123,世界级道具独夫短剑技能3级,,1001213,,1,15,0,-1,100,999,
100124,世界级道具独夫短剑技能4级,,1001214,,1,15,0,-1,100,999,
100125,世界级道具独夫短剑技能5级,,1001215,,1,15,0,-1,100,999,
200101,世界级道具反抗的意志技能1级,,2001011,,1,7,,999,100,999,
200102,世界级道具反抗的意志技能2级,,2001012,,1,7,,999,100,999,
200103,世界级道具反抗的意志技能3级,,2001013,,1,7,,999,100,999,
200104,世界级道具反抗的意志技能4级,,2001014,,1,7,,999,100,999,
200105,世界级道具反抗的意志技能5级,,2001015,,1,7,,999,100,999,
200121,世界级道具阵前的砺石技能1级,,2001211,,1,24,,0,100,999,
200122,世界级道具阵前的砺石技能2级,,2001212,,1,24,,0,100,999,
200123,世界级道具阵前的砺石技能3级,,2001213,,1,24,,0,100,999,
200124,世界级道具阵前的砺石技能4级,,2001214,,1,24,,0,100,999,
200125,世界级道具阵前的砺石技能5级,,2001215,,1,24,,0,100,999,
200131,世界级道具第五元素技能1级,,2001311,,1,24,,0,100,999,
200132,世界级道具第五元素技能2级,,2001312,,1,24,,0,100,999,
200133,世界级道具第五元素技能3级,,2001313,,1,24,,0,100,999,
200134,世界级道具第五元素技能4级,,2001314,,1,24,,0,100,999,
200135,世界级道具第五元素技能5级,,2001315,,1,24,,0,100,999,
200051,背水的决意1级,,2000511,,1,15,0,-1,100,999,
200052,背水的决意2级,,2000521,,1,15,0,-1,100,999,
200053,背水的决意3级,,2000531,,1,15,0,-1,100,999,
200054,背水的决意4级,,2000541,,1,15,0,-1,100,999,
200055,背水的决意5级,,2000551,,1,15,0,-1,100,999,
100061,魔风之镰1级,,,1000611,1,26,,1,30,999,
100062,魔风之镰2级,,,1000621,1,26,,1,30,999,
100063,魔风之镰3级,,,1000631,1,26,,1,40,999,
100064,魔风之镰4级,,,1000641,1,26,,1,40,999,
100065,魔风之镰5级,,,1000651,1,26,,1,50,999,
100071,先锋之枪1级,,1000711,,1,15,0,-1,100,999,
100072,先锋之枪2级,,1000721,,1,15,0,-1,100,999,
100073,先锋之枪3级,,1000731,,1,15,0,-1,100,999,
100074,先锋之枪4级,,1000741,,1,15,0,-1,100,999,
100075,先锋之枪5级,,1000751,,1,15,0,-1,100,999,
100081,统御之玺1级,,1000811,,1,30,,0,100,999,
100082,统御之玺2级,,1000821,,1,30,,0,100,999,
100083,统御之玺3级,,1000831,,1,30,,0,100,999,
100084,统御之玺4级,,1000841,,1,30,,0,100,999,
100085,统御之玺5级,,1000851,,1,30,,0,100,999,
43011,偷猎者技能1级,,430111,,1,15,0,-1,100,999,
43012,偷猎者技能2级,,430121,,1,15,0,-1,100,999,
43013,偷猎者技能3级,,430131,,1,15,0,-1,100,999,
43014,偷猎者技能4级,,430141,,1,15,0,-1,100,999,
43015,偷猎者技能5级,,430151,,1,15,0,-1,100,999,
43021,偷猎人面罩技能1级,,430211,,1,15,0,-1,100,999,
43022,偷猎人面罩技能2级,,430221,,1,15,0,-1,100,999,
43023,偷猎人面罩技能3级,,430231,,1,15,0,-1,100,999,
43024,偷猎人面罩技能4级,,430241,,1,15,0,-1,100,999,
43025,偷猎人面罩技能5级,,430251,,1,15,0,-1,100,999,
43031,森林之影技能1级,,430311,,1,15,0,-1,100,999,
43032,森林之影技能2级,,430321,,1,15,0,-1,100,999,
43033,森林之影技能3级,,430331,,1,15,0,-1,100,999,
43034,森林之影技能4级,,430341,,1,15,0,-1,100,999,
43035,森林之影技能5级,,430351,,1,15,0,-1,100,999,
44011,终点技能1级,,440111,,1,15,0,-1,100,999,
44012,终点技能2级,,440121,,1,15,0,-1,100,999,
44013,终点技能3级,,440131,,1,15,0,-1,100,999,
44014,终点技能4级,,440141,,1,15,0,-1,100,999,
44015,终点技能5级,,440151,,1,15,0,-1,100,999,
44016,终点技能6级,,440161,,1,15,0,-1,100,999,
44021,首席游侠风帽技能1级,,440211,,1,15,0,-1,100,999,
44022,首席游侠风帽技能2级,,440221,,1,15,0,-1,100,999,
44023,首席游侠风帽技能3级,,440231,,1,15,0,-1,100,999,
