id,skillID,skillLevel,costItems,unlock,invokeType,campFilterId,combatPower,attrRates,autoTarget,crossHairObj,crossHairEnd,soundName,soundSheet
1038,199,3,"11:8000,100010:5","3001:38,3002:1:103:3,3002:1:107:3",4,,,"200,200,200,200",,,,,
1039,199,4,"11:12000,100010:7",3001:45,4,,,"250,250,250,250",,,,,
1040,199,5,"11:20000,100010:9","3001:52,3002:1:103:5,3002:1:107:5",4,,,"300,300,300,300",,,,,
3011,301,1,"11:2000,100040:2",3001:1,2,,"51,29",,30101,,,,
3012,301,2,"11:5000,100040:2",3001:10,2,,"128,73",,30101,,,,
3013,301,3,"11:8000,100040:4",3001:15,2,,"204,117",,30101,,,,
3014,301,4,"11:12000,100040:6",3001:21,2,,"332,190",,30101,,,,
3015,301,5,"11:20000,100040:8",3001:27,2,,"511,293",,30101,,,,
3021,302,1,"11:2000,100040:3","3001:5,3002:4:301:2",1,,"64,37",,30101,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
3022,302,2,"11:5000,100040:4",3001:14,1,,"160,91",,30101,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
3023,302,3,"11:8000,100040:6","3001:22,3002:4:301:4",1,,"256,146",,30101,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
3024,302,4,"11:12000,100040:7",3001:30,1,,"415,238",,30101,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
3025,302,5,"11:20000,100040:8","3001:38,3002:4:301:5",1,,"639,366",,30101,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
3031,303,1,"11:2000,100040:4","3001:23,3002:4:302:2",3,301,"64,37",,1,,,,
3032,303,2,"11:5000,100040:5",3001:30,3,302,"160,91",,1,,,,
3033,303,3,"11:8000,100040:6","3001:37,3002:4:302:4",3,303,"256,146",,1,,,,
3034,303,4,"11:12000,100040:8",3001:44,3,304,"415,238",,1,,,,
3035,303,5,"11:20000,100040:10","3001:51,3002:4:302:5",3,305,"639,366",,1,,,,
3041,304,1,"11:4000,100040:10","3001:33,3002:4:399:2,3003:4:100",2,,"102,59",,28,,Assets/Aznable/Prefabs/BattleFX/hero04/hero04_skill04_cast_fx.prefab,,
3042,304,2,"11:10000,100040:15","3001:39,3003:4:140",2,,"256,146",,28,,Assets/Aznable/Prefabs/BattleFX/hero04/hero04_skill04_cast_fx.prefab,,
3043,304,3,"11:16000,100040:20","3001:45,3002:4:399:4,3003:4:180",2,,"409,234",,28,,Assets/Aznable/Prefabs/BattleFX/hero04/hero04_skill04_cast_fx.prefab,,
3044,304,4,"11:24000,100040:25","3001:51,3003:4:230",2,,"664,380",,28,,Assets/Aznable/Prefabs/BattleFX/hero04/hero04_skill04_cast_fx.prefab,,
3045,304,5,"11:40000,100040:30","3001:57,3002:4:399:5,3003:4:310",2,,"1022,585",,28,,Assets/Aznable/Prefabs/BattleFX/hero04/hero04_skill04_cast_fx.prefab,,
3051,305,1,"11:2000,100040:2",3001:1,2,,"51,29",,24,,,,
3052,305,2,"11:5000,100040:2",3001:10,2,,"128,73",,24,,,,
3053,305,3,"11:8000,100040:4",3001:16,2,,"204,117",,24,,,,
3054,305,4,"11:12000,100040:6",3001:22,2,,"332,190",,24,,,,
3055,305,5,"11:20000,100040:8",3001:28,2,,"511,293",,24,,,,
3061,306,1,"11:2000,100040:3","3001:10,3002:4:305:2",2,,"64,37",,27,,,,
3062,306,2,"11:5000,100040:4",3001:15,2,,"160,91",,27,,,,
3063,306,3,"11:8000,100040:6","3001:23,3002:4:305:4",2,,"256,146",,27,,,,
3064,306,4,"11:12000,100040:7",3001:31,2,,"415,238",,27,,,,
3065,306,5,"11:20000,100040:8","3001:39,3002:4:305:5",2,,"639,366",,27,,,,
3071,307,1,"11:2000,100040:4","3001:24,3002:4:306:2",3,401,"64,37",,1,,,,
3072,307,2,"11:5000,100040:5",3001:31,3,402,"160,91",,1,,,,
3073,307,3,"11:8000,100040:6","3001:38,3002:4:306:4",3,403,"256,146",,1,,,,
3074,307,4,"11:12000,100040:8",3001:45,3,404,"415,238",,1,,,,
3075,307,5,"11:20000,100040:10","3001:52,3002:4:306:5",3,405,"639,366",,1,,,,
3081,308,1,"11:4000,100040:10","3001:34,3002:4:399:2,3003:4:100",1,,"102,59",,24,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
3082,308,2,"11:10000,100040:15","3001:40,3003:4:140",1,,"256,146",,24,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
3083,308,3,"11:16000,100040:20","3001:46,3002:4:399:4,3003:4:180",1,,"409,234",,24,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
3084,308,4,"11:24000,100040:25","3001:52,3003:4:230",1,,"664,380",,24,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
3085,308,5,"11:40000,100040:30","3001:58,3002:4:399:5,3003:4:310",1,,"1022,585",,24,Assets/Aznable/Prefabs/BattleFX/BattleFX_Common/hero_common_select_loop_02_fx.prefab,,,
3091,399,1,"11:2000,100040:3","3001:24,3002:4:303:1,3002:4:307:1",4,,,"100,100,100,100",,,,,
3092,399,2,"11:5000,100040:4",3001:31,4,,,"150,150,150,150",,,,,
3093,399,3,"11:8000,100040:5","3001:38,3002:4:303:3,3002:4:307:3",4,,,"200,200,200,200",,,,,
3094,399,4,"11:12000,100040:7",3001:45,4,,,"250,250,250,250",,,,,
3095,399,5,"11:20000,100040:9","3001:52,3002:4:303:5,3002:4:307:5",4,,,"300,300,300,300",,,,,
1141,10000,1,11:2000,,3,,,,5,,,,
1142,10000,2,11:2000,,3,,,,5,,,,
1143,10000,3,11:2000,,3,,,,5,,,,
1144,10000,4,11:2000,,3,,,,5,,,,
1145,10000,5,11:2000,,3,,,,5,,,,
1061,10001,1,11:2000,,1,,,,5,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill11_cast_fx.prefab,,
1062,10001,2,11:2000,,1,,,,5,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill11_cast_fx.prefab,,
1063,10001,3,11:2000,,1,,,,5,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill11_cast_fx.prefab,,
1064,10001,4,11:2000,,1,,,,5,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill11_cast_fx.prefab,,
1065,10001,5,11:2000,,1,,,,5,,Assets/Aznable/Prefabs/BattleFX/hero01/hero01_skill11_cast_fx.prefab,,
