id,chapterId,type,unlockConditions,teamExp,characterExp,powerPay,battleID,showLevelBoss,achievement1ID,achievement1DropId,achievement2ID,achievement2DropId,target1ID,target2ID,target3ID,targetDrops,firstDrop,normalDrop,sweepDrop,yggdrasilDrop,nextLevel,chapterStory,battleStory,winStory,loseStory,exploreStory,formationLimitCharacter,formationLimitCamp,formationLimitCarrer,formationLimitRemote,formationLimitSex,challengeTimes,adaptionId,refreshType
10517,5,2,2:10516,,60,0,,1014,,,,,,,,,,1051701,,,10601,47,,,,,,,,,,10,10,1
10518,5,1,2:10517,6,60,6,105181,30002,,,,,,,,,,1051801,,,,,,,,,,,,,,10,10,1
10519,5,1,,,150,12,105191,10016,,,,,,,,,,1051901,,,,,,,,,,,,,,10,10,1
10520,5,1,,,150,12,105201,10007,,,,,,,,,,1052001,,,,,,,,,,,,,,10,10,1
10521,5,1,,,150,12,105211,10016,,,,,,,,,,1052101,,,,,,,,,,,,,,10,10,1
10601,6,2,2:10517,,60,,,30014,,,,,,,,,,1060101,,,10602,48,,,,,,,,,,10,10,1
10602,6,1,2:10601,6,60,6,106021,10015,,,,,,,,,,1060201,,,10603,,,,,,,,,,,10,10,1
10603,6,1,2:10602,6,60,6,106031,10013,,,,,,,,,,1060301,,,10604,49,,,,,,,,,,10,10,1
10604,6,1,2:10603,6,60,6,106041,10015,,,,,,,,,,1060401,,,10605,,,,,,,,,,,10,10,1
10605,6,1,2:10604,6,60,6,106051,10013,,,,,,,,,,1060501,,,10606,,,,,,,,,,,10,10,1
10606,6,1,2:10605,6,60,6,106061,30015,,,,,,,,,,1060601,,,10607,50,,,,,,,,,,10,10,1
10607,6,1,2:10606,6,60,6,106071,10018,,,,,,,,,,1060701,,,10608,,,,,,,,,,,10,10,1
10608,6,1,2:10607,6,60,6,106081,10019,,,,,,,,,,1060801,,,10609,,,,,,,,,,,10,10,1
10609,6,1,"1:21,2:10608",6,60,6,106091,30020,,,,,,,,,,1060901,,,10610,51,,,,,,,,,,10,10,1
10610,6,1,2:10609,6,60,6,106101,10022,,,,,,,,,,1061001,,,10611,,,,,,,,,,,10,10,1
10611,6,1,2:10610,6,60,6,106111,10023,,,,,,,,,,1061101,,,10612,,,,,,,,,,,10,10,1
10612,6,1,2:10611,6,60,6,106121,30018,,,,,,,,,,1061201,,,10613,52,,53,,,,,,,,10,10,1
10613,6,1,2:10612,6,60,6,106131,10024,,,,,,,,,,1061301,,,10614,54,,,,,,,,,,10,10,1
10614,6,1,2:10613,6,60,6,106141,10013,,,,,,,,,,1061401,,,10615,,,,,,,,,,,10,10,1
10615,6,1,2:10614,6,60,6,106151,10015,,,,,,,,,,1061501,,,10616,,,,,,,,,,,10,10,1
10616,6,1,2:10615,6,60,6,106161,10013,,,,,,,,,,1061601,,,10617,,,,,,,,,,,10,10,1
10617,6,1,2:10616,6,60,6,106171,30013,,,,,,,,,,1061701,,,10701,55,,56,,,,,,,,10,10,1
10618,6,1,2:10617,,60,6,106181,10013,,,,,,,,,,1061801,,,,57,,58,,,,,,,,10,10,1
10619,6,1,,,150,12,106191,10024,,,,,,,,,,1061901,,,,,,,,,,,,,,10,10,1
10620,6,1,,,150,12,106201,10024,,,,,,,,,,1062001,,,,,,,,,,,,,,10,10,1
10621,6,1,,,150,12,106211,10013,,,,,,,,,,1062101,,,,,,,,,,,,,,10,10,1
10622,6,1,,,60,6,106221,30014,,,,,,,,,,,,,,,,,,,,,,,,10,10,1
10701,7,2,"1:24,2:10617",,60,,,30015,,,,,,,,,,1070101,,,10702,59,,,,,,,,,,10,10,1
10702,7,1,2:10701,6,60,6,107021,10018,,,,,,,,,,1070201,,,10703,60,,,,,,,,,,10,10,1
10703,7,1,2:10702,6,60,6,107031,10021,,,,,,,,,,1070301,,,10704,,,,,,,,,,,10,10,1
10704,7,1,2:10703,6,60,6,107041,10020,,,,,,,,,,1070401,,,10705,,,,,,,,,,,10,10,1
10705,7,1,2:10704,6,60,6,107051,10019,,,,,,,,,,1070501,,,10706,,,,,,,,,,,10,10,1
10706,7,1,2:10705,6,60,6,107061,10060,,,,,,,,,,1070601,,,10707,61,,,,,,,,,,10,10,1
10707,7,1,2:10706,6,60,6,107071,10019,,,,,,,,,,1070701,,,10708,,,,,,,,,,,10,10,1
10708,7,1,2:10707,6,60,6,107081,10023,,,,,,,,,,1070801,,,10709,,,,,,,,,,,10,10,1
10709,7,1,2:10708,6,60,6,107091,10022,,,,,,,,,,1070901,,,10710,,,,,,,,,,,10,10,1
10710,7,1,2:10709,6,60,6,107101,10060,,,,,,,,,,1071001,,,10711,62,,,,,,,,,,10,10,1
10711,7,1,"1:25,2:10710",6,60,6,107111,10021,,,,,,,,,,1071101,,,10712,,,,,,,,,,,10,10,1
10712,7,1,2:10711,6,60,6,107121,10018,,,,,,,,,,1071201,,,10713,63,,,,,,,,,,10,10,1
10713,7,1,2:10712,6,60,6,107131,10023,,,,,,,,,,1071301,,,10714,,,,,,,,,,,10,10,1
10714,7,1,2:10713,6,60,6,107141,30018,,,,,,,,,,1071401,,,10715,64,,,,,,,,,,10,10,1
10715,7,1,2:10714,6,60,6,107151,10019,,,,,,,,,,1071501,,,10716,,,,,,,,,,,10,10,1
10716,7,1,2:10715,6,60,6,107161,30016,,,,,,,,,,1071601,,,10717,,,,,,,,,,,10,10,1
10717,7,1,2:10716,6,60,6,107171,10020,,,,,,,,,,1071701,,,10718,,,,,,,,,,,10,10,1
10718,7,1,2:10717,6,60,6,107181,10022,,,,,,,,,,1071801,,,10719,,,,,,,,,,,10,10,1
10719,7,1,2:10718,6,60,6,107191,30017,,,,,,,,,,1071901,,,10720,,,,,,,,,,,10,10,1
10720,7,1,2:10719,6,60,6,107201,10018,,,,,,,,,,1072001,,,10721,,,,,,,,,,,10,10,1
10721,7,1,2:10720,6,60,6,107211,10020,,,,,,,,,,1072101,,,10722,,,,,,,,,,,10,10,1
10722,7,1,2:10721,6,60,6,107221,30014,,,,,,,,,,1072201,,,10801,65,,66,,,,,,,,10,10,1
10723,7,2,2:10722,,60,,,10018,,,,,,,,,,1072301,,,,67,,,,,,,,,,10,10,1
10724,7,1,,,150,12,107241,10021,,,,,,,,,,1072401,,,,,,,,,,,,,,10,10,1
10725,7,1,,,150,12,107251,10023,,,,,,,,,,1072501,,,,,,,,,,,,,,10,10,1
10726,7,1,,,150,12,107261,10018,,,,,,,,,,1072601,,,,,,,,,,,,,,10,10,1
10727,7,1,,,60,6,107271,30018,,,,,,,,,,,,,,,,,,,,,,,,10,10,1
10801,8,1,"1:27,2:10722",6,60,6,108011,10017,,,,,,,,,,1080101,,,10802,68,,69,,,,,,,,10,10,1
10802,8,1,2:10801,6,60,6,108021,10006,,,,,,,,,,1080201,,,10803,,,,,,,,,,,10,10,1
10803,8,2,2:10802,,60,,,10005,,,,,,,,,,1080301,,,10804,70,,,,,,,,,,10,10,1
10804,8,1,2:10803,6,60,6,108041,10007,,,,,,,,,,1080401,,,10805,,,,,,,,,,,10,10,1
10805,8,1,2:10804,6,60,6,108051,30008,,,,,,,,,,1080501,,,10806,71,,,,,,,,,,10,10,1
10806,8,1,2:10805,6,60,6,108061,10009,,,,,,,,,,1080601,,,10807,,,,,,,,,,,10,10,1
10807,8,1,2:10806,6,60,6,108071,10033,,,,,,,,,,1080701,,,10808,72,,,,,,,,,,10,10,1
10808,8,1,2:10807,6,60,6,108081,10036,,,,,,,,,,1080801,,,10809,,,,,,,,,,,10,10,1
10809,8,2,2:10808,,60,,,10005,,,,,,,,,,1080901,,,10810,73,,,,,,,,,,10,10,1
10810,8,1,2:10809,6,60,6,108101,10033,,,,,,,,,,1081001,,,10811,,,,,,,,,,,10,10,1
10811,8,1,2:10810,6,60,6,108111,30029,,,,,,,,,,1081101,,,10812,74,,75,,,,,,,,10,10,1
10812,8,1,"1:29,2:10811",6,60,6,108121,10048,,,,,,,,,,1081201,,,10813,,,,,,,,,,,10,10,1
10813,8,1,2:10812,6,60,6,108131,10047,,,,,,,,,,1081301,,,10814,76,,,,,,,,,,10,10,1
10814,8,1,2:10813,6,60,6,108141,10046,,,,,,,,,,1081401,,,10815,,,,,,,,,,,10,10,1
10815,8,1,2:10814,6,60,6,108151,10009,,,,,,,,,,1081501,,,10816,77,,,,,,,,,,10,10,1
10816,8,1,2:10815,6,60,6,108161,10053,,,,,,,,,,1081601,,,10817,,,,,,,,,,,10,10,1
10817,8,1,2:10816,6,60,6,108171,10009,,,,,,,,,,1081701,,,10818,78,,,,,,,,,,10,10,1
10818,8,1,2:10817,6,60,6,108181,10017,,,,,,,,,,1081801,,,10819,,,,,,,,,,,10,10,1
10819,8,1,2:10818,6,60,6,108191,10007,,,,,,,,,,1081901,,,10820,79,,80,,,,,,,,10,10,1
10820,8,1,2:10819,6,60,6,108201,10006,,,,,,,,,,1082001,,,10821,,,,,,,,,,,10,10,1
10821,8,1,2:10820,6,60,6,108211,10007,,,,,,,,,,1082101,,,10822,,,,,,,,,,,10,10,1
10822,8,1,2:10821,6,60,6,108221,30028,,,,,,,,,,1082201,,,10901,81,,82,,,,,,,,10,10,1
10823,8,1,,,150,12,108231,10033,,,,,,,,,,1082301,,,,,,,,,,,,,,10,10,1
10824,8,1,,,150,12,108241,10017,,,,,,,,,,1082401,,,,,,,,,,,,,,10,10,1
10825,8,1,,,150,12,108251,10048,,,,,,,,,,1082501,,,,,,,,,,,,,,10,10,1
10826,8,1,,,60,6,108261,30028,,,,,,,,,,1082601,,,,,,,,,,,,,,10,10,1
10901,9,1,"1:31,2:10822",6,60,6,109011,10069,,,,,,,,,,1090101,,,10902,83,,84,,,,,,,,10,10,1
10902,9,1,2:10901,6,60,6,109021,10051,,,,,,,,,,1090201,,,10903,,,,,,,,,,,10,10,1
10903,9,1,2:10902,6,60,6,109031,10037,,,,,,,,,,1090301,,,10904,,,,,,,,,,,10,10,1
10904,9,1,2:10903,6,60,6,109041,10036,,,,,,,,,,1090401,,,,,,,,,,,,,,10,10,1
10905,9,1,2:10904,6,60,6,109051,10033,,,,,,,,,,1090501,,,10906,85,,,,,,,,,,10,10,1
10906,9,1,2:10905,6,60,6,109061,10036,,,,,,,,,,1090601,,,10907,,,,,,,,,,,10,10,1
10907,9,1,2:10906,6,60,6,109071,10053,,,,,,,,,,1090701,,,10908,,,,,,,,,,,10,10,1
10908,9,1,2:10907,6,60,6,109081,10035,,,,,,,,,,1090801,,,10909,,,,,,,,,,,10,10,1
10909,9,1,2:10908,6,60,6,109091,10036,,,,,,,,,,1090901,,,10910,86,,,,,,,,,,10,10,1
10910,9,1,2:10909,6,60,6,109101,10035,,,,,,,,,,1091001,,,10911,,,,,,,,,,,10,10,1
10911,9,1,2:10910,6,60,6,109111,10033,,,,,,,,,,1091101,,,10912,,,,,,,,,,,10,10,1
10912,9,1,"1:32,2:10911",6,60,6,109121,10036,,,,,,,,,,1091201,,,,,,,,,,,,,,10,10,1
10913,9,1,2:10912,6,60,6,109131,30021,,,,,,,,,,1091301,,,10914,87,,,,,,,,,,10,10,1
10914,9,1,2:10913,6,60,6,109141,10033,,,,,,,,,,1091401,,,10915,,,,,,,,,,,10,10,1
10915,9,1,2:10914,6,60,6,109151,10036,,,,,,,,,,1091501,,,10916,,,,,,,,,,,10,10,1
10916,9,1,2:10915,6,60,6,109161,10033,,,,,,,,,,1091601,,,10917,,,,,,,,,,,10,10,1
10917,9,1,2:10916,6,60,6,109171,10035,,,,,,,,,,1091701,,,10918,,,,,,,,,,,10,10,1
10918,9,1,2:10917,6,60,6,109181,10051,,,,,,,,,,1091801,,,10919,,,,,,,,,,,10,10,1
10919,9,1,2:10918,6,60,6,109191,10035,,,,,,,,,,1091901,,,10920,,,,,,,,,,,10,10,1
10920,9,1,2:10919,6,60,6,109201,10036,,,,,,,,,,1092001,,,10921,,,,,,,,,,,10,10,1
10921,9,1,2:10920,6,60,6,109211,10033,,,,,,,,,,1092101,,,10922,,,,,,,,,,,10,10,1
10922,9,1,2:10921,6,60,6,109221,30021,,,,,,,,,,1092201,,,,88,,89,,,,,,,,10,10,1
10923,9,2,2:10922,,60,,,10033,,,,,,,,,,1092301,,,,90,,,,,,,,,,10,10,1
10924,9,1,,,150,12,109241,10035,,,,,,,,,,1092401,,,,,,,,,,,,,,10,10,1
10925,9,1,,,150,12,109251,10033,,,,,,,,,,1092501,,,,,,,,,,,,,,10,10,1
10926,9,1,,,150,12,109261,10036,,,,,,,,,,1092601,,,,,,,,,,,,,,10,10,1
10927,9,1,,,60,6,109271,30021,,,,,,,,,,1092701,,,,,,,,,,,,,,10,10,1
90000,,1,,,10,6,101,10001,101011,90001,101012,90002,1001,1002,1003,90001,,1000000,,,10102,4,,5,,,,,,,,999,999,0
90001,,1,,,20,6,102,10003,101021,90001,101022,90002,1001,1002,1003,90001,,1000000,,,10201,6,,7,,,,,,,,999,999,0
90002,,1,,,20,6,103,10005,102021,90001,102022,90002,1001,1002,1003,90001,,1000000,,,10203,8,,9,,,,,,,,999,999,0
400001,,1,,,0,0,4000011,10010,,,,,,,,,,,0,4012101,,,,,,,2,1,,,,1,1,-1
400002,,1,,,0,0,4000021,30012,,,,,,,,,,,0,4012101,,,,,,,,,1,1,,1,1,-1
400003,,1,,,0,0,4000031,10010,,,,,,,,,,,0,4012101,,,,,,,,,,,1,1,1,-1
400004,,1,,,0,0,4000041,10010,,,,,,,,,,,0,4012101,,,,,,,,,,,,1,1,-1
401101,,1,,,0,0,4011011,10010,,,,,,,,,,,,4012101,,,,,,,,,,,,1,1001,-1
401102,,1,,0,0,0,4011021,10011,,,,,,,,,,,,4012101,,,,,,,,,,,,1,1001,-1
401103,,1,,0,0,0,4011031,10016,,,,,,,,,,,,4012102,,,,,,,,,,,,1,1001,-1
401201,,1,,0,0,0,4012011,10010,,,,,,,,,,,,4012101,,,,,,,,,,,,1,1001,-1
401202,,1,,0,0,0,4012021,10011,,,,,,,,,,,,4012101,,,,,,,,,,,,1,1001,-1
401203,,1,,0,0,0,4012031,10016,,,,,,,,,,,,4012102,,,,,,,,,,,,1,1001,-1
401301,,1,,0,0,0,4013011,11016,,,,,,,,,,,0,,,,,,,,,,,,,1,1001,-1
401302,,1,,0,0,0,4013021,11011,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401303,,1,,0,0,0,4013031,11010,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401304,,1,,0,0,0,4013041,11016,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401305,,1,,0,0,0,4013051,11010,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401306,,1,,0,0,0,4013061,11011,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401104,,1,,0,0,0,4011041,10010,,,,,,,,,,,0,4012101,,,,,,,,,,,,1,1001,-1
401109,,1,,0,0,0,4011091,10011,,,,,,,,,,,0,4012101,,,,,,,,,,,,1,1001,-1
401114,,1,,0,0,0,4011141,10016,,,,,,,,,,,0,4012102,,,,,,,,,,,,1,1001,-1
401119,,1,,0,0,0,4011191,10016,,,,,,,,,,,0,4012102,,,,,,,,,,,,1,1001,-1
401124,,1,,0,0,0,4011241,10016,,,,,,,,,,,0,4012102,,,,,,,,,,,,1,1001,-1
401204,,1,,0,0,0,4012041,10010,,,,,,,,,,,0,4012101,,,,,,,,,,,,1,1001,-1
401209,,1,,0,0,0,4012091,10011,,,,,,,,,,,0,4012101,,,,,,,,,,,,1,1001,-1
401214,,1,,0,0,0,4012141,10016,,,,,,,,,,,0,4012102,,,,,,,,,,,,1,1001,-1
401219,,1,,0,0,0,4012191,10016,,,,,,,,,,,0,4012102,,,,,,,,,,,,1,1001,-1
401224,,1,,0,0,0,4012241,10016,,,,,,,,,,,0,4012102,,,,,,,,,,,,1,1001,-1
401307,,1,,0,0,0,4013071,11016,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401308,,1,,0,0,0,4013081,11016,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401309,,1,,0,0,0,4013091,11016,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401310,,1,,0,0,0,4013101,11016,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401311,,1,,0,0,0,4013111,11011,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401312,,1,,0,0,0,4013121,11016,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401313,,1,,0,0,0,4013131,11016,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401314,,1,,0,0,0,4013141,11010,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401315,,1,,0,0,0,4013151,11010,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401316,,1,,0,0,0,4013161,11011,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401317,,1,,0,0,0,4013171,11011,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401318,,1,,0,0,0,4013181,11010,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401319,,1,,0,0,0,4013191,11011,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401320,,1,,0,0,0,4013201,11016,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401321,,1,,0,0,0,4013211,11010,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401322,,1,,0,0,0,4013221,11011,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401323,,1,,0,0,0,4013231,11016,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401324,,1,,0,0,0,4013241,11010,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401401,,1,,0,0,0,4014011,10051,,,,,,,,,,,0,,,,,,,,1,,,,,1,1,-1
401402,,1,,0,0,0,4014021,10016,,,,,,,,,,,0,,,,,,,,1,,,,,1,1,-1
401403,,1,,0,0,0,4014031,10012,,,,,,,,,,,0,,,,,,,,1,,,,,1,1,-1
401404,,1,,0,0,0,4014041,10016,,,,,,,,,,,0,,,,,,,,1,,,,,1,1,-1
401405,,1,,0,0,0,4014051,34001,,,,,,,,,,,0,4013196,,,,,,,,,,,,1,1,-1
401406,,1,,0,0,0,4014061,30013,,,,,,,,,,,0,,,,,,,,,,,,,1,1,-1
401501,,1,,0,0,0,4015011,34001,,,,,,,,,,,0,4015011,,,,,,,,,,,,1,1,-1
401502,,1,,0,0,0,4015021,31004,,,,,,,,,,,0,4015021,,,,,,,,,,,,1,1,-1
401503,,1,,0,0,0,4015031,31005,,,,,,,,,,,0,4015031,,,,,,,,,,,,1,1,-1
401504,,1,,0,0,0,4015041,34006,,,,,,,,,,,0,4015041,,,,,,,,,,,,1,1,-1
401505,,1,,0,0,0,4015051,10005,,,,,,,,,,,0,4015051,,,,,,,,,,,,1,1,-1
401506,,1,,0,0,0,4015061,10037,,,,,,,,,,,0,4015061,,,,,,,,,,,,1,1,-1
402201,,1,,0,0,0,4022011,10012,,,,,,,,,,,,4022101,,,,,,,,,,,,1,1001,-1
402206,,1,,0,0,0,4022061,10028,,,,,,,,,,,,4022101,,,,,,,,,,,,1,1001,-1
402211,,1,,0,0,0,4022111,10024,,,,,,,,,,,,4022103,,,,,,,,,,,,1,1001,-1
