id,heroID,heroLv,heroName,hpMax,phyAtk,magAtk,phyDfs,magDfs,critAtkRatio,critAtkValue
187,5,7,黑洛黑洛,4050,405,405,243,243,,
188,5,8,黑洛黑洛,4590,459,459,275,275,,
189,5,9,黑洛黑洛,5130,513,513,308,308,,
190,5,10,黑洛黑洛,5670,567,567,340,340,,
191,5,11,黑洛黑洛,6210,621,621,373,373,,
192,5,12,黑洛黑洛,6750,675,675,405,405,,
193,5,13,黑洛黑洛,7290,729,729,437,437,,
194,5,14,黑洛黑洛,7830,783,783,470,470,,
195,5,15,黑洛黑洛,8370,837,837,502,502,,
196,5,16,黑洛黑洛,8910,891,891,535,535,,
197,5,17,黑洛黑洛,9450,945,945,567,567,,
198,5,18,黑洛黑洛,9990,999,999,599,599,,
199,5,19,黑洛黑洛,10530,1053,1053,632,632,,
200,5,20,黑洛黑洛,11070,1107,1107,664,664,,
201,5,21,黑洛黑洛,11703,1170,1170,702,702,,
202,5,22,黑洛黑洛,12344,1234,1234,741,741,,
203,5,23,黑洛黑洛,12995,1299,1299,780,780,,
204,5,24,黑洛黑洛,13653,1365,1365,819,819,,
205,5,25,黑洛黑洛,14321,1432,1432,859,859,,
206,5,26,黑洛黑洛,14997,1500,1500,900,900,,
207,5,27,黑洛黑洛,15682,1568,1568,941,941,,
208,5,28,黑洛黑洛,16375,1637,1637,982,982,,
209,5,29,黑洛黑洛,17077,1708,1708,1025,1025,,
210,5,30,黑洛黑洛,17788,1779,1779,1067,1067,,
211,5,31,黑洛黑洛,18507,1851,1851,1110,1110,,
212,5,32,黑洛黑洛,19235,1923,1923,1154,1154,,
213,5,33,黑洛黑洛,19971,1997,1997,1198,1198,,
214,5,34,黑洛黑洛,20717,2072,2072,1243,1243,,
215,5,35,黑洛黑洛,21470,2147,2147,1288,1288,,
216,5,36,黑洛黑洛,22233,2223,2223,1334,1334,,
217,5,37,黑洛黑洛,23004,2300,2300,1380,1380,,
218,5,38,黑洛黑洛,23784,2378,2378,1427,1427,,
219,5,39,黑洛黑洛,24572,2457,2457,1474,1474,,
220,5,40,黑洛黑洛,25369,2537,2537,1522,1522,,
221,5,41,黑洛黑洛,26175,2617,2617,1570,1570,,
222,5,42,黑洛黑洛,26989,2699,2699,1619,1619,,
223,5,43,黑洛黑洛,27812,2781,2781,1669,1669,,
224,5,44,黑洛黑洛,28644,2864,2864,1719,1719,,
225,5,45,黑洛黑洛,29484,2948,2948,1769,1769,,
226,5,46,黑洛黑洛,30333,3033,3033,1820,1820,,
227,5,47,黑洛黑洛,31190,3119,3119,1871,1871,,
228,5,48,黑洛黑洛,32057,3206,3206,1923,1923,,
229,5,49,黑洛黑洛,32931,3293,3293,1976,1976,,
230,5,50,黑洛黑洛,33815,3381,3381,2029,2029,,
231,5,51,黑洛黑洛,34707,3471,3471,2082,2082,,
232,5,52,黑洛黑洛,35608,3561,3561,2136,2136,,
233,5,53,黑洛黑洛,36517,3652,3652,2191,2191,,
234,5,54,黑洛黑洛,37435,3743,3743,2246,2246,,
235,5,55,黑洛黑洛,38362,3836,3836,2302,2302,,
236,5,56,黑洛黑洛,39297,3930,3930,2358,2358,,
237,5,57,黑洛黑洛,40241,4024,4024,2414,2414,,
238,5,58,黑洛黑洛,41193,4119,4119,2472,2472,,
239,5,59,黑洛黑洛,42155,4215,4215,2529,2529,,
240,5,60,黑洛黑洛,43124,4312,4312,2587,2587,,
241,10000,1,敌人骨王,810,81,81,49,49,,
242,10000,2,敌人骨王,1350,135,135,81,81,,
243,10000,3,敌人骨王,1890,189,189,113,113,,
244,10000,4,敌人骨王,2430,243,243,146,146,,
245,10000,5,敌人骨王,2970,297,297,178,178,,
246,10000,6,敌人骨王,3510,351,351,211,211,,
247,10000,7,敌人骨王,4050,405,405,243,243,,
248,10000,8,敌人骨王,4590,459,459,275,275,,
249,10000,9,敌人骨王,5130,513,513,308,308,,
250,10000,10,敌人骨王,5670,567,567,340,340,,
251,10000,11,敌人骨王,6210,621,621,373,373,,
252,10000,12,敌人骨王,6750,675,675,405,405,,
253,10000,13,敌人骨王,7290,729,729,437,437,,
254,10000,14,敌人骨王,7830,783,783,470,470,,
255,10000,15,敌人骨王,8370,837,837,502,502,,
256,10000,16,敌人骨王,8910,891,891,535,535,,
257,10000,17,敌人骨王,9450,945,945,567,567,,
258,10000,18,敌人骨王,9990,999,999,599,599,,
259,10000,19,敌人骨王,10530,1053,1053,632,632,,
260,10000,20,敌人骨王,11070,1107,1107,664,664,,
261,10000,21,敌人骨王,11703,1170,1170,702,702,,
262,10000,22,敌人骨王,12344,1234,1234,741,741,,
263,10000,23,敌人骨王,12995,1299,1299,780,780,,
264,10000,24,敌人骨王,13653,1365,1365,819,819,,
265,10000,25,敌人骨王,14321,1432,1432,859,859,,
266,10000,26,敌人骨王,14997,1500,1500,900,900,,
267,10000,27,敌人骨王,15682,1568,1568,941,941,,
268,10000,28,敌人骨王,16375,1637,1637,982,982,,
269,10000,29,敌人骨王,17077,1708,1708,1025,1025,,
270,10000,30,敌人骨王,17788,1779,1779,1067,1067,,
271,10000,31,敌人骨王,18507,1851,1851,1110,1110,,
272,10000,32,敌人骨王,19235,1923,1923,1154,1154,,
273,10000,33,敌人骨王,19971,1997,1997,1198,1198,,
274,10000,34,敌人骨王,20717,2072,2072,1243,1243,,
275,10000,35,敌人骨王,21470,2147,2147,1288,1288,,
276,10000,36,敌人骨王,22233,2223,2223,1334,1334,,
277,10000,37,敌人骨王,23004,2300,2300,1380,1380,,
278,10000,38,敌人骨王,23784,2378,2378,1427,1427,,
279,10000,39,敌人骨王,24572,2457,2457,1474,1474,,
280,10000,40,敌人骨王,25369,2537,2537,1522,1522,,
281,10000,41,敌人骨王,26175,2617,2617,1570,1570,,
282,10000,42,敌人骨王,26989,2699,2699,1619,1619,,
283,10000,43,敌人骨王,27812,2781,2781,1669,1669,,
284,10000,44,敌人骨王,28644,2864,2864,1719,1719,,
285,10000,45,敌人骨王,29484,2948,2948,1769,1769,,
286,10000,46,敌人骨王,30333,3033,3033,1820,1820,,
287,10000,47,敌人骨王,31190,3119,3119,1871,1871,,
288,10000,48,敌人骨王,32057,3206,3206,1923,1923,,
289,10000,49,敌人骨王,32931,3293,3293,1976,1976,,
290,10000,50,敌人骨王,33815,3381,3381,2029,2029,,
291,10000,51,敌人骨王,34707,3471,3471,2082,2082,,
292,10000,52,敌人骨王,35608,3561,3561,2136,2136,,
293,10000,53,敌人骨王,36517,3652,3652,2191,2191,,
294,10000,54,敌人骨王,37435,3743,3743,2246,2246,,
295,10000,55,敌人骨王,38362,3836,3836,2302,2302,,
296,10000,56,敌人骨王,39297,3930,3930,2358,2358,,
297,10000,57,敌人骨王,40241,4024,4024,2414,2414,,
298,10000,58,敌人骨王,41193,4119,4119,2472,2472,,
299,10000,59,敌人骨王,42155,4215,4215,2529,2529,,
300,10000,60,敌人骨王,43124,4312,4312,2587,2587,,
