id,charID,star,hpRatio,phyAtkRatio,magAtkRatio,phyDfsRatio,magDfsRatio,hpMax,phyAtk,magAtk,phyDfs,magDfs,rarityUp,cost,buildProducePercent
10085,1008,5,432.154,6.974,39.214,21.196,23.528,2833,46,257,139,154,,"501008:150,11:100000",800
10091,1009,1,219.507,2.744,27.438,9.26,9.415,0,0,0,0,0,,,400
10092,1009,2,252.433,3.155,31.554,10.65,10.827,701,9,88,30,30,,"501009:60,11:10000",500
10093,1009,3,296.334,3.704,37.042,12.502,12.71,1152,14,144,49,49,,"501009:90,11:30000",600
10094,1009,4,351.211,4.39,43.901,14.817,15.064,1756,22,220,74,75,,"501009:120,11:60000",700
10095,1009,5,439.014,5.488,54.877,18.521,18.83,2878,36,360,121,123,,"501009:150,11:100000",800
10121,1012,1,207.571,18.475,2.601,10.084,10.084,0,0,0,0,0,,,400
10122,1012,2,238.707,21.246,2.991,11.596,11.596,663,59,8,32,32,,"501012:60,11:10000",500
10123,1012,3,350.277,31.177,4.389,17.016,17.016,1362,121,17,66,66,4,"501012:90,11:30000",600
10124,1012,4,415.143,36.95,5.201,20.167,20.167,2076,185,26,101,101,,"501012:120,11:60000",700
10125,1012,5,518.928,46.188,6.502,25.209,25.209,3402,303,43,165,165,,"501012:150,11:100000",800
10131,1013,1,175.606,3.327,26.89,7.949,10.67,0,0,0,0,0,,,400
10132,1013,2,201.946,3.826,30.923,9.141,12.271,561,11,86,25,34,,"501013:60,11:10000",500
10133,1013,3,237.068,4.491,36.301,10.731,14.405,922,17,141,42,56,,"501013:90,11:30000",600
10134,1013,4,280.969,5.323,43.023,12.718,17.072,1405,27,215,64,85,,"501013:120,11:60000",700
10135,1013,5,351.211,6.654,53.779,15.897,21.34,2302,44,353,104,140,,"501013:150,11:100000",800
10141,1014,1,246.745,23.551,3.355,12.09,12.725,0,0,0,0,0,,,400
10142,1014,2,283.757,27.084,3.858,13.904,14.633,788,75,11,39,41,,"501014:60,11:10000",500
10143,1014,3,333.106,31.794,4.529,16.322,17.178,1295,124,18,63,67,,"501014:90,11:30000",600
10144,1014,4,394.792,37.682,5.367,19.344,20.359,1974,188,27,97,102,,"501014:120,11:60000",700
10145,1014,5,493.491,47.103,6.709,24.18,25.449,3235,309,44,159,167,,"501014:150,11:100000",800
10241,1024,1,244.201,23.78,3.562,13.248,12.484,0,0,0,0,0,,,400
10242,1024,2,280.832,27.347,4.096,15.235,14.357,780,76,11,42,40,,"501024:60,11:10000",500
10243,1024,3,329.672,32.103,4.809,17.884,16.854,1282,125,19,70,66,,"501024:90,11:30000",600
10244,1024,4,390.722,38.048,5.699,21.196,19.975,1954,190,28,106,100,,"501024:120,11:60000",700
10245,1024,5,488.403,47.56,7.124,26.495,24.969,3202,312,47,174,164,,"501024:150,11:100000",800
10311,1031,1,277.128,19.327,3.258,15.803,16.746,0,0,0,0,0,,,400
10312,1031,2,318.697,22.226,3.747,18.173,19.258,885,62,10,50,53,,"501031:60,11:10000",500
10313,1031,3,374.122,26.091,4.399,21.334,22.607,1455,101,17,83,88,,"501031:90,11:30000",600
10314,1031,4,443.404,30.923,5.213,25.284,26.794,2217,155,26,126,134,,"501031:120,11:60000",700
10315,1031,5,554.255,38.654,6.517,31.606,33.492,3633,253,43,207,220,,"501031:150,11:100000",800
20011,2001,1,137.942,16.265,2.354,5.947,6.421,0,0,0,0,0,,,300
20012,2001,2,158.633,18.705,2.707,6.839,7.384,441,52,8,19,21,,"502001:60,11:10000",350
20013,2001,3,229.196,27.025,3.911,9.881,10.668,891,105,15,38,41,3,"502001:90,11:30000",450
20014,2001,4,271.64,32.03,4.635,11.711,12.644,1358,160,23,59,63,,"502001:120,11:60000",550
20015,2001,5,339.55,40.037,5.794,14.638,15.805,2226,262,38,96,104,,"502001:150,11:100000",650
20051,2005,1,209.606,17.743,2.794,10.701,9.315,0,0,0,0,0,,,300
20052,2005,2,241.047,20.405,3.214,12.306,10.713,670,57,9,34,30,,"502005:60,11:10000",350
20053,2005,3,282.968,23.954,3.772,14.446,12.576,1100,93,15,56,49,,"502005:90,11:30000",450
20054,2005,4,335.37,28.39,4.471,17.122,14.905,1677,142,22,86,75,,"502005:120,11:60000",550
20055,2005,5,419.213,35.487,5.589,21.402,18.631,2748,233,37,140,122,,"502005:150,11:100000",650
20061,2006,1,207.571,17.926,2.822,9.981,9.796,0,0,0,0,0,,,300
20062,2006,2,238.707,20.615,3.245,11.478,11.265,663,57,9,32,31,,"502006:60,11:10000",350
20063,2006,3,280.221,24.201,3.81,13.474,13.224,1090,94,15,52,51,,"502006:90,11:30000",450
20064,2006,4,332.114,28.682,4.515,15.969,15.673,1661,143,23,80,78,,"502006:120,11:60000",550
20065,2006,5,415.143,35.853,5.644,19.961,19.591,2721,235,37,131,128,,"502006:150,11:100000",650
20071,2007,1,158.045,2.744,21.512,6.359,8.201,0,0,0,0,0,,,300
20072,2007,2,181.752,3.155,24.738,7.313,9.432,505,9,69,20,26,,"502007:60,11:10000",350
20073,2007,3,213.361,3.704,29.041,8.584,11.072,830,14,113,33,43,,"502007:90,11:30000",450
20074,2007,4,252.872,4.39,34.419,10.174,13.122,1264,22,172,51,66,,"502007:120,11:60000",550
20075,2007,5,316.09,5.488,43.023,12.718,16.403,2072,36,282,83,108,,"502007:150,11:100000",650
20081,2008,1,150.728,2.689,22.609,6.05,8.62,0,0,0,0,0,,,300
20082,2008,2,173.337,3.092,26.001,6.958,9.913,481,9,72,19,28,,"502008:60,11:10000",350
20083,2008,3,203.483,3.63,30.522,8.168,11.637,791,14,119,32,45,,"502008:90,11:30000",450
20084,2008,4,241.165,4.302,36.175,9.68,13.792,1206,22,181,48,69,,"502008:120,11:60000",550
20085,2008,5,301.456,5.378,45.218,12.1,17.24,1976,35,296,79,113,,"502008:150,11:100000",650
20091,2009,1,228.287,15.462,2.744,13.815,11.993,0,0,0,0,0,,,300
20092,2009,2,262.53,17.781,3.155,15.888,13.792,729,49,9,44,38,,"502009:60,11:10000",350
20093,2009,3,308.188,20.873,3.704,18.651,16.191,1199,81,14,73,63,,"502009:90,11:30000",450
20094,2009,4,365.26,24.738,4.39,22.104,19.189,1826,124,22,111,96,,"502009:120,11:60000",550
20095,2009,5,456.574,30.923,5.488,27.63,23.987,2993,203,36,181,157,,"502009:150,11:100000",650
20111,2011,1,144.875,2.826,22.609,5.988,8.034,0,0,0,0,0,,,300
20112,2011,2,166.606,3.25,26.001,6.887,9.239,463,9,72,19,26,,"502011:60,11:10000",350
20113,2011,3,195.581,3.815,30.522,8.084,10.846,761,15,119,31,42,,"502011:90,11:30000",450
20114,2011,4,231.799,4.522,36.175,9.581,12.854,1159,23,181,48,64,,"502011:120,11:60000",550
20115,2011,5,289.749,5.652,45.218,11.977,16.068,1899,37,296,79,105,,"502011:150,11:100000",650
20191,2019,1,150.728,2.662,22.17,6.421,8.118,0,0,0,0,0,,,300
20192,2019,2,173.337,3.061,25.496,7.384,9.335,481,9,71,21,26,,"502019:60,11:10000",350
20193,2019,3,203.483,3.593,29.93,8.668,10.959,791,14,116,34,43,,"502019:90,11:30000",450
20194,2019,4,241.165,4.258,35.472,10.273,12.988,1206,21,177,51,65,,"502019:120,11:60000",550
20195,2019,5,301.456,5.323,44.34,12.841,16.235,1976,35,291,84,106,,"502019:150,11:100000",650
20201,2020,1,174.92,19.047,2.869,7.319,8.396,0,0,0,0,0,,,300
20202,2020,2,201.158,21.904,3.299,8.417,9.656,559,61,9,23,27,,"502020:60,11:10000",350
20203,2020,3,236.141,25.713,3.873,9.881,11.335,918,100,15,38,44,,"502020:90,11:30000",450
20204,2020,4,279.871,30.475,4.59,11.711,13.434,1399,152,23,59,67,,"502020:120,11:60000",550
20205,2020,5,349.839,38.094,5.737,14.638,16.792,2293,250,38,96,110,,"502020:150,11:100000",650
20211,2021,1,201.466,18.841,2.85,9.981,9.219,0,0,0,0,0,,,300
20212,2021,2,231.686,21.667,3.277,11.478,10.602,644,60,9,32,29,,"502021:60,11:10000",350
20213,2021,3,271.979,25.435,3.847,13.474,12.446,1058,99,15,52,48,,"502021:90,11:30000",450
20214,2021,4,322.346,30.146,4.56,15.969,14.751,1612,151,23,80,74,,"502021:120,11:60000",550
20215,2021,5,402.932,37.682,5.699,19.961,18.439,2641,247,37,131,121,,"502021:150,11:100000",650
20411,2041,1,160.057,2.79,16.006,8.232,9.603,0,0,0,0,0,,,300
20412,2041,2,184.066,3.208,18.407,9.466,11.044,511,9,51,26,31,,"502041:60,11:10000",350
20413,2041,3,216.077,3.766,21.608,11.113,12.965,840,15,84,43,50,,"502041:90,11:30000",450
20414,2041,4,256.091,4.463,25.609,13.17,15.365,1280,22,128,66,77,,"502041:120,11:60000",550
20415,2041,5,320.114,5.579,32.011,16.463,19.207,2099,37,210,108,126,,"502041:150,11:100000",650
30021,3002,1,183.7,12.434,2.252,11.013,10.056,0,0,0,0,0,,,200
30022,3002,2,211.255,14.299,2.589,12.665,11.564,587,40,7,35,32,,"503002:60,11:10000",250
30023,3002,3,247.995,16.786,3.04,14.868,13.575,964,65,12,58,53,,"503002:90,11:30000",300
30024,3002,4,293.92,19.895,3.603,17.621,16.089,1470,99,18,88,80,,"503002:120,11:60000",350
30025,3002,5,367.4,24.869,4.503,22.026,20.111,2409,163,30,144,132,,"503002:150,11:100000",450
30031,3003,1,168.652,14.565,2.293,8.109,7.959,0,0,0,0,0,,,200
30032,3003,2,193.949,16.75,2.637,9.326,9.153,539,47,7,26,25,,"503003:60,11:10000",250
30033,3003,3,227.68,19.663,3.095,10.948,10.744,885,76,12,43,42,,"503003:90,11:30000",300
30034,3003,4,269.843,23.304,3.669,12.975,12.734,1349,117,18,65,64,,"503003:120,11:60000",350
30035,3003,5,337.303,29.13,4.586,16.219,15.918,2211,191,30,106,104,,"503003:150,11:100000",450
30041,3004,1,171.959,14.417,2.27,8.611,7.569,0,0,0,0,0,,,200
30042,3004,2,197.752,16.579,2.611,9.903,8.704,549,46,7,28,24,,"503004:60,11:10000",250
30043,3004,3,232.144,19.462,3.065,11.625,10.218,903,76,12,45,40,,"503004:90,11:30000",300
30044,3004,4,275.134,23.067,3.633,13.777,12.11,1376,115,18,69,61,,"503004:120,11:60000",350
30045,3004,5,343.917,28.833,4.541,17.222,15.137,2255,189,30,113,99,,"503004:150,11:100000",450
30051,3005,1,133.948,2.221,13.395,6.554,8.037,0,0,0,0,0,,,200
30052,3005,2,154.04,2.554,15.404,7.537,9.242,428,7,43,21,26,,"503005:60,11:10000",250
30053,3005,3,180.83,2.999,18.083,8.848,10.85,703,12,70,34,42,,"503005:90,11:30000",300
30054,3005,4,214.317,3.554,21.432,10.487,12.859,1072,18,107,52,64,,"503005:120,11:60000",350
30055,3005,5,267.896,4.442,26.79,13.109,16.074,1756,29,176,86,105,,"503005:150,11:100000",450
30061,3006,1,129.21,16.767,2.206,6.376,5.514,0,0,0,0,0,,,200
30062,3006,2,148.592,19.282,2.537,7.332,6.341,413,54,7,20,18,,"503006:60,11:10000",250
30063,3006,3,174.434,22.635,2.978,8.608,7.444,678,88,12,33,29,,"503006:90,11:30000",300
30064,3006,4,206.737,26.827,3.53,10.202,8.823,1034,134,18,51,44,,"503006:120,11:60000",350
30065,3006,5,258.421,33.533,4.412,12.752,11.029,1694,220,29,84,72,,"503006:150,11:100000",450
30071,3007,1,187.267,12.691,2.296,10.06,10.781,0,0,0,0,0,,,200
30072,3007,2,215.357,14.594,2.641,11.569,12.398,598,41,7,32,34,,"503007:60,11:10000",250
30073,3007,3,252.81,17.132,3.1,13.581,14.555,983,67,12,53,57,,"503007:90,11:30000",300
30074,3007,4,299.627,20.305,3.674,16.096,17.25,1498,102,18,80,86,,"503007:120,11:60000",350
30075,3007,5,374.534,25.381,4.593,20.12,21.562,2455,166,30,132,141,,"503007:150,11:100000",450
30081,3008,1,173.612,15.606,2.023,8.778,7.023,0,0,0,0,0,,,200
30082,3008,2,199.654,17.946,2.327,10.095,8.076,555,50,6,28,22,,"503008:60,11:10000",250
30083,3008,3,234.376,21.068,2.731,11.85,9.48,911,82,11,46,37,,"503008:90,11:30000",300
30084,3008,4,277.779,24.969,3.237,14.045,11.236,1389,125,16,70,56,,"503008:120,11:60000",350
30085,3008,5,347.224,31.211,4.046,17.556,14.045,2276,205,27,115,92,,"503008:150,11:100000",450
30101,3010,1,143.516,15.949,2.194,6.744,7.691,0,0,0,0,0,,,200
30102,3010,2,165.043,18.342,2.523,7.755,8.845,458,51,7,22,25,,"503010:60,11:10000",250
30103,3010,3,193.746,21.532,2.961,9.104,10.383,753,84,12,35,40,,"503010:90,11:30000",300
30104,3010,4,229.625,25.519,3.51,10.79,12.306,1148,128,18,54,62,,"503010:120,11:60000",350
30105,3010,5,287.031,31.899,4.387,13.488,15.383,1882,209,29,88,101,,"503010:150,11:100000",450
30111,3011,1,178.349,12.819,2.229,10.589,10.367,0,0,0,0,0,,,200
30112,3011,2,205.102,14.742,2.564,12.178,11.922,570,41,7,34,33,,"503011:60,11:10000",250
30113,3011,3,240.772,17.305,3.01,14.296,13.995,936,67,12,56,54,,"503011:90,11:30000",300
30114,3011,4,285.359,20.51,3.567,16.943,16.586,1427,103,18,85,83,,"503011:120,11:60000",350
30115,3011,5,356.699,25.638,4.459,21.179,20.733,2338,168,29,139,136,,"503011:150,11:100000",450
40011,4001,1,151.965,12.864,2.026,7.758,6.754,0,0,0,0,0,,,100
40012,4001,2,174.759,14.794,2.33,8.922,7.767,485,41,6,25,22,,"504001:60,11:10000",150
40013,4001,3,205.152,17.366,2.735,10.474,9.117,798,68,11,41,35,,"504001:90,11:30000",200
40014,4001,4,243.143,20.582,3.241,12.413,10.806,1216,103,16,62,54,,"504001:120,11:60000",250
40015,4001,5,303.929,25.728,4.052,15.516,13.507,1992,169,27,102,89,,"504001:150,11:100000",350
40021,4002,1,162.325,11.21,2.029,9.166,9.435,0,0,0,0,0,,,100
40022,4002,2,186.674,12.891,2.333,10.54,10.85,519,36,6,29,30,,"504002:60,11:10000",150
40023,4002,3,219.139,15.133,2.739,12.374,12.737,852,59,11,48,50,,"504002:90,11:30000",200
40024,4002,4,259.721,17.935,3.247,14.665,15.096,1299,90,16,73,75,,"504002:120,11:60000",250
40025,4002,5,324.651,22.419,4.058,18.331,18.87,2128,147,27,120,124,,"504002:150,11:100000",350
40031,4003,1,112.063,15.276,2.093,5.635,4.92,0,0,0,0,0,,,100
40032,4003,2,128.872,17.567,2.407,6.48,5.659,358,49,7,18,16,,"504003:60,11:10000",150
40033,4003,3,151.285,20.623,2.825,7.607,6.643,588,80,11,30,26,,"504003:90,11:30000",200
40034,4003,4,179.301,24.442,3.349,9.015,7.873,897,122,17,45,39,,"504003:120,11:60000",250
40035,4003,5,224.126,30.552,4.186,11.269,9.841,1469,200,27,74,65,,"504003:150,11:100000",350
40041,4004,1,109.278,1.95,16.392,4.386,6.249,0,0,0,0,0,,,100
40042,4004,2,125.67,2.242,18.85,5.044,7.187,349,6,52,14,20,,"504004:60,11:10000",150
40043,4004,3,147.525,2.632,22.129,5.922,8.437,574,10,86,23,33,,"504004:90,11:30000",200
40044,4004,4,174.845,3.119,26.227,7.018,9.999,874,16,131,35,50,,"504004:120,11:60000",250
40045,4004,5,218.556,3.899,32.783,8.773,12.499,1433,26,215,58,82,,"504004:150,11:100000",350
40051,4005,1,124.164,1.921,11.024,6.207,6.754,0,0,0,0,0,,,100
40052,4005,2,142.789,2.21,12.678,7.138,7.767,397,6,35,20,22,,"504005:60,11:10000",150
40053,4005,3,167.622,2.594,14.882,8.379,9.117,652,10,58,33,35,,"504005:90,11:30000",200
40054,4005,4,198.663,3.074,17.638,9.93,10.806,993,15,88,50,54,,"504005:120,11:60000",250
40055,4005,5,248.329,3.843,22.048,12.413,13.507,1628,25,145,81,89,,"504005:150,11:100000",350
40061,4006,1,130.547,13.95,2.1,5.197,6.207,0,0,0,0,0,,,100
40062,4006,2,150.129,16.042,2.415,5.977,7.138,417,45,7,17,20,,"504006:60,11:10000",150
40063,4006,3,176.238,18.832,2.835,7.016,8.379,685,73,11,27,33,,"504006:90,11:30000",200
40064,4006,4,208.875,22.32,3.36,8.315,9.93,1044,112,17,42,50,,"504006:120,11:60000",250
40065,4006,5,261.093,27.9,4.2,10.394,12.413,1712,183,28,68,81,,"504006:150,11:100000",350
10171,1017,1,251.833,23.094,3.493,13.376,11.764,0,0,0,0,0,,,400
10172,1017,2,289.608,26.558,4.017,15.383,13.529,804,74,11,43,38,,"501017:60,11:10000",500
10173,1017,3,339.974,31.177,4.716,18.058,15.882,1322,121,18,70,62,,"501017:90,11:30000",600
10174,1017,4,402.932,36.95,5.589,21.402,18.823,2015,185,28,107,94,,"501017:120,11:60000",700
10175,1017,5,503.666,46.188,6.986,26.752,23.528,3302,303,46,175,154,,"501017:150,11:100000",800
10181,1018,1,186.581,3.498,27.164,7.563,10.67,0,0,0,0,0,,,400
10182,1018,2,214.568,4.023,31.239,8.697,12.271,596,11,87,24,34,,"501018:60,11:10000",500
10183,1018,3,251.884,4.723,36.671,10.21,14.405,980,18,143,40,56,,"501018:90,11:30000",600
10184,1018,4,298.529,5.597,43.462,12.1,17.072,1493,28,217,61,85,,"501018:120,11:60000",700
10185,1018,5,373.162,6.997,54.328,15.125,21.34,2446,46,356,99,140,,"501018:150,11:100000",800
10191,1019,1,264.552,23.094,3.493,13.248,11.824,0,0,0,0,0,,,400
10192,1019,2,304.234,26.558,4.017,15.235,13.598,845,74,11,42,38,,"501019:60,11:10000",500
10193,1019,3,357.145,31.177,4.716,17.884,15.963,1389,121,18,70,62,,"501019:90,11:30000",600
10194,1019,4,423.283,36.95,5.589,21.196,18.919,2116,185,28,106,95,,"501019:120,11:60000",700
10195,1019,5,529.103,46.188,6.986,26.495,23.648,3469,303,46,174,155,,"501019:150,11:100000",800
10221,1022,1,206.074,3.522,19.607,10.186,12.364,0,0,0,0,0,,,400
10222,1022,2,236.985,4.05,22.548,11.714,14.219,658,11,63,33,39,,"501022:60,11:10000",500
10223,1022,3,278.199,4.754,26.469,13.752,16.692,1082,18,103,53,65,,"501022:90,11:30000",600
10224,1022,4,329.718,5.635,31.371,16.298,19.783,1649,28,157,81,99,,"501022:120,11:60000",700
10225,1022,5,412.147,7.044,39.214,20.373,24.729,2702,46,257,134,162,,"501022:150,11:100000",800
20141,2014,1,149.265,2.689,22.39,5.988,8.536,0,0,0,0,0,,,300
20142,2014,2,171.654,3.092,25.748,6.887,9.816,477,9,72,19,27,,"502014:60,11:10000",350
20143,2014,3,201.507,3.63,30.226,8.084,11.524,784,14,118,31,45,,"502014:90,11:30000",450
20144,2014,4,238.824,4.302,35.824,9.581,13.658,1194,22,179,48,68,,"502014:120,11:60000",550
20145,2014,5,298.529,5.378,44.779,11.977,17.072,1957,35,294,79,112,,"502014:150,11:100000",650
20151,2015,1,147.138,22.374,2.944,7.319,6.717,0,0,0,0,0,,,300
20152,2015,2,169.209,25.73,3.385,8.417,7.724,470,71,9,23,21,,"502015:60,11:10000",350
20153,2015,3,198.637,30.204,3.974,9.881,9.068,772,117,15,38,35,,"502015:90,11:30000",450
20154,2015,4,235.421,35.798,4.71,11.711,10.747,1177,179,24,59,54,,"502015:120,11:60000",550
20155,2015,5,294.277,44.747,5.888,14.638,13.434,1929,293,39,96,88,,"502015:150,11:100000",650
10211,1021,1,204.073,3.417,20.207,10.186,12.244,0,0,0,0,0,,,400
10212,1021,2,234.684,3.93,23.238,11.714,14.081,652,11,65,33,39,,"501021:60,11:10000",500
10213,1021,3,275.498,4.613,27.28,13.752,16.53,1071,18,106,53,64,,"501021:90,11:30000",600
10214,1021,4,326.517,5.468,32.332,16.298,19.591,1633,27,162,81,98,,"501021:120,11:60000",700
10215,1021,5,408.146,6.834,40.414,20.373,24.489,2676,45,265,134,161,,"501021:150,11:100000",800
10111,1011,1,218.65,24.537,3.41,9.621,9.981,0,0,0,0,0,,,400
10112,1011,2,251.447,28.218,3.922,11.064,11.478,698,78,11,31,32,,"501011:60,11:10000",500
10113,1011,3,295.177,33.125,4.604,12.988,13.474,1148,129,18,51,52,,"501011:90,11:30000",600
10114,1011,4,349.839,39.26,5.456,15.393,15.969,1749,196,27,77,80,,"501011:120,11:60000",700
10115,1011,5,437.299,49.075,6.82,19.241,19.961,2867,322,45,126,131,,"501011:150,11:100000",800
