id,subTaskId,subTaskType,target,positions,npc,addTaskItem,deleteTaskItem,clearPosGroup,createGroupObject,changeObjectState,changeTerrainState,terrainStateDeleteAt,createDeleteAtGroupObj,deleteAt
14,1010401,3,10104011:3,-9:12,,,,,"-9:12:10104010,-10:13:10104011,-8:12:10104011,-10:11:10104011",,,,-9:12:10104010,1010402
15,1010402,1,1010402,,10104010,,,,,,,,,
16,1010403,12,2,-38:-8,,,,,-9:12:10104030,,,,,
17,2010101,15,"2010102,2010103,2010104",,,,,,,,,,,
18,2010102,9,-7:-31,-7:-31,,,,,,,,,,
19,2010102,9,1:-28,1:-28,,,,,,,,,,
20,2010102,9,-15:-37,-15:-37,,,,,,,,,,
21,2010103,9,-10:19,-10:19,,,,,,,,,,
22,2010103,9,-15:23,-15:23,,,,,,,,,,
23,2010103,9,-3:29,-3:29,,,,,,,,,,
24,2010104,9,16:-18,16:-18,,,,,,,,,,
25,2010104,9,13:-9,13:-9,,,,,,,,,,
26,2010104,9,14:3,14:3,,,,,,,,,,
27,2010105,1,2010104,,20101040,171807:1,"171806:1,171805:1,171804:1",,relative:-1:0:20101040,,,,,
28,2010106,9,26:-28,26:-28,,,,,,,,,,
29,2010107,11,20101060:20101061,26:-28,,,,,,,,,25:-26:20101060,-1
30,2010201,3,"20102011:1,20102012:1,20102013:1",-17:19,,,,,"-17:21:20102011,-18:18:20102012,-15:18:20102013",,,,,
31,2010202,3,"20102021:1,20102022:1",-17:19,,,,,"-19:20:20102021,-14:20:20102022",10105,,,,
32,2010203,3,20102031:1,-17:17,,,,,-17:17:20102031,,,,,
33,2010301,10,"20104,20105,20106","-9:20,10:-13,-11:-33",,,,,,,,,,
34,2010302,12,1,0:0,,,,,,,,,,
35,2010401,3,20104011:1,11:-8,,,,,11:-8:20104011,,,,,
37,2010501,4,171999:6,,20105021,,,,-9:-29:20105021,,,,,
38,2010601,1,2010600,-6:24,,,,,-6:24:20106011,,,,,
39,2010602,9,-9:15,-9:15,,,,,,,,,,
40,2010603,3,20106021:1,-9:16,,,,,-9:16:20106021,,,,,
41,2010604,3,20106031:1,-9:17,,,,,-9:17:20106031,,"Assets/YGGDRASIL/DataAssets/TileMapState2010604.asset|1:-10:15:17,1:-9:14:18,1:-8:14:18,1:-7:14:18,1:-6:16:16",-1,-8:16:9999,-1
42,2010701,9,8:1,8:1,,,,,,,,,,
43,2010702,11,20107021:20107022,8:1,,,,,,,,,9:3:20107021,2010704
44,2010703,11,20107031:20107032,9:9,,,,,,,,,10:11:20107031,2010704
45,2010704,3,20107041:1,12:18,,,,,12:18:20107041,,,,,
46,2010705,12,1,0:0,,,,,,,,,,
47,2011101,1,2010899,-1:20,,,,,-1:20:20111010,,,,,
48,2011102,3,"20111021:1,20111022:1",,10101,,,,"1:25:20111021,1:29:20111022",,,,-1:20:20111020,1010304
49,2011103,11,10101:101013,,10101,,,,,,,,,
50,2011201,1,2011001,10:7,,,,,10:7:20112010,,,,,
51,2011202,3,"20112021:1,20112022:1",,10102,,,,"14:9:20112021,17:7:20112022",,,,10:7:20112020,1010304
52,2011203,11,10102:101022,,10102,,,,,,,,,
53,2011204,13,171802:1,,10102,,,"14:7:9,15:6:10,16:6:10,17:6:10",16:6:20112031,,,,,
54,2011301,1,2010901,4:-20,,,,,4:-20:20113010,,,,,
55,2011302,3,"20113021:1,20113022:1",,10103,,,,"6:-25:20113021,7:-28:20113022",,,,4:-20:20113020,1010304
56,2011303,11,10103:101032,,10103,,,,,,,,,
57,2011304,13,171803:1,,10103,,,"4:-27:-27,5:-29:-25,6:-29:-28,6:-26:-25,7:-29:-25,8:-28:-26",5:-28:20113031,,,,,
58,2010204,11,10105:101053,,10105,,,,,,,,,
102,1020101,3,"10201021:1,10201022:1,10201023:1",-27:13,,,,,"-28:14:10201021,-28:11:10201022,-25:13:10201023",,,,,
103,1020102,12,2,-35:-6,,,,,,,,,,
104,1020201,9,-40:-16,-40:-16,,,,,,,,,,
105,1020202,13,171111:3,-41:-18,,,,,"-42:-19:9971,-41:-18:9971,-42:-18:9971",,,,,
106,1020301,9,-31:-33,-31:-33,,,171111:3,,,,,,,
107,1020302,3,"10203011:1,10203012:1,10203013:1",-28:-33,,,,,"-28:-33:10203010,-28:-34:10203011,-28:-32:10203012,-29:-33:10203013",,,,,
108,1020401,9,-43:-55,-43:-55,,,,,,,,,-28:-33:10204011,1020403
109,1020402,11,"10204013:102040131,10204012:102040121",-45:-57,,,,,,,,,,
110,1020403,12,2,-35:-6,,171001:1,,,,,,,,
111,1020501,4,171001:1,,10205011,,,,-46:-3:10205011,,,,,
112,1020502,13,171112:5,-62:-5,,,171001:1,,"-68:2:9973,-63:-12:9973,-62:-14:9973,-62:-4:9973,-61:6:9973,-60:5:9973,-58:-3:9973,-53:-10:9973","10205012,10205013,10205014",,,,
113,1020601,9,-67:-7,-67:-7,,,171112:5,,,,,,,
114,1020602,3,"10206021:1,10206022:1,10206023:1",-72:-9,,,,,"-72:-13:10206021,-69:-9:10206022,-72:-5:10206023",,,,,
115,1020603,3,10206031:1,-71:-10,,,,,-71:-10:10206031,,,,,
116,1020604,12,2,-35:-6,,171001:1,,,,,,,,
117,1020701,14,171001:1,,10207011,,,,-50:-37:10207011,,,,,
118,1020702,9,-66:-27,-66:-27,,,171001:1,,,"10207012,10207013,10207014",,,,
119,1020703,13,171112:5,-68:-27,,,,,"-71:-29:9973,-70:-26:9973,-69:-31:9973,-68:-31:9973,-67:-25:9973,-66:-24:9973",,,,,
120,1020704,12,2,-35:-6,,,171112:5,,,"10207041,10207042,10207043",,,,
121,1020801,9,-34:-15,-34:-15,,,,,,,,,-34:-5:10208011,1020903
122,1020802,3,"10208021:1,10208022:1,10208023:1,10208024:1,10208025:1,10208026:1,10208027:1",-34:-6,,,,,"-38:-10:10208021,-34:-13:10208022,-29:-8:10208023,-30:-2:10208024,-36:-2:10208025,-35:-12:10208026,-32:-12:10208027",,,,,
123,1020803,3,10208031:1,-39:-6,,,,,-39:-6:10208031,,,,,
124,1020804,12,2,-35:-6,,,,,,,,,,
125,1020901,9,-47:16,-47:16,,,,,,"10209012,10209013,10209014","Assets/YGGDRASIL/DataAssets/TileMapState01.asset|1:-45:13:16,1:-44:14:14",-1,,
126,1020902,11,"10209021:102090211,10209022:102090221,10209023:102090231","-67:24,-55:16,-59:26",,,,,,,,,,
127,1020903,1,1020803,,10209031,,,,-40:3:10209031,"10207041,10207042,10207043",,,,
128,1020904,3,10209041:1,-39:-6,,,,,-39:-6:10209041,,,,,
129,1020905,1,1020899,,10209051,,,,-43:-22:10209051,,,,,
130,1020906,12,2,-35:-6,,,,,,,,,,
132,2020101,13,171111:1,-19:-46,,,,,"-20:-45:9971,-19:-47:9971",,,,,
133,2020102,3,20201031:1,-32:-52,,,171111:1,,-32:-52:20201031,,,,,
134,2020103,3,20201041:1,-39:-38,,,,,"-39:-38:20201041,-32:-52:20201032",,,,,
135,2020104,11,20201011:202010112,,20201011,,,,,,,,,
136,2020105,9,-29:-53,-29:-53,,,,,,,,,-28:-54:20201051,-1
137,2020201,1,2020200,,20202011,,,,-33:8:20202011,,,,,
138,2020201,3,"20202021:1,20202022:1",-36:23,,,,,"-36:24:20202021,-35:22:20202022",,,,,
139,2020202,3,"20202031:1,20202032:1,20202033:1",-27:13,,,,,"-28:15:20202031,-26:13:20202032,-27:11:20202033",,,,,
140,2020203,3,20202041:1,-22:-2,,,,,-22:-2:20202041,,,,,
141,2020204,3,20202051:1,-33:8,,,,,-33:8:20202051,,,,,
142,2020301,3,20203011:1,-32:-22,,,,,-32:-22:20203011,,,,,
143,2020302,3,20203021:1,-45:-21,,,,,-45:-21:20203021,,,,,
145,2020702,3,20207021:1,-19:-42,,,,,-19:-42:20207021,,,,,
146,2020703,13,171112:3,-31:-33,,,,,"-31:-34:9973,-31:-33:9973,-30:-34:9973,-30:-32:9973",,,,,
147,2020704,1,2020703,,20207041,,171112:3,,-19:-42:20207041,,"Assets/YGGDRASIL/DataAssets/TileMapState01.asset|1:-17:-45:-42,1:-16:-44:-42,1:-15:-42:-42",-1,,
148,2020705,12,2,-35:-6,,,,,,,,,,
150,2020401,11,20204021:202040211,,20204021,,,,,,,,,
151,2020402,3,20204031:1,-58:-42,,,,,-58:-42:20204031,20204011,,,,
152,2020501,3,20205011:1,-21:-15,,,,,,,Assets/YGGDRASIL/DataAssets/TileMapState01.asset|1:-19:-15:-14,-1,-21:-15:20205011,2020503
153,2020502,11,20205021:202050211,,20205021,,,,-61:-10:20205021,,,,,
154,2020502,11,20205022:202050221,,20205022,,,,-58:4:20205022,,,,,
155,2020503,3,20205031:1,-21:-15,,,,,,,,,-21:-15:20205031,-1
156,2020601,3,20206011:1,-49:-4,,,,,-49:-4:20206011,,,,,
157,2020602,9,-34:-12,-34:-12,,,,,,,,,,
159,2020801,9,-63:-41,-63:-41,,,,,,,,,,
160,2020802,3,20208031:1,-63:-32,,,,,-63:-32:20208031,,,,,
161,2020803,1,2020899,,20208041,,,,-46:-33:20208041,,,,,
