id,name,cname,itemType,rarity,useType,useParam,expireType,expireTime,limitNumber,sellPrice,showInBag
1017,cfg_character_charaName_1017,由莉,201,4,4,,0,,1,,false
1018,cfg_character_charaName_1018,娜贝拉尔,201,4,4,,0,,1,,false
1019,cfg_character_charaName_1019,艾多玛,201,4,4,,0,,1,,false
1020,cfg_character_charaName_1020,雅儿贝德·黑骑,201,4,4,,0,,1,,false
1021,cfg_character_charaName_1021,威克提姆,201,4,4,,0,,1,,false
1022,cfg_character_charaName_1022,佩斯托娅,201,4,4,,0,,1,,false
1023,cfg_character_charaName_1023,绝死绝命,201,4,4,,0,,1,,false
1024,cfg_character_charaName_1024,第一席,201,4,4,,0,,1,,false
1025,cfg_character_charaName_1025,时间乱流,201,4,4,,0,,1,,false
1026,cfg_character_charaName_1026,四大精灵,201,4,4,,0,,1,,false
1027,cfg_character_charaName_1027,神圣咒歌,201,4,4,,0,,1,,false
1028,cfg_character_charaName_1028,一人师团,201,4,4,,0,,1,,false
1029,cfg_character_charaName_1029,圣击一扫,201,4,4,,0,,1,,false
1030,cfg_character_charaName_1030,占星千里,201,4,4,,0,,1,,false
1031,cfg_character_charaName_1031,巨盾万壁,201,4,4,,0,,1,,false
1032,cfg_character_charaName_1032,神领缚锁,201,4,4,,0,,1,,false
1033,cfg_character_charaName_1033,人类最强,201,4,4,,0,,1,,false
1034,cfg_character_charaName_1034,无限魔力,201,4,4,,0,,1,,false
1035,cfg_character_charaName_1035,天上天下,201,4,4,,0,,1,,false
1036,cfg_character_charaName_1036,艾多玛·蜘蛛,201,4,4,,0,,1,,false
1037,cfg_character_charaName_1037,里格利特,201,4,4,,0,,1,,false
1038,cfg_character_charaName_1038,马雷&亚乌菈,201,4,4,,0,,1,,false
1039,cfg_character_charaName_1039,福鲁达,201,4,4,,0,,1,,false
1040,cfg_character_charaName_1040,巴杰德,201,4,4,,0,,1,,false
1041,cfg_character_charaName_1041,蕾娜斯,201,4,4,,0,,1,,false
1042,cfg_character_charaName_1042,宁布尔,201,4,4,,0,,1,,false
1043,cfg_character_charaName_1043,艾库莱尔,201,4,4,,0,,1,,false
1044,cfg_character_charaName_1044,雅儿贝德·纯白,201,4,4,,0,,1,,false
1045,cfg_character_charaName_1045,塞巴斯·武士道,201,4,4,,0,,1,,false
1046,cfg_character_charaName_1046,琪诺,201,4,4,,0,,1,,false
2001,cfg_character_charaName_2001,娜贝,201,2,4,,0,,1,,false
2002,cfg_character_charaName_2002,嫉妒魔将,201,3,4,,0,,1,,false
2003,cfg_character_charaName_2003,贪婪魔将,201,3,4,,0,,1,,false
2004,cfg_character_charaName_2004,暴怒魔将,201,3,4,,0,,1,,false
2005,cfg_character_charaName_2005,葛杰夫,201,3,4,,0,,1,,false
2006,cfg_character_charaName_2006,布莱恩,201,3,4,,0,,1,,false
2007,cfg_character_charaName_2007,依比鲁艾,201,3,4,,0,,1,,false
2008,cfg_character_charaName_2008,菈萩丝,201,3,4,,0,,1,,false
2009,cfg_character_charaName_2009,格格兰,201,3,4,,0,,1,,false
2010,cfg_character_charaName_2010,缇娅&缇娜,201,3,4,,0,,1,,false
2011,cfg_character_charaName_2011,狄瓦诺克,201,3,4,,0,,1,,false
2012,cfg_character_charaName_2012,帕尔帕多拉,201,3,4,,0,,1,,false
2013,cfg_character_charaName_2013,科克托尔,201,3,4,,0,,1,,false
2014,cfg_character_charaName_2014,爱雪,201,3,4,,0,,1,,false
2015,cfg_character_charaName_2015,伊米娜,201,3,4,,0,,1,,false
2016,cfg_character_charaName_2016,罗巴提库,201,3,4,,0,,1,,false
2017,cfg_character_charaName_2017,赫克兰,201,3,4,,0,,1,,false
2018,cfg_character_charaName_2018,艾尔亚,201,3,4,,0,,1,,false
2019,cfg_character_charaName_2019,伊古瓦,201,3,4,,0,,1,,false
2020,cfg_character_charaName_2020,克莱门汀,201,3,4,,0,,1,,false
2021,cfg_character_charaName_2021,桀洛,201,3,4,,0,,1,,false
2022,cfg_character_charaName_2022,琪雅蕾妮纳,201,3,4,,0,,1,,false
2041,cfg_character_charaName_2041,恩菲雷亚,201,3,4,,0,,1,,false
3001,cfg_character_charaName_3001,纳扎米,201,2,4,,0,,1,,false
3002,cfg_character_charaName_3002,仓助,201,2,4,,0,,1,,false
3003,cfg_character_charaName_3003,扎里尤斯,201,2,4,,0,,1,,false
3004,cfg_character_charaName_3004,沙斯林,201,2,4,,0,,1,,false
3005,cfg_character_charaName_3005,库鲁雪,201,2,4,,0,,1,,false
3006,cfg_character_charaName_3006,斯修,201,2,4,,0,,1,,false
3007,cfg_character_charaName_3007,休古,201,2,4,,0,,1,,false
3008,cfg_character_charaName_3008,泽伯鲁,201,2,4,,0,,1,,false
3009,cfg_character_charaName_3009,马姆维斯特,201,2,4,,0,,1,,false
3010,cfg_character_charaName_3010,萨丘隆特,201,2,4,,0,,1,,false
3011,cfg_character_charaName_3011,克莱姆,201,2,4,,0,,1,,false
3012,cfg_character_charaName_3012,布鲁姆拉修侯,201,2,4,,0,,1,,false
3013,cfg_character_charaName_3013,尼根,201,2,4,,0,,1,,false
4001,cfg_character_charaName_4001,布丽塔,201,1,4,,0,,1,,false
4002,cfg_character_charaName_4002,彼得,201,1,4,,0,,1,,false
4003,cfg_character_charaName_4003,卢克洛特,201,1,4,,0,,1,,false
4004,cfg_character_charaName_4004,尼亚,201,1,4,,0,,1,,false
4005,cfg_character_charaName_4005,戴因,201,1,4,,0,,1,,false
4006,cfg_character_charaName_4006,鲍里斯,201,1,4,,0,,1,,false
4007,cfg_character_charaName_4007,格林迦姆,201,1,4,,0,,1,,false
7001,cfg_item_data_name_17001,世界级道具-普通抽卡券,2,3,1,,0,,999,999,true
7002,cfg_item_data_name_17002,世界级道具-限定抽卡券,2,4,1,,0,,999,999,true
8001,cfg_item_data_name_18001,抽卡道具,2,3,1,,0,,999,999,true
8002,cfg_item_data_name_18002,抽卡道具,2,4,1,,0,,999,999,true
9001,cfg_item_data_name_19001,体力药水,13,3,1,40,0,,999,999,true
100010,cfg_item_data_name_100010,安兹技能点,4,3,4,,0,,99999999,,false
100020,cfg_item_data_name_100020,黑洛黑洛技能点,4,3,4,,0,,99999999,,false
100030,cfg_item_data_name_100030,泡泡茶壶技能点,4,3,4,,0,,99999999,,false
100040,cfg_item_data_name_100040,塔其米技能点,4,3,4,,0,,99999999,,false
100110,cfg_item_data_name_100110,翠玉录技能点,4,3,4,,0,,99999999,,false
100021,cfg_item_data_name_100021,黑洛黑洛碎片,19,2,4,,0,,99999999,,false
100031,cfg_item_data_name_100031,泡泡茶壶碎片,19,2,4,,0,,99999999,,false
100041,cfg_item_data_name_100041,塔其米碎片,19,2,4,,0,,99999999,,false
100111,cfg_item_data_name_100111,翠玉录碎片,19,2,4,,0,,99999999,,false
1074001,cfg_equip_item_name_1074001,宝箱,19,3,1,,0,,999,999,true
1111001,cfg_equip_data_name_1111001,战锤,301,1,4,,0,,1,1,true
1111002,cfg_equip_data_name_1111002,战盔,301,1,4,,0,,1,1,true
1111003,cfg_equip_data_name_1111003,板甲,301,1,4,,0,,1,1,true
1112001,cfg_equip_data_name_1112001,碎颅锤,301,2,4,,0,,1,1,true
1112002,cfg_equip_data_name_1112002,骑士头盔,301,2,4,,0,,1,1,true
1112003,cfg_equip_data_name_1112003,骑士铠甲,301,2,4,,0,,1,1,true
1112011,cfg_equip_data_name_1112011,狂战短斧,301,2,4,,0,,1,1,true
1112012,cfg_equip_data_name_1112012,实用头盔,301,2,4,,0,,1,1,true
1112013,cfg_equip_data_name_1112013,珍贵肩甲,301,2,4,,0,,1,1,true
1113001,cfg_equip_data_name_1113001,粉碎者,301,3,4,,0,,1,1,true
1113002,cfg_equip_data_name_1113002,磐石,301,3,4,,0,,1,1,true
1113003,cfg_equip_data_name_1113003,精铁甲胄,301,3,4,,0,,1,1,true
1113011,cfg_equip_data_name_1113011,利刃之盾,301,3,4,,0,,1,1,true
1113012,cfg_equip_data_name_1113012,傲慢之盔,301,3,4,,0,,1,1,true
1113013,cfg_equip_data_name_1113013,肌肉力量,301,3,4,,0,,1,1,true
1113021,cfg_equip_data_name_1113021,拒绝之盾,301,3,4,,0,,1,1,true
1113022,cfg_equip_data_name_1113022,勇气之冠,301,3,4,,0,,1,1,true
1113023,cfg_equip_data_name_1113023,磐石之力,301,3,4,,0,,1,1,true
1114001,cfg_equip_data_name_1114001,暴烈权柄,301,4,4,,0,,1,1,true
1114002,cfg_equip_data_name_1114002,否决冠盖,301,4,4,,0,,1,1,true
1114003,cfg_equip_data_name_1114003,断绝避障,301,4,4,,0,,1,1,true
1114011,cfg_equip_data_name_1114011,清算,301,4,4,,0,,1,1,true
1114012,cfg_equip_data_name_1114012,坚毅之颅,301,4,4,,0,,1,1,true
1114013,cfg_equip_data_name_1114013,裁定意志,301,4,4,,0,,1,1,true
1114021,cfg_equip_data_name_1114021,彗星之力,301,4,4,,0,,1,1,true
1114022,cfg_equip_data_name_1114022,星石颅盔,301,4,4,,0,,1,1,true
1114023,cfg_equip_data_name_1114023,星尘的守护,301,4,4,,0,,1,1,true
1121001,cfg_equip_data_name_1121001,铁剑,301,1,4,,0,,1,1,true
1121002,cfg_equip_data_name_1121002,头盔,301,1,4,,0,,1,1,true
1121003,cfg_equip_data_name_1121003,锁子甲,301,1,4,,0,,1,1,true
1122001,cfg_equip_data_name_1122001,八方剑,301,2,4,,0,,1,1,true
1122002,cfg_equip_data_name_1122002,将军冠,301,2,4,,0,,1,1,true
1122003,cfg_equip_data_name_1122003,镶鳞甲胄,301,2,4,,0,,1,1,true
1122011,cfg_equip_data_name_1122011,碎颅者,301,2,4,,0,,1,1,true
1122012,cfg_equip_data_name_1122012,勇气头巾,301,2,4,,0,,1,1,true
1122013,cfg_equip_data_name_1122013,斗争意志,301,2,4,,0,,1,1,true
1123001,cfg_equip_data_name_1123001,百夫长之荣,301,3,4,,0,,1,1,true
1123002,cfg_equip_data_name_1123002,勇士的桂冠,301,3,4,,0,,1,1,true
1123003,cfg_equip_data_name_1123003,征服者,301,3,4,,0,,1,1,true
1123011,cfg_equip_data_name_1123011,好运长枪,301,3,4,,0,,1,1,true
1123012,cfg_equip_data_name_1123012,固执头盔,301,3,4,,0,,1,1,true
1123013,cfg_equip_data_name_1123013,绿叶之铠,301,3,4,,0,,1,1,true
1123021,cfg_equip_data_name_1123021,厄运波纹,301,3,4,,0,,1,1,true
1123022,cfg_equip_data_name_1123022,守护之盔,301,3,4,,0,,1,1,true
1123023,cfg_equip_data_name_1123023,炙热铠甲,301,3,4,,0,,1,1,true
1124001,cfg_equip_data_name_1124001,不止的霜风,301,4,4,,0,,1,1,true
1124002,cfg_equip_data_name_1124002,白狼头,301,4,4,,0,,1,1,true
1124003,cfg_equip_data_name_1124003,熄灭的雄心,301,4,4,,0,,1,1,true
1124011,cfg_equip_data_name_1124011,天炉之芯,301,4,4,,0,,1,1,true
1124012,cfg_equip_data_name_1124012,红龙之颅,301,4,4,,0,,1,1,true
1124013,cfg_equip_data_name_1124013,荆棘之誓,301,4,4,,0,,1,1,true
1124021,cfg_equip_data_name_1124021,至高杰作,301,4,4,,0,,1,1,true
1124022,cfg_equip_data_name_1124022,狮王的咆哮,301,4,4,,0,,1,1,true
1124023,cfg_equip_data_name_1124023,沉寂的荣耀,301,4,4,,0,,1,1,true
1131001,cfg_equip_data_name_1131001,剔骨刀,301,1,4,,0,,1,1,true
1131002,cfg_equip_data_name_1131002,面罩,301,1,4,,0,,1,1,true
1131003,cfg_equip_data_name_1131003,褴褛衫,301,1,4,,0,,1,1,true
1132001,cfg_equip_data_name_1132001,萃毒短剑,301,2,4,,0,,1,1,true
1132002,cfg_equip_data_name_1132002,贼人的兜帽,301,2,4,,0,,1,1,true
1132003,cfg_equip_data_name_1132003,贼人的灰袍,301,2,4,,0,,1,1,true
1132011,cfg_equip_data_name_1132011,嫉恨之刃,301,2,4,,0,,1,1,true
1132012,cfg_equip_data_name_1132012,蛛网面巾,301,2,4,,0,,1,1,true
1132013,cfg_equip_data_name_1132013,迷彩斗篷,301,2,4,,0,,1,1,true
1133001,cfg_equip_data_name_1133001,喋血乌鸦,301,3,4,,0,,1,1,true
1133002,cfg_equip_data_name_1133002,阴影面具,301,3,4,,0,,1,1,true
1133003,cfg_equip_data_name_1133003,琉璃卫制服,301,3,4,,0,,1,1,true
1133011,cfg_equip_data_name_1133011,寒冰拳刺,301,3,4,,0,,1,1,true
1133012,cfg_equip_data_name_1133012,匿踪尖帽,301,3,4,,0,,1,1,true
1133013,cfg_equip_data_name_1133013,项间刀锋,301,3,4,,0,,1,1,true
1133021,cfg_equip_data_name_1133021,剧毒弯刀,301,3,4,,0,,1,1,true
1133022,cfg_equip_data_name_1133022,疯癫面具,301,3,4,,0,,1,1,true
1133023,cfg_equip_data_name_1133023,枫叶旗袍,301,3,4,,0,,1,1,true
1134001,cfg_equip_data_name_1134001,弑君断刃,301,4,4,,0,,1,1,true
1134002,cfg_equip_data_name_1134002,愤恨容貌,301,4,4,,0,,1,1,true
1134003,cfg_equip_data_name_1134003,毁誉斗篷,301,4,4,,0,,1,1,true
1134011,cfg_equip_data_name_1134011,野心的獠牙,301,4,4,,0,,1,1,true
1134012,cfg_equip_data_name_1134012,伪君子,301,4,4,,0,,1,1,true
1134013,cfg_equip_data_name_1134013,红亲王,301,4,4,,0,,1,1,true
1134021,cfg_equip_data_name_1134021,月刃,301,4,4,,0,,1,1,true
1134022,cfg_equip_data_name_1134022,夜隼面罩,301,4,4,,0,,1,1,true
1134023,cfg_equip_data_name_1134023,夜影风衣,301,4,4,,0,,1,1,true
1141001,cfg_equip_data_name_1141001,反曲弓,301,1,4,,0,,1,1,true
1141002,cfg_equip_data_name_1141002,皮帽,301,1,4,,0,,1,1,true
1141003,cfg_equip_data_name_1141003,皮背心,301,1,4,,0,,1,1,true
1142001,cfg_equip_data_name_1142001,杨木长弓,301,2,4,,0,,1,1,true
1142002,cfg_equip_data_name_1142002,熊皮兜帽,301,2,4,,0,,1,1,true
1142003,cfg_equip_data_name_1142003,猎手风衣,301,2,4,,0,,1,1,true
1142011,cfg_equip_data_name_1142011,必中信念,301,2,4,,0,,1,1,true
1142012,cfg_equip_data_name_1142012,护瞳之镜,301,2,4,,0,,1,1,true
1142013,cfg_equip_data_name_1142013,箭场新手,301,2,4,,0,,1,1,true
1143001,cfg_equip_data_name_1143001,偷猎者,301,3,4,,0,,1,1,true
1143002,cfg_equip_data_name_1143002,偷猎人面罩,301,3,4,,0,,1,1,true
1143003,cfg_equip_data_name_1143003,森林之影,301,3,4,,0,,1,1,true
1143011,cfg_equip_data_name_1143011,雷霆之怒,301,3,4,,0,,1,1,true
1143012,cfg_equip_data_name_1143012,灵犀之镜,301,3,4,,0,,1,1,true
1143013,cfg_equip_data_name_1143013,绿色使者,301,3,4,,0,,1,1,true
1143021,cfg_equip_data_name_1143021,渴血之剑,301,3,4,,0,,1,1,true
1143022,cfg_equip_data_name_1143022,信念必中,301,3,4,,0,,1,1,true
1143023,cfg_equip_data_name_1143023,自虐束腰,301,3,4,,0,,1,1,true
1144001,cfg_equip_data_name_1144001,终点,301,4,4,,0,,1,1,true
1144002,cfg_equip_data_name_1144002,首席游侠风帽,301,4,4,,0,,1,1,true
1144003,cfg_equip_data_name_1144003,远行的记忆,301,4,4,,0,,1,1,true
1144011,cfg_equip_data_name_1144011,青鸾之翼,301,4,4,,0,,1,1,true
1144012,cfg_equip_data_name_1144012,翠神的视界,301,4,4,,0,,1,1,true
1144013,cfg_equip_data_name_1144013,森语者之誓,301,4,4,,0,,1,1,true
1144021,cfg_equip_data_name_1144021,跨越星空,301,4,4,,0,,1,1,true
1144022,cfg_equip_data_name_1144022,英雄的决意,301,4,4,,0,,1,1,true
1144023,cfg_equip_data_name_1144023,受歌颂者,301,4,4,,0,,1,1,true
1151001,cfg_equip_data_name_1151001,木杖,301,1,4,,0,,1,1,true
1151002,cfg_equip_data_name_1151002,学徒尖帽,301,1,4,,0,,1,1,true
1151003,cfg_equip_data_name_1151003,学徒长袍,301,1,4,,0,,1,1,true
1152001,cfg_equip_data_name_1152001,雕文法杖,301,2,4,,0,,1,1,true
1152002,cfg_equip_data_name_1152002,增幅法冠,301,2,4,,0,,1,1,true
1152003,cfg_equip_data_name_1152003,导师法袍,301,2,4,,0,,1,1,true
1152011,cfg_equip_data_name_1152011,疑惑法球,301,2,4,,0,,1,1,true
1152012,cfg_equip_data_name_1152012,神秘之帽,301,2,4,,0,,1,1,true
1152013,cfg_equip_data_name_1152013,岁月披风,301,2,4,,0,,1,1,true
1153001,cfg_equip_data_name_1153001,魔芯,301,3,4,,0,,1,1,true
1153002,cfg_equip_data_name_1153002,智慧华冠,301,3,4,,0,,1,1,true
1153003,cfg_equip_data_name_1153003,秘法长衫,301,3,4,,0,,1,1,true
1153011,cfg_equip_data_name_1153011,冰火魔杖,301,3,4,,0,,1,1,true
1153012,cfg_equip_data_name_1153012,破晓头冠,301,3,4,,0,,1,1,true
1153013,cfg_equip_data_name_1153013,冰鳞披风,301,3,4,,0,,1,1,true
1153021,cfg_equip_data_name_1153021,约定之书,301,3,4,,0,,1,1,true
1153022,cfg_equip_data_name_1153022,日月之启,301,3,4,,0,,1,1,true
1153023,cfg_equip_data_name_1153023,焚世法袍,301,3,4,,0,,1,1,true
1154001,cfg_equip_data_name_1154001,洞察,301,4,4,,0,,1,1,true
1154002,cfg_equip_data_name_1154002,期许,301,4,4,,0,,1,1,true
1154003,cfg_equip_data_name_1154003,意志,301,4,4,,0,,1,1,true
1154011,cfg_equip_data_name_1154011,法则,301,4,4,,0,,1,1,true
1154012,cfg_equip_data_name_1154012,真理,301,4,4,,0,,1,1,true
1154013,cfg_equip_data_name_1154013,天道,301,4,4,,0,,1,1,true
1154021,cfg_equip_data_name_1154021,大法师的启迪,301,4,4,,0,,1,1,true
1154022,cfg_equip_data_name_1154022,御法者之容,301,4,4,,0,,1,1,true
1154023,cfg_equip_data_name_1154023,守护者的荣耀,301,4,4,,0,,1,1,true
1161001,cfg_equip_data_name_1161001,道标,301,1,4,,0,,1,1,true
1161002,cfg_equip_data_name_1161002,圣徒的誓言,301,1,4,,0,,1,1,true
1161003,cfg_equip_data_name_1161003,殉道者长袍,301,1,4,,0,,1,1,true
1162001,cfg_equip_data_name_1162001,巫祭人偶,301,2,4,,0,,1,1,true
1162002,cfg_equip_data_name_1162002,通灵面具,301,2,4,,0,,1,1,true
1162003,cfg_equip_data_name_1162003,通灵祭服,301,2,4,,0,,1,1,true
1162011,cfg_equip_data_name_1162011,祈愿花束,301,2,4,,0,,1,1,true
1162012,cfg_equip_data_name_1162012,自然花环,301,2,4,,0,,1,1,true
1162013,cfg_equip_data_name_1162013,沼泽披肩,301,2,4,,0,,1,1,true
1163001,cfg_equip_data_name_1163001,祝福法杖,301,3,4,,0,,1,1,true
1163002,cfg_equip_data_name_1163002,鹿角冠,301,3,4,,0,,1,1,true
1163003,cfg_equip_data_name_1163003,生机长袍,301,3,4,,0,,1,1,true
1163011,cfg_equip_data_name_1163011,咕咕竖琴,301,3,4,,0,,1,1,true
1163012,cfg_equip_data_name_1163012,警惕之耳,301,3,4,,0,,1,1,true
1163013,cfg_equip_data_name_1163013,祷告者,301,3,4,,0,,1,1,true
1163021,cfg_equip_data_name_1163021,凝神羽扇,301,3,4,,0,,1,1,true
1163022,cfg_equip_data_name_1163022,鹿神眷顾,301,3,4,,0,,1,1,true
1163023,cfg_equip_data_name_1163023,歌唱者,301,3,4,,0,,1,1,true
1164001,cfg_equip_data_name_1164001,使徒之杖,301,4,4,,0,,1,1,true
1164002,cfg_equip_data_name_1164002,盘蛇帽,301,4,4,,0,,1,1,true
1164003,cfg_equip_data_name_1164003,被铭记的长袍,301,4,4,,0,,1,1,true
1164011,cfg_equip_data_name_1164011,拉斐尔的圣裁,301,4,4,,0,,1,1,true
1164012,cfg_equip_data_name_1164012,十诫冕冠,301,4,4,,0,,1,1,true
1164013,cfg_equip_data_name_1164013,圣灵的衣钵,301,4,4,,0,,1,1,true
1164021,cfg_equip_data_name_1164021,女神的训诫,301,4,4,,0,,1,1,true
1164022,cfg_equip_data_name_1164022,辉光白冠,301,4,4,,0,,1,1,true
1164023,cfg_equip_data_name_1164023,洁白的风衣,301,4,4,,0,,1,1,true
1172001,cfg_equip_data_name_1172001,狼牙吊坠,301,2,4,,0,,1,1,true
1172002,cfg_equip_data_name_1172002,工匠指环,301,2,4,,0,,1,1,true
1172003,cfg_equip_data_name_1172003,幸运项链,301,2,4,,0,,1,1,true
1173001,cfg_equip_data_name_1173001,银十字勋章,301,3,4,,0,,1,1,true
1173002,cfg_equip_data_name_1173002,红枫叶,301,3,4,,0,,1,1,true
1173003,cfg_equip_data_name_1173003,启明星,301,3,4,,0,,1,1,true
1173004,cfg_equip_data_name_1173004,自囚锁链,301,3,4,,0,,1,1,true
1173005,cfg_equip_data_name_1173005,黄金怀表,301,3,4,,0,,1,1,true
1173006,cfg_equip_data_name_1173006,信仰交易,301,3,4,,0,,1,1,true
1174001,cfg_equip_data_name_1174001,尼德霍格的毒牙,301,4,4,,0,,1,1,true
1174002,cfg_equip_data_name_1174002,荷鲁斯的远视,301,4,4,,0,,1,1,true
1174003,cfg_equip_data_name_1174003,阿顿的指引,301,4,4,,0,,1,1,true
1174004,cfg_equip_data_name_1174004,鲁伯特之泪,301,4,4,,0,,1,1,true
1174005,cfg_equip_data_name_1174005,风暴神之骨,301,4,4,,0,,1,1,true
1174006,cfg_equip_data_name_1174006,胜利之杯,301,4,4,,0,,1,1,true
1183001,cfg_equip_data_name_1183001,标准之剑,301,3,4,,0,,1,1,true
1183002,cfg_equip_data_name_1183002,标准之帽,301,3,4,,0,,1,1,true
1183003,cfg_equip_data_name_1183003,标准之袍,301,3,4,,0,,1,1,true
1183004,cfg_equip_data_name_1183004,标准之戒,301,3,4,,0,,1,1,true
1184001,cfg_equip_data_name_1184001,概念之剑,301,4,4,,0,,1,1,true
1184002,cfg_equip_data_name_1184002,概念之帽,301,4,4,,0,,1,1,true
1184003,cfg_equip_data_name_1184003,概念之袍,301,4,4,,0,,1,1,true
1184004,cfg_equip_data_name_1184004,概念之戒,301,4,4,,0,,1,1,true
122101,cfg_item_data_name_122101,中立阵营进阶1-白银之种,4,1,4,,0,,999,999,true
122102,cfg_item_data_name_122102,中立阵营进阶2-黄金之种,4,1,4,,0,,999,999,true
122103,cfg_item_data_name_122103,中立阵营进阶3-闪光之叶,4,2,4,,0,,999,999,true
122104,cfg_item_data_name_122104,中立阵营进阶4-彩虹之叶,4,2,4,,0,,999,999,true
122105,cfg_item_data_name_122105,中立阵营进阶5-净化之叶,4,2,4,,0,,999,999,true
122106,cfg_item_data_name_122106,中立阵营进阶6-雷霆之花,4,3,4,,0,,999,999,true
122107,cfg_item_data_name_122107,中立阵营进阶7-寒冰之花,4,3,4,,0,,999,999,true
122108,cfg_item_data_name_122108,中立阵营进阶8-火焰之花,4,3,4,,0,,999,999,true
122109,cfg_item_data_name_122109,中立阵营进阶9-平衡果实,4,4,4,,0,,999,999,true
122110,cfg_item_data_name_122110,中立阵营进阶10-中立果实,4,4,4,,0,,999,999,true
122201,cfg_item_data_name_122201,极恶阵营进阶1-白银鳞片,4,1,4,,0,,999,999,true
122202,cfg_item_data_name_122202,极恶阵营进阶2-黄金鳞片,4,1,4,,0,,999,999,true
122203,cfg_item_data_name_122203,极恶阵营进阶3-刀锋之爪,4,2,4,,0,,999,999,true
122204,cfg_item_data_name_122204,极恶阵营进阶4-漆黑之爪,4,2,4,,0,,999,999,true
122205,cfg_item_data_name_122205,极恶阵营进阶5-剧毒之爪,4,2,4,,0,,999,999,true
122206,cfg_item_data_name_122206,极恶阵营进阶6-邪雷之角,4,3,4,,0,,999,999,true
122207,cfg_item_data_name_122207,极恶阵营进阶7-恶稠之角,4,3,4,,0,,999,999,true
122208,cfg_item_data_name_122208,极恶阵营进阶8-冷炎之角,4,3,4,,0,,999,999,true
122209,cfg_item_data_name_122209,极恶阵营进阶9-沉沦之瞳,4,4,4,,0,,999,999,true
122210,cfg_item_data_name_122210,极恶阵营进阶10-极恶之瞳,4,4,4,,0,,999,999,true
122301,cfg_item_data_name_122301,邪恶阵营进阶1-初生瓢虫,4,1,4,,0,,999,999,true
122302,cfg_item_data_name_122302,邪恶阵营进阶2-古老瓢虫,4,1,4,,0,,999,999,true
122303,cfg_item_data_name_122303,邪恶阵营进阶3-邪能之鳌,4,2,4,,0,,999,999,true
122304,cfg_item_data_name_122304,邪恶阵营进阶4-翠绿之鳌,4,2,4,,0,,999,999,true
122305,cfg_item_data_name_122305,邪恶阵营进阶5-赤红之鳌,4,2,4,,0,,999,999,true
122306,cfg_item_data_name_122306,邪恶阵营进阶6-邪雷之网,4,3,4,,0,,999,999,true
122307,cfg_item_data_name_122307,邪恶阵营进阶7-霜冻之网,4,3,4,,0,,999,999,true
122308,cfg_item_data_name_122308,邪恶阵营进阶8-焚烧之网,4,3,4,,0,,999,999,true
122309,cfg_item_data_name_122309,邪恶阵营进阶9-堕落之牙,4,4,4,,0,,999,999,true
122310,cfg_item_data_name_122310,邪恶阵营进阶10-邪恶之牙,4,4,4,,0,,999,999,true
