id,bfPriority,bfGroup,bfOverlayMax,bfType,bfSubType,bfOverlayType,effectName,interval,duration,value1,value2,value3,value4
1000812,1,10008,1,0,10008,1,effect_buff,0.3,0.3,61,2000,63,2000
1000821,,,,,,,effect_wi_1000811,0.1,0.1,1000822,,,
1000822,2,10008,1,0,10008,1,effect_buff,0.3,0.3,61,2200,63,2200
1000831,,,,,,,effect_wi_1000811,0.1,0.1,1000832,,,
1000832,3,10008,1,0,10008,1,effect_buff,0.3,0.3,61,2600,63,2600
1000841,,,,,,,effect_wi_1000811,0.1,0.1,1000842,,,
1000842,4,10008,1,0,10008,1,effect_buff,0.3,0.3,61,3000,63,3000
1000851,,,,,,,effect_wi_1000811,0.1,0.1,1000852,,,
1000852,5,10008,1,0,10008,1,effect_buff,0.3,0.3,61,3500,63,3500
1000911,,,,,,,effect_hot,1,3,0,0.0267,32,
1000921,,,,,,,effect_hot,1,3,0,0.0333,32,
1000931,,,,,,,effect_hot,1,3,0,0.04,32,
1000941,,,,,,,effect_hot,1,3,0,0.0467,32,
1000951,,,,,,,effect_hot,1,3,0,0.0533,32,
1001011,,,,,,,effect_wi_10010,0.5,999,1001012,0.8,,
1001012,,,,3,3,,effect_buff,999,999,8,1500,,
1001021,,,,,,,effect_wi_10010,0.5,999,1001022,0.8,,
1001022,,,,3,3,,effect_buff,999,999,8,1800,,
1001031,,,,,,,effect_wi_10010,0.5,999,1001032,0.8,,
1001032,,,,3,3,,effect_buff,999,999,8,2200,,
1001041,,,,,,,effect_wi_10010,0.5,999,1001042,0.8,,
1001042,,,,3,3,,effect_buff,999,999,8,2600,,
1001051,,,,,,,effect_wi_10010,0.5,999,1001052,0.8,,
1001052,,,,3,3,,effect_buff,999,999,8,3000,,
1001111,,,,,,,effect_wi_10011,0.5,20,3500,40,,
1001112,,,,,,,effect_wi_10011,0.5,20,4000,40,,
1001113,,,,,,,effect_wi_10011,0.5,20,4500,40,,
1001114,,,,,,,effect_wi_10011,0.5,20,5000,40,,
1001115,,,,,,,effect_wi_10011,0.5,20,5500,40,,
1001211,,,,,,,effect_wi_10012,0.5,999,2000711,1500,,
1001212,,,,,,,effect_wi_10012,0.5,999,2000711,1800,,
1001213,,,,,,,effect_wi_10012,0.5,999,2000711,2200,,
1001214,,,,,,,effect_wi_10012,0.5,999,2000711,2600,,
1001215,,,,,,,effect_wi_10012,0.5,999,2000711,3000,,
1001311,,,,,,,effect_wi_10013,0.1,0.1,1001312,,,
1001312,1,10013,1,,,3,effect_buff,6,6,24,6000,,
1001321,,,,,,,effect_wi_10013,0.1,0.1,1001322,,,
1001322,1,10013,1,,,3,effect_buff,8,8,24,6000,,
1001331,,,,,,,effect_wi_10013,0.1,0.1,1001332,,,
1001332,1,10013,1,,,3,effect_buff,8,8,24,7500,,
1001341,,,,,,,effect_wi_10013,0.1,0.1,1001342,,,
1001342,1,10013,1,,,3,effect_buff,10,10,24,7500,,
1001351,,,,,,,effect_wi_10013,0.1,0.1,1001352,,,
1001352,1,10013,1,,,3,effect_buff,10,10,24,9000,,
1001411,,,,,,,effect_immune_debuff,999,999,2,,,
1001412,,,,,,,effect_buff,15,15,5,3500,11,3500
1001421,,,,,,,effect_immune_debuff,999,999,2,,,
1001422,,,,,,,effect_buff,15,15,5,4500,11,4500
1001431,,,,,,,effect_immune_debuff,999,999,3,,,
1001432,,,,,,,effect_buff,15,15,5,4500,11,4500
1001441,,,,,,,effect_immune_debuff,999,999,3,,,
1001442,,,,,,,effect_buff,15,15,5,6000,11,6000
1001451,,,,,,,effect_immune_debuff,999,999,4,,,
1001452,,,,,,,effect_buff,15,15,5,6000,11,6000
1001511,,,,,,,effect_wi_10015,0.1,0.1,1001512,1001513,100151,0.15
1001512,,,,,,,effect_heal,0.1,0.1,0.1,,32,
1001513,,,,3,2,,effect_buff,15,15,5,4500,,
1001521,,,,,,,effect_wi_10015,0.1,0.1,1001522,1001523,100152,0.15
1001522,,,,,,,effect_heal,0.1,0.1,0.1,,32,
1001523,,,,3,2,,effect_buff,15,15,5,5500,,
1001531,,,,,,,effect_wi_10015,0.1,0.1,1001532,1001533,100153,0.15
1001532,,,,,,,effect_heal,0.1,0.1,0.15,,32,
1001533,,,,3,2,,effect_buff,15,15,5,5500,,
1001541,,,,,,,effect_wi_10015,0.1,0.1,1001542,1001543,100154,0.15
1001542,,,,,,,effect_heal,0.1,0.1,0.15,,32,
1001543,,,,3,2,,effect_buff,15,15,5,6500,,
1001551,,,,,,,effect_wi_10015,0.1,0.1,1001552,1001553,100155,0.15
1001552,,,,,,,effect_heal,0.1,0.1,0.15,,32,
1001553,,,,3,2,,effect_buff,15,15,5,7500,,
1001611,,,,,,,effect_buff,6,6,2,2000,8,2000
1001621,,,,,,,effect_buff,6,6,2,2500,8,2500
1001631,,,,,,,effect_buff,8,8,2,2500,8,2500
1001641,,,,,,,effect_buff,8,8,2,3500,8,3500
1001651,,,,,,,effect_buff,10,10,2,3500,8,3500
1001711,,,,,,,effect_wi_1001711,0.5,999,0.2,1001712,,
1001712,1,10017,1,3,17,1,effect_buff,10,10,62,5000,,
1001721,,,,,,,effect_wi_1001711,0.5,999,0.2,1001722,,
1001722,2,10017,1,3,17,1,effect_buff,10,10,62,5500,,
1001731,,,,,,,effect_wi_1001711,0.5,999,0.2,1001732,,
1001732,3,10017,1,3,17,1,effect_buff,10,10,62,6500,,
1001741,,,,,,,effect_wi_1001711,0.5,999,0.2,1001742,,
1001742,4,10017,1,3,17,1,effect_buff,10,10,62,7500,,
1001751,,,,,,,effect_wi_1001711,0.5,999,0.2,1001752,,
1001752,5,10017,1,3,17,1,effect_buff,10,10,62,8500,,
1001900,,,,,,,effect_remove_effect_group,0.1,0.1,10019,,,
1001911,,,,,,,effect_wi_10019,0.5,3,1001912,100191,,
1001912,1,10019,1,,,,effect_reduce_cost,999,999,1,100190,,
1001921,,,,,,,effect_wi_10019,0.5,3,1001922,100192,,
1001922,1,10019,1,,,,effect_reduce_cost,999,999,2,100190,,
1001931,,,,,,,effect_wi_10019,0.5,5,1001932,100193,,
1001932,1,10019,1,,,,effect_reduce_cost,999,999,2,100190,,
1001941,,,,,,,effect_wi_10019,0.5,5,1001942,100194,,
1001942,1,10019,1,,,,effect_reduce_cost,999,999,3,100190,,
1001951,,,,,,,effect_wi_10019,0.5,5,1001952,100195,,
1001952,1,10019,1,,,,effect_reduce_cost,999,999,4,100190,,
1002011,,,,,,,effect_wi_10020,0.5,999,1002012,28,,
1002012,1,10020,1,4,2,,effect_buff,999,999,5,-2000,,
1002021,,,,,,,effect_wi_10020,0.5,999,1002022,28,,
1002022,2,10020,1,4,2,,effect_buff,999,999,5,-2200,,
1002031,,,,,,,effect_wi_10020,0.5,999,1002032,28,,
1002032,3,10020,1,4,2,,effect_buff,999,999,5,-2500,,
1002041,,,,,,,effect_wi_10020,0.5,999,1002042,28,,
1002042,4,10020,1,4,2,,effect_buff,999,999,5,-2800,,
1002051,,,,,,,effect_wi_10020,0.5,999,1002052,28,,
1002052,5,10020,1,4,2,,effect_buff,999,999,5,-3200,,
1002111,,,,5,1,,effect_shield_magatk,10,10,1.65,,,
1002121,,,,5,1,,effect_shield_magatk,10,10,1.8,,,
1002131,,,,5,1,,effect_shield_magatk,10,10,2,,,
1002141,,,,5,1,,effect_shield_magatk,10,10,2.3,,,
1002151,,,,5,1,,effect_shield_magatk,10,10,2.75,,,
1002211,,,,,,,effect_wi_10022,0.1,0.1,0.3,0,1002212,
1002212,,,,,,,effect_dizzy,2,2,,,,
1002221,,,,,,,effect_wi_10022,0.1,0.1,0.45,0,1002222,
1002222,,,,,,,effect_dizzy,2,2,,,,
1002231,,,,,,,effect_wi_10022,0.1,0.1,0.6,0,1002232,
1002232,,,,,,,effect_dizzy,2,2,,,,
1002241,,,,,,,effect_wi_10022,0.1,0.1,0.8,0,1002242,
1002242,,,,,,,effect_dizzy,2,2,,,,
1002251,,,,,,,effect_wi_10022,0.1,0.1,0.8,0,1002252,
1002252,,,,,,,effect_dizzy,3,3,,,,
1002311,,,,,,,effect_frozen,1,1,,,,
1002312,,,,,,,effect_shield_magatk,999,999,1.1,,,
1002313,,,,,,,effect_wi_10023,0.5,0.5,,,,
1002321,,,,,,,effect_frozen,1,1,,,,
1002322,,,,,,,effect_shield_magatk,999,999,1.2,,,
1002331,,,,,,,effect_frozen,1,1,,,,
1002332,,,,,,,effect_shield_magatk,999,999,1.35,,,
1002341,,,,,,,effect_frozen,1,1,,,,
1002342,,,,,,,effect_shield_magatk,999,999,1.55,,,
1002351,,,,,,,effect_frozen,1,1,,,,
1002352,,,,,,,effect_shield_magatk,999,999,1.8,,,
1002411,,,,3,10,,effect_buff,30,30,35,1000,36,2000
1002421,,,,3,10,,effect_buff,30,30,35,1500,36,2000
1002431,,,,3,10,,effect_buff,30,30,35,1500,36,3000
1002441,,,,3,10,,effect_buff,30,30,35,2000,36,3000
1002451,,,,3,10,,effect_buff,30,30,35,2000,36,4000
1011011,,,,,,,effect_mag_dmg,0.1,0.1,1.5,,9,1011012
1011012,1,1011,1,2,5,,effect_101,1.1,1.1,0.4,,,1011013
1011013,,,,,,,effect_dizzy,2,2,,,,
1012011,,,,,,,effect_mag_dmg,0.1,0.1,1.5,,9,1012012
1012012,1,1011,1,2,5,,effect_101,1.1,1.1,0.4,,,1012013
1012013,,,,,,,effect_dizzy,2.5,2.5,,,,
1013011,,,,,,,effect_mag_dmg,0.1,0.1,1.5,,9,1013012
1013012,1,1011,1,2,5,,effect_101,1.1,1.1,0.4,,,1013013
1013013,,,,,,,effect_dizzy,3,3,,,,
1014011,,,,,,,effect_mag_dmg,0.1,0.1,1.5,,9,1014012
1014012,1,1011,1,2,5,,effect_101,1.1,1.1,0.4,,,1014013
1014013,,,,,,,effect_dizzy,3.5,3.5,,,,
1015011,,,,,,,effect_mag_dmg,0.1,0.1,1.5,,9,1015012
1015012,1,1011,1,2,5,,effect_101,1.1,1.1,0.4,,,1015013
1015013,,,,,,,effect_dizzy,4,4,,,,
1017090,,,,,,,effect_1017060,999,999,29,500,500,
1031011,1,103101,1,0,,1,effect_10811,1,999,200,300,500,
1031012,1,103102,1,0,,1,effect_10812,1,999,500,700,1000,
1032011,2,103101,1,0,,1,effect_10811,1,999,300,400,600,
1032012,2,103102,1,0,,1,effect_10812,1,999,600,900,1200,
1033011,3,103101,1,0,,1,effect_10811,1,999,400,500,700,
1033012,3,103102,1,0,,1,effect_10812,1,999,700,1100,1400,
1034011,4,103101,1,0,,1,effect_10811,1,999,500,600,900,
1034012,4,103102,1,0,,1,effect_10812,1,999,800,1300,1600,
1035011,5,103101,1,0,,1,effect_10811,1,999,600,700,1000,
1035012,5,103102,1,0,,1,effect_10812,1,999,1000,1500,2000,
1041011,,,,,,,effect_mag_dmg,0.1,0.1,0.48,,9,
1041012,,,,,,,effect_mag_dmg,0.1,0.1,0.84,,9,
1042011,,,,,,,effect_mag_dmg,0.1,0.1,0.54,,9,
1042012,,,,,,,effect_mag_dmg,0.1,0.1,0.94,,9,
1043011,,,,,,,effect_mag_dmg,0.1,0.1,0.6,,9,
1043012,,,,,,,effect_mag_dmg,0.1,0.1,1.06,,9,
1044011,,,,,,,effect_mag_dmg,0.1,0.1,0.67,,9,
1044012,,,,,,,effect_mag_dmg,0.1,0.1,1.18,,9,
1045011,,,,,,,effect_mag_dmg,0.1,0.1,0.8,,9,
1045012,,,,,,,effect_mag_dmg,0.1,0.1,1.4,,9,
1061011,,,,,,,effect_1061,0.1,0.1,1061,1061012,0.63,
1061012,,,,,,,effect_killself,20,20,,,,
1062011,,,,,,,effect_1061,0.1,0.1,1061,1061012,0.69,
1063011,,,,,,,effect_1061,0.1,0.1,1061,1061012,0.76,
1064011,,,,,,,effect_1061,0.1,0.1,1061,1061012,0.88,
1065011,,,,,,,effect_1061,0.1,0.1,1061,1061012,1.04,
1071011,,,,,,,effect_1091,1,999,77,1071012,,
1071012,1,107,1,0,109,1,effect_buff,999,999,35,1000,,
1072011,,,,,,,effect_1091,1,999,77,1072012,,
1072012,2,107,1,0,109,1,effect_buff,999,999,35,1200,,
1073011,,,,,,,effect_1091,1,999,77,1073012,,
1073012,3,107,1,0,109,1,effect_buff,999,999,35,1400,,
1074011,,,,,,,effect_1091,1,999,77,1074012,,
1074012,4,107,1,0,109,1,effect_buff,999,999,35,1600,,
1075011,,,,,,,effect_1091,1,999,77,1075012,,
1075012,5,107,1,0,109,1,effect_buff,999,999,35,1800,,
1081011,1,108,1,3,10,1,effect_buff,10,10,35,4000,,
1082011,2,108,1,3,10,1,effect_buff,10,10,35,4200,,
1083011,3,108,1,3,10,1,effect_buff,10,10,35,4500,,
1084011,4,108,1,3,10,1,effect_buff,10,10,35,4800,,
1085011,5,108,1,3,10,1,effect_buff,10,10,35,5400,,
1101011,1,110,1,3,1,1,effect_1101,8,8,0.09,40,,
1102011,2,110,1,3,1,1,effect_1101,8,8,0.1,60,,
1103011,3,110,1,3,1,1,effect_1101,8,8,0.11,90,,
1104011,4,110,1,3,1,1,effect_1101,8,8,0.12,120,,
1105011,5,110,1,3,1,1,effect_1101,8,8,0.13,150,,
1111011,1,111,1,5,1,1,effect_shield_magatk,3,3,2,300,,
1112011,2,111,1,5,1,1,effect_shield_magatk,3,3,2.4,500,,
1113011,3,111,1,5,1,1,effect_shield_magatk,3,3,2.8,800,,
1114011,4,111,1,5,1,1,effect_shield_magatk,3,3,3.2,1200,,
1115011,5,111,1,5,1,1,effect_shield_magatk,3,3,4,1800,,
1121011,,,,,,,effect_mag_dmg,0.1,0.1,1.4,,9,
1122011,,,,,,,effect_mag_dmg,0.1,0.1,1.5,,9,
1123011,,,,,,,effect_mag_dmg,0.1,0.1,1.67,,9,
1124011,,,,,,,effect_mag_dmg,0.1,0.1,1.8,,9,
1125011,,,,,,,effect_mag_dmg,0.1,0.1,2,,9,
1126011,,,,,,,effect_empty,2,2,,,,
1141011,,,,,,,effect_1041,1.5,1.5,4,,,
1142011,,,,,,,effect_1041,1.5,1.5,4,,,
1143011,,,,,,,effect_1041,1.5,1.5,4,,,
1144011,,,,,,,effect_1041,1.5,1.5,4,,,
1145011,,,,,,,effect_1041,1.5,1.5,4,,,
2000111,1,20001,4,1,5,1,effect_buff,4,4,24,500,,
2000121,2,20001,4,1,5,1,effect_buff,5,5,24,500,,
2000131,3,20001,5,1,5,1,effect_buff,5,5,24,500,,
2000141,4,20001,5,1,5,1,effect_buff,6,6,24,500,,
2000151,5,20001,6,1,5,1,effect_buff,6,6,24,500,,
2000211,,,,,,,effect_hot,9,999,0,0.04,32,
2000212,,,,,,,effect_hot,8,999,0,0.04,32,
2000213,,,,,,,effect_hot,8,999,0,0.06,32,
2000214,,,,,,,effect_hot,8,999,0,0.09,32,
2000215,,,,,,,effect_hot,7,999,0,0.09,32,
2000311,,,,,,,effect_wi_20003,0.5,999,0.3,2000312,,
2000312,1,20003,1,3,1,3,effect_buff,13,13,2,2000,,
2000321,,,,,,,effect_wi_20003,0.5,999,0.3,2000322,,
2000322,2,20003,1,3,1,3,effect_buff,13,13,2,2200,,
2000331,,,,,,,effect_wi_20003,0.5,999,0.3,2000332,,
2000332,3,20003,1,3,1,3,effect_buff,13,13,2,2400,,
2000341,,,,,,,effect_wi_20003,0.5,999,0.3,2000342,,
2000342,4,20003,1,3,1,3,effect_buff,13,13,2,2600,,
2000351,,,,,,,effect_wi_20003,0.5,999,0.3,2000352,,
2000352,5,20003,1,3,1,3,effect_buff,13,13,2,3000,,
2000411,,,,,,,effect_wi_2000411,0.1,0.1,2000412,,,
2000412,1,20004,25,3,10,3,effect_buff,25,25,35,160,,
2000413,,,,,,,effect_wi_2000412,1,26,20004,,,
2000421,,,,,,,effect_wi_2000411,0.1,0.1,2000422,,,
2000422,2,20004,25,3,10,1,effect_buff,25,25,35,180,,
2000431,,,,,,,effect_wi_2000411,0.1,0.1,2000432,,,
2000432,3,20004,25,3,10,1,effect_buff,25,25,35,200,,
2000441,,,,,,,effect_wi_2000411,0.1,0.1,2000442,,,
2000442,4,20004,25,3,10,1,effect_buff,25,25,35,240,,
2000451,,,,,,,effect_wi_2000411,0.1,0.1,2000452,,,
2000452,5,20004,25,3,10,1,effect_buff,25,25,35,300,,
2000511,,,,,,,effect_wi_2000511,0.5,999,0.2,2000512,,
2000512,1,20005,5,3,10,3,effect_buff,9,9,35,3500,,
2000521,,,,,,,effect_wi_2000511,0.5,999,0.2,2000522,,
2000522,2,20005,5,3,10,3,effect_buff,9,9,35,4000,,
2000531,,,,,,,effect_wi_2000511,0.5,999,0.2,2000532,,
2000532,3,20005,5,3,10,3,effect_buff,9,9,35,5000,,
2000541,,,,,,,effect_wi_2000511,0.5,999,0.2,2000542,,
2000542,4,20005,5,3,10,3,effect_buff,9,9,35,6000,,
2000551,,,,,,,effect_wi_2000511,0.5,999,0.2,2000552,,
2000552,5,20005,5,3,10,3,effect_buff,9,9,35,7000,,
2000611,,,,3,3,,effect_buff,999,999,8,400,21,300
2000621,,,,3,3,,effect_buff,999,999,8,400,21,400
2000631,,,,3,3,,effect_buff,999,999,8,800,21,400
2000641,,,,3,3,,effect_buff,999,999,8,800,21,500
2000651,,,,3,3,,effect_buff,999,999,8,1000,21,500
2000711,,,,3,9,,effect_wi_20007,999,999,1,,,
2000721,,,,3,9,,effect_wi_20007,999,999,1.1,,,
2000731,,,,3,9,,effect_wi_20007,999,999,1.3,,,
2000741,,,,3,9,,effect_wi_20007,999,999,1.5,,,
2000751,,,,3,9,,effect_wi_20007,999,999,1.8,,,
2000811,,,,,,,effect_resist_all,3,3,,,,
2000821,,,,,,,effect_resist_all,4,4,,,,
2000831,,,,,,,effect_resist_all,5,5,,,,
2000841,,,,,,,effect_resist_all,6,6,,,,
2000851,,,,,,,effect_resist_all,8,8,,,,
2001011,,,,,,,effect_buff,25,25,5,6000,11,6000
2001012,,,,,,,effect_buff,25,25,5,7000,11,7000
2001013,,,,,,,effect_buff,25,25,5,8000,11,8000
2001014,,,,,,,effect_buff,25,25,5,9000,11,9000
2001015,,,,,,,effect_buff,25,25,5,11000,11,11000
2001111,1,20011,1,,,,effect_wi_20011,1,5,0.0167,0.0167,,
2001121,2,20011,1,,,,effect_wi_20011,1,5,0.025,0.025,,
2001131,3,20011,1,,,,effect_wi_20011,1,3,0.0375,0.0375,,
2001141,4,20011,1,,,,effect_wi_20011,1,3,0.045,0.045,,
2001151,5,20011,1,,,,effect_wi_20011,1,3,0.05,0.05,,
2001211,,,,,,,effect_buff,7,7,2,2000,,
2001212,,,,,,,effect_buff,8,8,2,2000,,
2001213,,,,,,,effect_buff,8,8,2,2400,,
2001214,,,,,,,effect_buff,9,9,2,2400,,
2001215,,,,,,,effect_buff,9,9,2,2800,,
2001311,,,,,,,effect_buff,7,7,8,2000,,
2001312,,,,,,,effect_buff,8,8,8,2000,,
2001313,,,,,,,effect_buff,8,8,8,2400,,
2001314,,,,,,,effect_buff,9,9,8,2400,,
2001315,,,,,,,effect_buff,9,9,8,2800,,
2001411,1,20014,1,1,10,1,effect_buff,4,4,35,2500,,
2001421,2,20014,1,1,10,1,effect_buff,6,6,35,3000,,
2001431,3,20014,1,1,10,1,effect_buff,6,6,35,3500,,
2001441,4,20014,1,1,10,1,effect_buff,8,8,35,4000,,
2001451,5,20014,1,1,10,1,effect_buff,8,8,35,5000,,
2001511,,,,,,,effect_wi_200151,0.1,0.1,2001512,,,
2001512,,,,,,,effect_buff,0.3,0.3,61,1400,,
2001521,,,,,,,effect_wi_200151,0.1,0.1,2001522,,,
2001522,,,,,,,effect_buff,0.3,0.3,61,1600,,
2001531,,,,,,,effect_wi_200151,0.1,0.1,2001532,,,
2001532,,,,,,,effect_buff,0.3,0.3,61,1800,,
2001541,,,,,,,effect_wi_200151,0.1,0.1,2001542,,,
2001542,,,,,,,effect_buff,0.3,0.3,61,2500,,
2001551,,,,,,,effect_wi_200151,0.1,0.1,2001552,,,
2001552,,,,,,,effect_buff,0.3,0.3,61,3000,,
2001611,,,,,,,effect_shield_magatk,30,30,1.3,,,
2001621,,,,,,,effect_shield_magatk,30,30,1.4,,,
2001631,,,,,,,effect_shield_magatk,30,30,1.6,,,
2001641,,,,,,,effect_shield_magatk,30,30,1.8,,,
2001651,,,,,,,effect_shield_magatk,30,30,2.1,,,
2997011,,,,,,,effect_create_bullet,0.1,0.1,2997011,,,
2997012,,,,,,,effect_bullet_phy_dmg,0.1,0.1,1.67,0,1,
2997021,,,,,,,effect_phy_dmg,0.1,0.1,1.4,0,2,
2997031,,,,,,,effect_create_bullet,0.1,0.1,2997031,,,
2997032,,,,,,,effect_bullet_phy_dmg,0.1,0.1,5,0,6,
2997041,,,,,,,effect_empty,0.1,0.1,,,,
2997042,,,,,,,effect_phy_dmg,0.1,0.1,0.5,,,
2997043,,,,,,,effect_phy_dmg,0.1,0.1,0.5,,,
2997044,,,,,,,effect_phy_dmg,0.1,0.1,0.5,,,
2997045,,,,,,,effect_phy_dmg,0.1,0.1,0.5,,,
2997046,,,,,,,effect_phy_dmg,0.1,0.1,0.5,,,
2998011,,,,,,,effect_phy_dmg,0.1,0.1,2,0,1,
2998021,,,,,,,effect_phy_dmg,0.1,0.1,3.2,0,4,
2998031,,,,,,,effect_phy_dmg,0.1,0.1,4,0,9,
2998032,1,299803,1,2,3,3,effect_knockfly,1,0.1,0,2,2,
2998041,1,299804,1,1,2,3,effect_resist_all,999,999,1,2,3,4
2998042,,,,,,,effect_2998,999,999,,,,
3000111,,,,,,,effect_add_hp_max,999,999,800,,0,
3000121,,,,,,,effect_add_hp_max,999,999,900,,0,
3000131,,,,,,,effect_add_hp_max,999,999,1000,,0,
3000141,,,,,,,effect_add_hp_max,999,999,1200,,0,
3000151,,,,,,,effect_add_hp_max,999,999,1500,,0,
3000211,,,,,,,effect_buff,999,999,2,500,5,1000
3000221,,,,,,,effect_buff,999,999,2,500,5,1500
3000231,,,,,,,effect_buff,999,999,2,600,5,1500
3000241,,,,,,,effect_buff,999,999,2,600,5,2000
3000251,,,,,,,effect_buff,999,999,2,800,5,2000
3000311,,,,,,,effect_buff,999,999,21,700,,
3000321,,,,,,,effect_buff,999,999,21,800,,
3000331,,,,,,,effect_buff,999,999,21,900,,
3000341,,,,,,,effect_buff,999,999,21,1000,,
3000351,,,,,,,effect_buff,999,999,21,1200,,
3000411,,,,,,,effect_buff,999,999,35,1000,,
3000421,,,,,,,effect_buff,999,999,35,1200,,
3000431,,,,,,,effect_buff,999,999,35,1400,,
3000441,,,,,,,effect_buff,999,999,35,1600,,
3000451,,,,,,,effect_buff,999,999,35,2000,,
3000511,,,,,,,effect_buff,999,999,8,700,,
3000521,,,,,,,effect_buff,999,999,8,800,,
3000531,,,,,,,effect_buff,999,999,8,900,,
3000541,,,,,,,effect_buff,999,999,8,1000,,
3000551,,,,,,,effect_buff,999,999,8,1200,,
3000611,,,,,,,effect_buff,999,999,8,500,11,1000
3000612,,,,,,,effect_buff,999,999,8,500,11,1500
3000613,,,,,,,effect_buff,999,999,8,600,11,1500
3000614,,,,,,,effect_buff,999,999,8,600,11,2000
3000615,,,,,,,effect_buff,999,999,8,800,11,2000
3011011,1,301,1,3,1,1,effect_3101,6,6,0.25,,,
3012011,2,301,1,3,1,1,effect_3101,6,6,0.28,,,
3013011,3,301,1,3,1,1,effect_3101,6,6,0.32,,,
3014011,4,301,1,3,1,1,effect_3101,6,6,0.35,,,
3015011,5,301,1,3,1,1,effect_3101,6,6,0.4,,,
3021011,,,,,,,effect_1071,6,6,3021,,,
3021012,,,,,,,effect_1072,0.1,0.1,0.64,,9,
3022011,,,,,,,effect_1071,6,6,3022,,,
3022012,,,,,,,effect_1072,0.1,0.1,0.7,,9,
3023011,,,,,,,effect_1071,6,6,3023,,,
3023012,,,,,,,effect_1072,0.1,0.1,0.75,,9,
3024011,,,,,,,effect_1071,6,6,3024,,,
