id,equipID,stage,breakItem,breakLv,costGoldCount,costEquipCount
166,1122001,0,0,10,,
167,1122001,1,0,20,1200,1
168,1122001,2,0,30,1800,2
169,1122002,0,0,10,,
170,1122002,1,0,20,1200,1
171,1122002,2,0,30,1800,2
172,1122003,0,0,10,,
173,1122003,1,0,20,1200,1
174,1122003,2,0,30,1800,2
175,1123001,0,0,10,,
176,1123001,1,0,20,1600,1
177,1123001,2,0,30,2400,2
178,1123001,3,0,40,4000,3
179,1123001,4,0,50,6400,4
180,1123002,0,0,10,,
181,1123002,1,0,20,1600,1
182,1123002,2,0,30,2400,2
183,1123002,3,0,40,4000,3
184,1123002,4,0,50,6400,4
185,1123003,0,0,10,,
186,1123003,1,0,20,1600,1
187,1123003,2,0,30,2400,2
188,1123003,3,0,40,4000,3
189,1123003,4,0,50,6400,4
190,1124001,0,0,10,,
191,1124001,1,0,20,2000,1
192,1124001,2,0,30,3000,2
193,1124001,3,0,40,5000,3
194,1124001,4,0,50,8000,4
195,1124001,5,0,60,12000,4
196,1124002,0,0,10,,
197,1124002,1,0,20,2000,1
198,1124002,2,0,30,3000,2
199,1124002,3,0,40,5000,3
200,1124002,4,0,50,8000,4
201,1124002,5,0,60,12000,4
202,1124003,0,0,10,,
203,1124003,1,0,20,2000,1
204,1124003,2,0,30,3000,2
205,1124003,3,0,40,5000,3
206,1124003,4,0,50,8000,4
207,1124003,5,0,60,12000,4
208,1124011,0,0,10,,
209,1124011,1,0,20,2000,1
210,1124011,2,0,30,3000,2
211,1124011,3,0,40,5000,3
212,1124011,4,0,50,8000,4
213,1124011,5,0,60,12000,4
214,1124012,0,0,10,,
215,1124012,1,0,20,2000,1
216,1124012,2,0,30,3000,2
217,1124012,3,0,40,5000,3
218,1124012,4,0,50,8000,4
219,1124012,5,0,60,12000,4
220,1124013,0,0,10,,
221,1124013,1,0,20,2000,1
222,1124013,2,0,30,3000,2
223,1124013,3,0,40,5000,3
224,1124013,4,0,50,8000,4
225,1124013,5,0,60,12000,4
226,1124021,0,0,10,,
227,1124021,1,0,20,2000,1
228,1124021,2,0,30,3000,2
229,1124021,3,0,40,5000,3
230,1124021,4,0,50,8000,4
231,1124021,5,0,60,12000,4
232,1124022,0,0,10,,
233,1124022,1,0,20,2000,1
234,1124022,2,0,30,3000,2
235,1124022,3,0,40,5000,3
236,1124022,4,0,50,8000,4
237,1124022,5,0,60,12000,4
238,1124023,0,0,10,,
239,1124023,1,0,20,2000,1
240,1124023,2,0,30,3000,2
241,1124023,3,0,40,5000,3
242,1124023,4,0,50,8000,4
243,1124023,5,0,60,12000,4
244,1132001,0,0,10,,
245,1132001,1,0,20,1200,1
246,1132001,2,0,30,1800,2
247,1132002,0,0,10,,
248,1132002,1,0,20,1200,1
249,1132002,2,0,30,1800,2
250,1132003,0,0,10,,
251,1132003,1,0,20,1200,1
252,1132003,2,0,30,1800,2
253,1133001,0,0,10,,
254,1133001,1,0,20,1600,1
255,1133001,2,0,30,2400,2
256,1133001,3,0,40,4000,3
257,1133001,4,0,50,6400,4
258,1133002,0,0,10,,
259,1133002,1,0,20,1600,1
260,1133002,2,0,30,2400,2
261,1133002,3,0,40,4000,3
262,1133002,4,0,50,6400,4
263,1133003,0,0,10,,
264,1133003,1,0,20,1600,1
265,1133003,2,0,30,2400,2
266,1133003,3,0,40,4000,3
267,1133003,4,0,50,6400,4
268,1134001,0,0,10,,
269,1134001,1,0,20,2000,1
270,1134001,2,0,30,3000,2
271,1134001,3,0,40,5000,3
272,1134001,4,0,50,8000,4
273,1134001,5,0,60,12000,4
274,1134002,0,0,10,,
275,1134002,1,0,20,2000,1
276,1134002,2,0,30,3000,2
277,1134002,3,0,40,5000,3
278,1134002,4,0,50,8000,4
279,1134002,5,0,60,12000,4
280,1134003,0,0,10,,
281,1134003,1,0,20,2000,1
282,1134003,2,0,30,3000,2
283,1134003,3,0,40,5000,3
284,1134003,4,0,50,8000,4
285,1134003,5,0,60,12000,4
286,1134011,0,0,10,,
287,1134011,1,0,20,2000,1
288,1134011,2,0,30,3000,2
289,1134011,3,0,40,5000,3
290,1134011,4,0,50,8000,4
291,1134011,5,0,60,12000,4
292,1134012,0,0,10,,
293,1134012,1,0,20,2000,1
294,1134012,2,0,30,3000,2
295,1134012,3,0,40,5000,3
296,1134012,4,0,50,8000,4
297,1134012,5,0,60,12000,4
298,1134013,0,0,10,,
299,1134013,1,0,20,2000,1
300,1134013,2,0,30,3000,2
301,1134013,3,0,40,5000,3
302,1134013,4,0,50,8000,4
303,1134013,5,0,60,12000,4
304,1134021,0,0,10,,
305,1134021,1,0,20,2000,1
306,1134021,2,0,30,3000,2
307,1134021,3,0,40,5000,3
308,1134021,4,0,50,8000,4
309,1134021,5,0,60,12000,4
310,1134022,0,0,10,,
311,1134022,1,0,20,2000,1
312,1134022,2,0,30,3000,2
313,1134022,3,0,40,5000,3
314,1134022,4,0,50,8000,4
315,1134022,5,0,60,12000,4
316,1134023,0,0,10,,
317,1134023,1,0,20,2000,1
318,1134023,2,0,30,3000,2
319,1134023,3,0,40,5000,3
320,1134023,4,0,50,8000,4
321,1134023,5,0,60,12000,4
322,1142001,0,0,10,,
323,1142001,1,0,20,1200,1
324,1142001,2,0,30,1800,2
325,1142002,0,0,10,,
326,1142002,1,0,20,1200,1
327,1142002,2,0,30,1800,2
328,1142003,0,0,10,,
329,1142003,1,0,20,1200,1
330,1142003,2,0,30,1800,2
331,1143001,0,0,10,,
332,1143001,1,0,20,1600,1
333,1143001,2,0,30,2400,2
334,1143001,3,0,40,4000,3
335,1143001,4,0,50,6400,4
336,1143002,0,0,10,,
337,1143002,1,0,20,1600,1
338,1143002,2,0,30,2400,2
339,1143002,3,0,40,4000,3
340,1143002,4,0,50,6400,4
341,1143003,0,0,10,,
342,1143003,1,0,20,1600,1
343,1143003,2,0,30,2400,2
344,1143003,3,0,40,4000,3
345,1143003,4,0,50,6400,4
346,1144001,0,0,10,,
347,1144001,1,0,20,2000,1
348,1144001,2,0,30,3000,2
349,1144001,3,0,40,5000,3
350,1144001,4,0,50,8000,4
351,1144001,5,0,60,12000,4
352,1144002,0,0,10,,
353,1144002,1,0,20,2000,1
354,1144002,2,0,30,3000,2
355,1144002,3,0,40,5000,3
356,1144002,4,0,50,8000,4
357,1144002,5,0,60,12000,4
358,1144003,0,0,10,,
359,1144003,1,0,20,2000,1
360,1144003,2,0,30,3000,2
361,1144003,3,0,40,5000,3
362,1144003,4,0,50,8000,4
363,1144003,5,0,60,12000,4
364,1144011,0,0,10,,
365,1144011,1,0,20,2000,1
366,1144011,2,0,30,3000,2
367,1144011,3,0,40,5000,3
368,1144011,4,0,50,8000,4
369,1144011,5,0,60,12000,4
370,1144012,0,0,10,,
371,1144012,1,0,20,2000,1
372,1144012,2,0,30,3000,2
373,1144012,3,0,40,5000,3
374,1144012,4,0,50,8000,4
375,1144012,5,0,60,12000,4
376,1144013,0,0,10,,
377,1144013,1,0,20,2000,1
378,1144013,2,0,30,3000,2
379,1144013,3,0,40,5000,3
380,1144013,4,0,50,8000,4
381,1144013,5,0,60,12000,4
382,1144021,0,0,10,,
383,1144021,1,0,20,2000,1
384,1144021,2,0,30,3000,2
385,1144021,3,0,40,5000,3
386,1144021,4,0,50,8000,4
387,1144021,5,0,60,12000,4
388,1144022,0,0,10,,
389,1144022,1,0,20,2000,1
390,1144022,2,0,30,3000,2
391,1144022,3,0,40,5000,3
392,1144022,4,0,50,8000,4
393,1144022,5,0,60,12000,4
394,1144023,0,0,10,,
395,1144023,1,0,20,2000,1
396,1144023,2,0,30,3000,2
397,1144023,3,0,40,5000,3
398,1144023,4,0,50,8000,4
399,1144023,5,0,60,12000,4
400,1152001,0,0,10,,
401,1152001,1,0,20,1200,1
402,1152001,2,0,30,1800,2
403,1152002,0,0,10,,
404,1152002,1,0,20,1200,1
405,1152002,2,0,30,1800,2
406,1152003,0,0,10,,
407,1152003,1,0,20,1200,1
408,1152003,2,0,30,1800,2
409,1153001,0,0,10,,
410,1153001,1,0,20,1600,1
411,1153001,2,0,30,2400,2
412,1153001,3,0,40,4000,3
413,1153001,4,0,50,6400,4
414,1153002,0,0,10,,
415,1153002,1,0,20,1600,1
416,1153002,2,0,30,2400,2
417,1153002,3,0,40,4000,3
418,1153002,4,0,50,6400,4
419,1153003,0,0,10,,
420,1153003,1,0,20,1600,1
421,1153003,2,0,30,2400,2
422,1153003,3,0,40,4000,3
423,1153003,4,0,50,6400,4
424,1154001,0,0,10,,
425,1154001,1,0,20,2000,1
426,1154001,2,0,30,3000,2
427,1154001,3,0,40,5000,3
428,1154001,4,0,50,8000,4
429,1154001,5,0,60,12000,4
430,1154002,0,0,10,,
431,1154002,1,0,20,2000,1
432,1154002,2,0,30,3000,2
433,1154002,3,0,40,5000,3
434,1154002,4,0,50,8000,4
435,1154002,5,0,60,12000,4
436,1154003,0,0,10,,
437,1154003,1,0,20,2000,1
438,1154003,2,0,30,3000,2
439,1154003,3,0,40,5000,3
440,1154003,4,0,50,8000,4
441,1154003,5,0,60,12000,4
442,1154011,0,0,10,,
443,1154011,1,0,20,2000,1
444,1154011,2,0,30,3000,2
445,1154011,3,0,40,5000,3
446,1154011,4,0,50,8000,4
447,1154011,5,0,60,12000,4
448,1154012,0,0,10,,
449,1154012,1,0,20,2000,1
450,1154012,2,0,30,3000,2
451,1154012,3,0,40,5000,3
452,1154012,4,0,50,8000,4
453,1154012,5,0,60,12000,4
454,1154013,0,0,10,,
455,1154013,1,0,20,2000,1
456,1154013,2,0,30,3000,2
457,1154013,3,0,40,5000,3
458,1154013,4,0,50,8000,4
459,1154013,5,0,60,12000,4
460,1154021,0,0,10,,
461,1154021,1,0,20,2000,1
462,1154021,2,0,30,3000,2
463,1154021,3,0,40,5000,3
464,1154021,4,0,50,8000,4
465,1154021,5,0,60,12000,4
466,1154022,0,0,10,,
467,1154022,1,0,20,2000,1
468,1154022,2,0,30,3000,2
469,1154022,3,0,40,5000,3
470,1154022,4,0,50,8000,4
471,1154022,5,0,60,12000,4
472,1154023,0,0,10,,
473,1154023,1,0,20,2000,1
474,1154023,2,0,30,3000,2
475,1154023,3,0,40,5000,3
476,1154023,4,0,50,8000,4
477,1154023,5,0,60,12000,4
478,1162001,0,0,10,,
479,1162001,1,0,20,1200,1
480,1162001,2,0,30,1800,2
481,1162002,0,0,10,,
482,1162002,1,0,20,1200,1
483,1162002,2,0,30,1800,2
484,1162003,0,0,10,,
485,1162003,1,0,20,1200,1
486,1162003,2,0,30,1800,2
487,1163001,0,0,10,,
488,1163001,1,0,20,1600,1
489,1163001,2,0,30,2400,2
490,1163001,3,0,40,4000,3
491,1163001,4,0,50,6400,4
492,1163002,0,0,10,,
493,1163002,1,0,20,1600,1
494,1163002,2,0,30,2400,2
495,1163002,3,0,40,4000,3
496,1163002,4,0,50,6400,4
497,1163003,0,0,10,,
498,1163003,1,0,20,1600,1
499,1163003,2,0,30,2400,2
500,1163003,3,0,40,4000,3
501,1163003,4,0,50,6400,4
502,1164001,0,0,10,,
503,1164001,1,0,20,2000,1
504,1164001,2,0,30,3000,2
505,1164001,3,0,40,5000,3
506,1164001,4,0,50,8000,4
507,1164001,5,0,60,12000,4
508,1164002,0,0,10,,
509,1164002,1,0,20,2000,1
510,1164002,2,0,30,3000,2
511,1164002,3,0,40,5000,3
512,1164002,4,0,50,8000,4
513,1164002,5,0,60,12000,4
514,1164003,0,0,10,,
515,1164003,1,0,20,2000,1
516,1164003,2,0,30,3000,2
517,1164003,3,0,40,5000,3
518,1164003,4,0,50,8000,4
519,1164003,5,0,60,12000,4
520,1164011,0,0,10,,
521,1164011,1,0,20,2000,1
522,1164011,2,0,30,3000,2
523,1164011,3,0,40,5000,3
524,1164011,4,0,50,8000,4
525,1164011,5,0,60,12000,4
526,1164012,0,0,10,,
527,1164012,1,0,20,2000,1
528,1164012,2,0,30,3000,2
529,1164012,3,0,40,5000,3
530,1164012,4,0,50,8000,4
531,1164012,5,0,60,12000,4
532,1164013,0,0,10,,
533,1164013,1,0,20,2000,1
534,1164013,2,0,30,3000,2
535,1164013,3,0,40,5000,3
536,1164013,4,0,50,8000,4
537,1164013,5,0,60,12000,4
538,1164021,0,0,10,,
539,1164021,1,0,20,2000,1
540,1164021,2,0,30,3000,2
541,1164021,3,0,40,5000,3
542,1164021,4,0,50,8000,4
543,1164021,5,0,60,12000,4
544,1164022,0,0,10,,
545,1164022,1,0,20,2000,1
546,1164022,2,0,30,3000,2
547,1164022,3,0,40,5000,3
548,1164022,4,0,50,8000,4
549,1164022,5,0,60,12000,4
550,1164023,0,0,10,,
551,1164023,1,0,20,2000,1
552,1164023,2,0,30,3000,2
553,1164023,3,0,40,5000,3
554,1164023,4,0,50,8000,4
555,1164023,5,0,60,12000,4
