id,charaName,hpMax,phyAtk,magAtk,phyDfs,magDfs,critAtkRatio,critDfsValue,hitRateBasic,hitRateValue,evadeValue,energyMax,energyRecover,heroEnergyRecover,hpRecover,energy,energyDamagedRecover,moveSpd,combatPower
2019,伊古瓦,520,9,76,22,28,420,0,10000,,,,,,,,,50000,0
2020,克莱门汀·库因提亚,604,66,10,25,29,595,0,10000,,,,,,,,,50000,0
2021,桀洛,695,65,10,34,32,307,0,10000,,,,,,,,,50000,0
2041,恩菲雷亚,552,10,55,28,33,246,0,10000,,,,,,,,,50000,0
3002,森林贤王·仓助,634,43,8,38,35,198,0,10000,,,,,,,,,50000,0
3003,扎里尤斯·沙沙,582,50,8,28,27,255,0,10000,,,,,,,,,50000,0
3004,沙斯林·沙沙,593,50,8,30,26,262,0,10000,,,,,,,,,50000,0
3005,库鲁雪·鲁鲁,462,8,46,23,28,208,0,10000,,,,,,,,,50000,0
3006,斯修·乔乔,446,58,8,22,19,339,0,10000,,,,,,,,,50000,0
3007,休古·兹兹,646,44,8,35,37,212,0,10000,,,,,,,,,50000,0
3008,泽伯鲁·咕咕,599,54,7,30,24,250,0,10000,,,,,,,,,50000,0
3010,沙丘隆特,495,55,8,23,27,498,0,10000,,,,,,,,,50000,0
3011,克莱姆,615,44,8,37,36,200,0,10000,,,,,,,,,50000,0
4001,布莉塔,524,44,7,27,23,220,0,10000,,,,,,,,,50000,0
4002,彼得·莫克,560,39,7,32,33,182,0,10000,,,,,,,,,50000,0
4003,卢克洛特·波尔布,387,53,7,19,17,327,0,10000,,,,,,,,,50000,0
4004,尼亚,377,7,57,15,22,320,0,10000,,,,,,,,,50000,0
4005,达因·伍德旺达,428,7,38,21,23,173,0,10000,,,,,,,,,50000,0
4006,鲍里斯·阿克赛尔森,450,48,7,18,21,449,0,10000,,,,,,,,,50000,0
1018,娜贝拉尔·伽马,644,12,94,26,37,541,0,10000,,,,,,,,,50000,0
1019,艾多玛·巴西丽莎·泽塔,913,80,12,46,41,396,0,10000,,,,,,,,,50000,0
1022,佩斯特妮·S·汪可,711,12,68,35,43,319,0,10000,,,,,,,,,50000,0
2014,爱雪·伊芙·莉尔·菲尔特,515,9,77,21,29,432,0,10000,,,,,,,,,50000,0
2015,伊米娜,508,77,10,25,23,430,0,10000,,,,,,,,,50000,0
2997,王国卫兵弓箭手,248,41,8,15,14,132,0,10000,,0,0,0,1,0,0,0,50000,0
1998,亚乌拉的蜥蜴,9999,53,11,45,29,360,0,10000,,0,0,0,1,0,0,0,50000,0
1999,亚乌拉的马,9999,53,11,45,29,360,0,10000,,0,0,0,1,0,0,0,80000,0
2998,死亡骑士,638,300,200,31,23,459,0,10000,,0,0,0,1,0,0,0,50000,0
3013,尼根,462,8,46,23,28,208,0,10000,,,,,,,,,50000,0
9999,工具人彼得,999999,1,38,18,18,151,0,10000,,0,0,0,1,0,0,0,50000,0
10003,阳光圣典,341,43,40,12,15,504,0,10000,,0,0,0,1,0,0,0,50000,0
10005,冒险者坦克,193,10,12,5,5,0,0,10000,,0,0,0,1,0,0,0,50000,0
10006,冒险者战士,193,21,42,5,5,0,0,10000,,0,0,0,1,0,0,0,50000,0
10007,冒险者法师,193,21,42,5,5,0,0,10000,,0,0,0,1,0,0,0,50000,0
10009,冒险者辅助,193,21,42,5,5,0,0,10000,,0,0,0,1,0,0,0,50000,0
30007,克莱门汀,3952,24,26,22,23,3000,0,10000,,0,0,0,1,0,0,0,50000,0
30012,夏提雅,3952,24,26,22,23,3000,0,10000,,0,0,0,1,0,0,0,50000,0
