id,function,explain,type
3005,YggTransferPortalUse,世界探索-使用传送门,0
3007,YggTransferPortalBuild,世界探索-增加传送门建造进度,0
3009,YggDispatchGetInfo,世界探索-获取派遣信息,0
3011,YggDispatchGetDailyTaskInfo,世界探索-获取日常派遣任务信息,0
3013,YggDispatchGetGuildTaskInfo,世界探索-获取公会派遣任务信息,0
3015,YggDailyDispatchBegin,世界探索-开始日常派遣,0
3017,YggGuildDispatchBegin,世界探索-开始公会派遣,0
3019,YggDispatchReceiveRewards,世界探索-获取奖励,0
3021,YggDispatchCancel,世界探索-取消派遣,0
3101,GetSignInInfo,签到-获取可签到ID,0
3103,SignIn,签到-根据签到ID进行签到并返回奖励项,0
3201,SurveyData,问卷调查-根据问卷ID把问卷的结果保存到数据库中,0
3203,SurveyCheckMark,问卷调查-查看所给问卷ID是否已经保存过,0
3301,GetStaminaInfo,快速购买体力-查看体力可购买次数以及花费,0
3303,QuickPurchaseStamina,快速购买体力-购买体力,0
3401,StoreGetGoods,商店-根据种类商店的id返回所有的物品,0
3403,StorePurchase,商店-根据一系列id的路径对商品进行购买,0
3405,StoreUpdate,商店-根据商店id来刷新此商店当前的所有子商店中的商品,0
3407,StoreQuickPurchase,商店-根据商品id来快速购买加速券商品,0
3409,StoreDailyRefresh,商店-每日刷新通知,1
3501,HeroInfo,至尊信息,0
3503,UnlockHero,解锁至尊,0
3505,HeroLevelUp,至尊升级,0
3507,HeroSkillUpgrade,至尊技能升级,0
3509,AddHeroAttendant,添加侍从,0
3511,RemoveHeroAttendant,移除侍从,0
3513,UpdateHeroLastCalcAttr,更新至尊属性,0
3515,HeroSetNewOneFlag,新手标签设置,0
3601,MailInfo,邮件信息,0
3603,MailMarkRead,邮件标记已读,0
3605,MailReceiveAttachment,接受邮件附件,0
3607,MailRemove,删除邮件,0
3609,MailReceiveAll,一键领取,0
3611,MailRemoveReadAndReceived,一键删除,0
3613,MailNotify,邮件更新推送,1
3701,ScorePassInfo,积分通行证信息,0
3703,ReceiveScorePassReward,领取积分通行证奖励,0
3705,ScorePassNotify,积分通行证推送,1
10101,LevelInfo,获取关卡信息,0
10103,LevelBattleStart,关卡战斗开始,0
10105,LevelBattleEnd,关卡战斗结束,0
10107,LevelSweep,关卡扫荡,0
10109,LevelNotify,关卡推送,1
10201,ChapterInfo,获取章节信息,0
10203,ReceiveChapterReward,获取章节奖励,0
10301,ExploreInfo,获取主线探索信息,0
10303,EnterChapterMap,进入章节,0
10305,ExploreUpdatePosition,更新章节内的玩家位置,0
10307,ExploreNPCInteract,主线探索npc互动,0
10309,ExploreGather,主线探索获取采集物,0
10311,UnlockFog,主线探索解锁迷雾,0
10313,ExploreStartCollectResource,主线探索开始采集资源,0
10315,ExploreFinishCollectResource,主线探索结束采集资源,0
10317,ExploreEventNotify,主线探索事件推送,1
10318,ExploreResourceNotify,主线探索资源推送,1
10319,ExploreEnterTPGate,进入传送门,0
10321,ExploreDestroyTPGate,销毁传送门,0
10401,TowerInfo,获取爬塔信息,0
10403,TowerUpdateNotify,爬塔推送,1
10501,GuildInfo,公会信息,0
10503,GuildCreate,创建公会,0
10505,GuildDissolve,解散公会,0
10507,GuildCancelDissolve,取消解散公会,0
10509,GuildApply,申请公会,0
10511,GuildCancelApply,取消申请公会,0
10513,GuildHandleApplied,处理公会申请,0
10515,GuildQuit,退出公会,0
10517,GuildChat,公会聊天,0
10519,GuildPromotion,提升职位,0
10521,GuildDemotion,降低职位,0
10523,GuildTransfer,转让会长,0
10525,GuildRecommend,公会推荐,0
10527,GuildSearch,公会搜索,0
10529,GuildGetList,公会推荐列表,0
10531,GuildGetMemberGreetings,公会异界问候列表,0
10533,GuildGreetingsRewards,公会异界问候领取奖励,0
10535,GuildListInfo,公会推荐列表详情,0
10537,GuildApplyList,公会申请列表,0
10539,GuildTaskRewards,公会任务领取奖励,0
10541,GuildTaskList,公会任务列表,0
10543,GuildKick,公会踢人,0
10545,GuildSendGroupMail,公会全体邮件,0
10547,GuildGetApplyList,公会获取申请列表,0
10549,GuildModify,公会编辑,0
10601,GetMercenaryList,获取可用佣兵列表,0
10603,MercenarySendApply,发送佣兵借用申请,0
10605,MercenaryManagement,获取佣兵管理列表,0
10607,MercenaryHandleApply,处理收到的佣兵申请,0
10609,MercenaryRecord,查看佣兵借出记录,0
10611,GetMercenaryCharacter,获取佣兵数据,0
10613,MercenaryCancel,取消借用申请,0
10701,FormationInfo,获取阵容信息,0
10703,SetFormation,设置阵容,0
