id,desc,unlockCondition,unlockConditionOr,completeCondition,completeConditionOr,guide_order,drop_id
155,成就引导,1:99,,,,50,
160,3-7 自动战斗解锁,2:10306,,,,51,
169,3-9 骨龙布阵调整,2:10308,,,,52,
170,3-9 战斗结束，回到主界面,2:10308,,,,53,
180,模拟经营-建造装备材料,2:10309,,,,54,
181,模拟经营-建造武器建筑,2:10309,,,,55,
182,模拟经营-武器建筑进驻,2:10309,,,,56,
183,模拟经营-武器建筑生产,2:10309,,,,57,
184,模拟经营-生产加速,2:10309,,,,58,
187,穿戴装备,2:10309,,,,59,
171,解锁历练,2:10309,,,,60,
172,【弱引导】教学去历练-主界面,2:10309,,2:501006,,61,
173,【弱引导】教学去历练-玩法UI,2:10309,,2:501006,,62,
175,账号9级后，回主界面,1:99,,,,63,
195,【弱引导】4-1 去主线探索,2:501006,,2:10401,,64,
196,4-1 强引导-切换章节,1:99,,,,65,
200,4-6 战斗结束，回到主界面,2:10405,,,,66,
201,图鉴-名片UI里解锁,2:10406,,,,67,
210,公会引导-入口,2:10406,,,,68,
211,公会任务引导,2:10406,,,,69,
220,4-12 战斗结束，回到主界面,2:10411,,,,70,
221,模拟经营-世界探索材料建筑,1:99,,,,71,
230,模拟经营-装备经验建筑,2:10412,,,,72,
240,装备升级,2:10412,,,,73,
245,装备-突破,2:10412,,,,74,
250,世界探索-介绍,2:10412,,,,75,
251,世界探索-出行,2:10412,,,,76,
252,世界探索-教学移动,2:10412,,,,77,
253,走过对应步数后，引导回纳萨力克,12:1010001,,,,78,
254,主城-领取主线任务,2:10412,,,,79,
255,主城-出城,13:254,,,,80,
256,追踪任务，移动行走,12:1010101,,,,81,
257,第一次精力不足，建造泉水,"2:10412,5002:1,5003:2",,,,82,
259,建造窥视魔塔,"10:1010203,5002:1",,,,83,
271,传送法阵-建造,"10:1010303,5002:1",,,,84,
260,主城-领取任务奖励,10:1010204,,,,85,
261,主城-领取支线任务-1,16:10102,,,,86,
262,主城-领取支线任务-2,16:10102,,,,87,
263,主城-领取支线任务-3,16:10102,,,,88,
268,主城-引导声望商店,16:10102,,,,89,
267,解锁区域匹配,1:99,,,,90,
264,切换支线任务追踪,16:10102,,,,91,
265,精力泉水-弱引导建造,4001:172001:1,,4001:51:25,,92,
266,精力泉水-弱引导建造,"5001:30,4001:172001:1",,4001:51:25,,93,
273,留言-引导,4001:51:25,,,,94,
274,派遣-引导,16:10103,,,,95,
277,电梯-引导,1:99,,,,96,
300,5-9 战斗后回主界面,2:10508,,,,97,
310,模拟经营UI-衣服屋,2:10509,,,,98,
312,资源券-使用引导,1:99,,,,99,
315,阵营技【中庸之道】- 布阵至尊技能引导,3002:1:107:1,,,"13:315,13:316",100,
316,阵营技【勠力同心】- 布阵至尊技能引导,3002:1:103:1,,,"13:315,13:316",101,
901,弱引导-19级-主线探索,1:19,,2:10509,,102,
902,弱引导-21级-主线探索,1:21,,2:10609,,103,
903,弱引导-24级-主线探索,1:24,,2:10701,,104,
904,弱引导-25级-主线探索,1:25,,2:10711,,105,
905,弱引导-27级-主线探索,1:27,,2:10801,,106,
906,弱引导-29级-主线探索,1:29,,2:10812,,107,
907,弱引导-31级-主线探索,1:31,,2:10901,,108,
908,弱引导-32级-主线探索,1:32,,2:10912,,109,
320,5-16 战斗后回主界面,2:10515,,,,110,
321,5-16 抽礼装,2:10516,,,,111,
330,抽卡界面-穿戴礼装,2:10516,,,,112,
331,主界面-穿戴礼装,2:10516,,,,113,
334,升级礼装-从角色开始,2:10516,,,,114,
335,升级礼装-从主界面开始,2:10516,,,,115,
340,6-9 战后回主界面,2:10608,,,,116,
341,模拟经营-建造饰品屋,2:10609,,,,117,
350,6-16 战后回主界面,2:10616,,,,118,
351,主界面-爬塔,2:10617,,,,119,
370,7-22 战后回主界面,2:10721,,,,120,
371,主界面-爬塔,2:10722,,,,121,
400,2个7级金币厂-引导使用资源券,1:99,,,,122,
420,竞技场引导,1:99,,,,123,
500,公会战,1:99,,,,124,
