id,type,paramX,paramY,paramZ
5060012,11,0,,
5060021,15,50,,
5060022,19,2,,
5060031,15,40,,
5060032,11,0,,
5060041,1,45,,
5060042,11,0,,
5060051,1,45,,
5060052,12,0,,
5060061,15,40,,
5060062,1,50,,
5070011,1,45,,
5070012,1,30,,
5070021,1,45,,
5070022,15,70,,
5070031,15,40,,
5070032,6,1,6,
5070041,15,50,,
5070042,19,2,,
5070051,15,50,,
5070052,1,30,,
5070061,15,40,,
5070062,19,2,,
5080011,15,50,,
5080012,11,0,,
5080021,1,45,,
5080022,12,0,,
5080031,15,40,,
5080032,15,60,,
5080041,1,45,,
5080042,11,0,,
5080051,1,45,,
5080052,15,70,,
5080061,15,40,,
5080062,19,2,,
5090011,1,45,,
5090012,6,1,6,
5090021,15,50,,
5090022,12,0,,
5090031,15,40,,
5090032,6,1,6,
5090041,15,50,,
5090042,11,0,,
5090051,1,45,,
5090052,11,0,,
5090061,15,40,,
5090062,11,0,,
5100011,5,1,2,
5100012,1,30,,
5100021,1,45,,
5100022,12,0,,
5100031,15,40,,
5100032,11,0,,
5100041,15,50,,
5100042,12,0,,
5100051,15,50,,
5100052,19,2,,
5100061,15,40,,
5100062,19,2,,
5110011,15,50,,
5110012,12,0,,
5110021,1,45,,
5110022,11,0,,
5110031,1,80,,
5110032,19,2,,
5110041,1,45,,
5110042,11,0,,
5110051,15,50,,
5110052,6,1,6,
5110061,15,40,,
5110062,11,0,,
5120011,15,50,,
5120012,11,0,,
5120021,1,45,,
5120022,6,1,6,
5120031,1,80,,
5120032,6,1,6,
5120041,1,45,,
5120042,11,0,,
5120051,1,45,,
5120052,11,0,,
5120061,15,40,,
5120062,19,2,,
5130011,15,50,,
5130012,6,1,6,
5130021,1,45,,
5130022,11,0,,
5130031,15,40,,
5130032,11,0,,
5130041,1,45,,
5130042,6,1,6,
5130051,15,50,,
5130052,19,2,,
5130061,1,80,,
5130062,1,50,,
5140011,15,50,,
5140012,19,2,,
5140021,1,45,,
5140022,15,70,,
5140031,15,40,,
5140032,15,60,,
5140041,15,50,,
5140042,1,30,,
5140051,1,45,,
5140052,15,70,,
5140061,1,80,,
5140062,1,50,,
5150011,1,45,,
5150012,15,70,,
5150021,1,45,,
5150022,19,2,,
5150031,1,80,,
5150032,19,2,,
5150041,15,50,,
5150042,6,1,6,
5150051,15,50,,
5150052,1,30,,
5150061,15,40,,
5150062,19,2,,
5160011,1,45,,
5160012,6,1,6,
5160021,1,45,,
5160022,15,70,,
5160031,1,80,,
5160032,15,60,,
5160041,1,45,,
5160042,11,0,,
5160051,15,50,,
5160052,19,2,,
5160061,15,40,,
5160062,19,2,,
5170011,1,45,,
5170012,11,0,,
5170021,15,50,,
5170022,1,30,,
5170031,15,40,,
5170032,19,2,,
5170041,1,45,,
5170042,15,70,,
5170051,1,45,,
5170052,6,1,6,
5170061,1,80,,
5170062,11,0,,
5180011,15,50,,
5180012,15,70,,
5180021,1,45,,
5180022,11,0,,
5180031,1,80,,
5180032,6,1,6,
5180041,1,45,,
5180042,11,0,,
5180051,15,50,,
5180052,1,30,,
5180061,1,80,,
5180062,11,0,,
9101051,15,40,,
9101101,1,80,,
9101151,1,80,,
9101201,15,40,,
9101251,11,0,,
9101301,15,60,,
9101351,19,2,,
9101401,1,50,,
9101451,6,1,6,
9101501,11,0,,
9201051,15,60,,
9201101,19,2,,
9301051,1,50,,
9301101,6,1,6,
9401051,11,0,,
9401101,6,1,6,
9501051,15,60,,
9501101,19,2,,
