id,module,cname,unlockCondition,conditionType,conditionParams,targetCount,isAutoReceive,addPoint,dropId,group
33001013,3,拥有1个友善阵营的SSR角色,,,1,1,,,,
33001014,3,拥有5个友善阵营的SSR角色,,,1,5,,,,
33001015,3,拥有10个友善阵营的SSR角色,,,1,10,,,,
33001016,3,拥有15个友善阵营的SSR角色,,,1,15,,,,
33002001,3,拥有1个三星角色,,,1,1,,,,
33002002,3,拥有5个三星角色,,,1,5,,,,
33002003,3,拥有10个三星角色,,,1,10,,,,
33002004,3,拥有15个三星角色,,,1,15,,,,
33002005,3,拥有1个四星角色,,,1,1,,,,
33002006,3,拥有5个四星角色,,,1,5,,,,
33002007,3,拥有10个四星角色,,,1,10,,,,
33002008,3,拥有15个四星角色,,,1,15,,,,
33002009,3,拥有1个五星角色,,,1,1,,,,
33002010,3,拥有5个五星角色,,,1,5,,,,
33002011,3,拥有10个五星角色,,,1,10,,,,
33002012,3,拥有15个五星角色,,,1,15,,,,
33003001,3,拥有1个三阶角色,,3004,"0,3",1,,,,
33003002,3,拥有5个三阶角色,4:33003001,3004,"0,3",5,,,,
33003003,3,拥有10个三阶角色,4:33003002,3004,"0,3",10,,,,
33003004,3,拥有15个三阶角色,4:33003003,3004,"0,3",15,,,,
33003005,3,拥有1个七阶角色,,,,1,,,,
33003006,3,拥有5个七阶角色,,,,5,,,,
33003007,3,拥有10个七阶角色,,,,10,,,,
33003008,3,拥有15个七阶角色,,,,15,,,,
33003009,3,拥有1个十阶角色,,,,1,,,,
33003010,3,拥有5个十阶角色,,,,5,,,,
33003011,3,拥有10个十阶角色,,,,10,,,,
33003012,3,拥有15个十阶角色,,,,15,,,,
33004001,3,拥有1个20级角色,,,1,1,,,,
33004002,3,拥有5个20级角色,,,1,5,,,,
33004003,3,拥有10个20级角色,,,1,10,,,,
33004004,3,拥有15个20级角色,,,1,15,,,,
33004005,3,拥有1个40级角色,,,1,1,,,,
33004006,3,拥有5个40级角色,,,1,5,,,,
33004007,3,拥有10个40级角色,,,1,10,,,,
33004008,3,拥有15个40级角色,,,1,15,,,,
33004009,3,拥有1个60级角色,,3002,"0,60",1,,,,
33004010,3,拥有5个60级角色,4:33004009,3002,"0,60",5,,,,
33004011,3,拥有10个60级角色,4:33004010,3002,"0,60",10,,,,
33004012,3,拥有15个60级角色,4:33004011,3002,"0,60",15,,,,
33005001,3,拥有1个奥义5级的角色,,3003,"0,3,5",1,,,,
33005002,3,拥有5个奥义5级的角色,4:33005001,3003,"0,3,5",5,,,,
33005003,3,拥有10个奥义5级的角色,4:33005002,3003,"0,3,5",10,,,,
33005004,3,拥有15个奥义5级的角色,4:33005003,3003,"0,3,5",15,,,,
33006001,3,累计召唤10次角色,,,,10,,,,
33006002,3,累计召唤30次角色,,,,30,,,,
33006003,3,累计召唤70次角色,,,,70,,,,
33006004,3,累计召唤150次角色,,,,150,,,,
33006005,3,累计召唤300次角色,,,,300,,,,
33006006,3,累计召唤500次角色,,,,500,,,,
33007001,3,单次十连获得2个SSR角色,,,,2,,,,
33007002,3,单次十连获得3个SSR角色,,,,3,,,,
33007003,3,单次十连获得4个SSR角色,,,,4,,,,
33008001,3,单次十连获得2个相同的SSR角色,,,,2,,,,
33008002,3,单次十连获得3个相同的SSR角色,,,,3,,,,
33008003,3,单次十连获得4个相同的SSR角色,,,,4,,,,
33009001,3,连续100次没有SSR角色,,,,100,,,,
33010001,3,SSR角色升级10次,,3001,1,10,,,50001,
33010002,3,SSR角色升级30次,4:33010001,3001,1,30,,,50001,
33010003,3,SSR角色升级100次,4:33010002,3001,1,100,,,50001,
