id,equipID,stage,hp_extra_ratio,phy_atk_extra_ratio,mag_atk_extra_ratio,phy_dfs_extra_ratio,mag_dfs_extra_ratio,hp_max_extra,phy_atk_extra,mag_atk_extra,phy_dfs_extra,mag_dfs_extra,hp_max_percent,phy_atk_percent,mag_atk_percent,phy_dfs_percent,mag_dfs_percent,crit_atk_ratio,crit_dfs_ratio,crit_atk_value,crit_dfs_value,hit_rate_value,evade_value,normal_atk_up,normal_dfs_up,skillAtkUp,skillDfsUp,ultraAtkUp,ultraDfsUp,phyDamAdd,phyDamReduce,magDamAdd,magDamReduce,cure_up,cure_down,heal_up,normal_leech_value,skill_phy_leech_value,skill_mag_leech_value,normal_atk_no_dfs,skill_phy_no_dfs,skill_mag_no_dfs,phyPen,magPen
112,1114023,3,0,0,0,7.29,8.68,0,0,0,121,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1114023,4,0,0,0,8.14,9.7,0,0,0,162,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1114023,5,0,0,0,8.57,10.21,0,0,0,202,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1121001,0,7.47,1.77,0,0,0,206,49,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1121001,1,7.47,1.77,0,0,0,88,21,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1121002,0,11.22,0,0,1,0,309,0,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1121002,1,11.22,0,0,1,0,132,0,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1121003,0,0,0,0,1.33,1.24,0,0,0,37,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1121003,1,0,0,0,1.33,1.24,0,0,0,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1122001,0,10.43,2.51,0,0,0,290,70,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1122001,1,11.29,2.71,0,0,0,92,22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1122001,2,12.27,2.95,0,0,0,193,46,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1122002,0,15.9,0,0,1.39,0,441,0,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1122002,1,17.21,0,0,1.51,0,140,0,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1122002,2,18.7,0,0,1.64,0,294,0,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1122003,0,0,0,0,1.88,1.73,0,0,0,52,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1122003,1,0,0,0,2.04,1.87,0,0,0,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1122003,2,0,0,0,2.22,2.03,0,0,0,35,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,1122011,0,10.6,2.49,0,0,0,294,69,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1122011,1,11.47,2.69,0,0,0,93,22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1122011,2,12.47,2.93,0,0,0,196,46,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1122012,0,15.78,0,0,1.41,0,438,0,0,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1122012,1,17.08,0,0,1.53,0,139,0,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1122012,2,18.57,0,0,1.66,0,292,0,0,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1122013,0,0,0,0,1.87,1.75,0,0,0,52,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1122013,1,0,0,0,2.02,1.9,0,0,0,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,1122013,2,0,0,0,2.2,2.06,0,0,0,35,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1123001,0,16.63,4.09,0,0,0,454,112,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1123001,1,17.55,4.31,0,0,0,136,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1123001,2,19.63,4.82,0,0,0,291,71,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1123001,3,23.09,5.67,0,0,0,454,112,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1123002,0,25.85,0,0,2.27,0,706,0,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1123002,1,27.28,0,0,2.4,0,212,0,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1123002,2,30.51,0,0,2.68,0,452,0,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1123002,3,35.9,0,0,3.15,0,706,0,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1123003,0,0,0,0,3.06,2.83,0,0,0,84,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1123003,1,0,0,0,3.23,2.98,0,0,0,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,1123003,2,0,0,0,3.61,3.34,0,0,0,54,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1123003,3,0,0,0,4.25,3.93,0,0,0,84,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1123011,0,17.23,4.02,0,0,0,471,110,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1123011,1,18.19,4.24,0,0,0,141,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1123011,2,20.34,4.75,0,0,0,301,70,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1123011,3,23.93,5.58,0,0,0,471,110,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1123012,0,25.44,0,0,2.3,0,695,0,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1123012,1,26.85,0,0,2.43,0,208,0,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1123012,2,30.03,0,0,2.71,0,445,0,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1123012,3,35.33,0,0,3.19,0,695,0,0,63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1123013,0,0,0,0,3.01,2.86,0,0,0,82,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1123013,1,0,0,0,3.18,3.01,0,0,0,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1123013,2,0,0,0,3.55,3.37,0,0,0,53,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1123013,3,0,0,0,4.18,3.97,0,0,0,82,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1123021,0,17.02,4.04,0,0,0,465,110,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,1123021,1,17.97,4.27,0,0,0,140,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1123021,2,20.1,4.77,0,0,0,298,71,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1123021,3,23.64,5.61,0,0,0,465,110,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,1123022,0,25.59,0,0,2.28,0,699,0,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,1123022,1,27.01,0,0,2.41,0,210,0,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,1123022,2,30.21,0,0,2.7,0,447,0,0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1123022,3,35.54,0,0,3.17,0,699,0,0,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,1123023,0,0,0,0,3.03,2.85,0,0,0,83,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,1123023,1,0,0,0,3.2,3.01,0,0,0,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1123023,2,0,0,0,3.58,3.36,0,0,0,53,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1123023,3,0,0,0,4.21,3.96,0,0,0,83,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,1124001,0,23.86,5.86,0,0,0,606,149,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,1124001,1,25.4,6.24,0,0,0,182,45,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1124001,2,28.87,7.09,0,0,0,363,89,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,1124001,3,32.72,8.03,0,0,0,545,134,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,1124001,4,36.57,8.98,0,0,0,727,178,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,1124001,5,38.49,9.45,0,0,0,908,223,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,1124002,0,37.1,0,0,3.26,0,941,0,0,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,1124002,1,39.49,0,0,3.47,0,282,0,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,1124002,2,44.88,0,0,3.94,0,565,0,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1124002,3,50.86,0,0,4.47,0,847,0,0,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,1124002,4,56.85,0,0,4.99,0,1130,0,0,99,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,1124002,5,59.84,0,0,5.26,0,1412,0,0,124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1124003,0,0,0,0,4.39,4.06,0,0,0,112,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,1124003,1,0,0,0,4.68,4.32,0,0,0,33,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,1124003,2,0,0,0,5.32,4.91,0,0,0,67,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,1124003,3,0,0,0,6.02,5.57,0,0,0,100,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,1124003,4,0,0,0,6.73,6.22,0,0,0,134,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,1124003,5,0,0,0,7.09,6.55,0,0,0,167,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1124011,0,24.73,5.76,0,0,0,628,146,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1124011,1,26.32,6.13,0,0,0,188,44,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1124011,2,29.91,6.97,0,0,0,377,88,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,1124011,3,33.9,7.9,0,0,0,565,132,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,1124011,4,37.89,8.83,0,0,0,753,175,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,1124011,5,39.88,9.29,0,0,0,941,219,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,1124012,0,36.5,0,0,3.3,0,926,0,0,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,1124012,1,38.85,0,0,3.51,0,278,0,0,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,1124012,2,44.15,0,0,3.99,0,556,0,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,1124012,3,50.04,0,0,4.52,0,834,0,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1124012,4,55.93,0,0,5.05,0,1111,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,1124012,5,58.87,0,0,5.32,0,1389,0,0,126,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,1124013,0,0,0,0,4.33,4.1,0,0,0,110,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
