id,delay,target1,effects1,target2,effects2,target3,effects3
106101,0,10106,1061011,,,,
106201,0,10106,1062011,,,,
106301,0,10106,1063011,,,,
106401,0,10106,1064011,,,,
106501,0,10106,1065011,,,,
107101,0,1,1071011,,,,
107201,0,1,1072011,,,,
107301,0,1,1073011,,,,
107401,0,1,1074011,,,,
107501,0,1,1075011,,,,
108101,0,77,1081011,,,,
108201,0,77,1082011,,,,
108301,0,77,1083011,,,,
108401,0,77,1084011,,,,
108501,0,77,1085011,,,,
110101,0,106,1101011,,,,
110201,0,106,1102011,,,,
110301,0,106,1103011,,,,
110401,0,106,1104011,,,,
110501,0,106,1105011,,,,
111101,0,10111,1111011,,,,
111201,0,10111,1112011,,,,
111301,0,10111,1113011,,,,
111401,0,10111,1114011,,,,
111501,0,10111,1115011,,,,
112101,0.3,10112,1121011,,,,
112102,0.5,10112,1121011,,,,
112103,0.6,10112,1121011,,,,
112201,0.3,10112,1122011,,,,
112202,0.5,10112,1122011,,,,
112203,0.6,10112,1122011,,,,
112301,0.3,10112,1123011,,,,
112302,0.5,10112,1123011,,,,
112303,0.6,10112,1123011,,,,
112401,0.3,10112,1124011,,,,
112402,0.5,10112,1124011,,,,
112403,0.6,10112,1124011,,,,
112501,0.3,10112,1125011,,,,
112502,0.5,10112,1125011,,,,
112503,0.6,10112,1125011,,,,
112601,0,10112,1126011,,,,
114101,0,1,1041011,,,,
114201,0,1,1042011,,,,
114301,0,1,1043011,,,,
114401,0,1,1044011,,,,
114501,0,1,1045011,,,,
301101,0,30101,3011011,,,,
301201,0,30101,3012011,,,,
301301,0,30101,3013011,,,,
301401,0,30101,3014011,,,,
301501,0,30101,3015011,,,,
302101,0,30201,3021011,,,,
302201,0,30201,3022011,,,,
302301,0,30201,3023011,,,,
302401,0,30201,3024011,,,,
302501,0,30201,3025011,,,,
303101,0,1,3031011,,,,
303201,0,1,3032011,,,,
303301,0,1,3033011,,,,
303401,0,1,3034011,,,,
303501,0,1,3035011,,,,
304101,0.3,28,3041011,,,,
304102,0.5,28,3041011,,,,
304103,1.2,28,"3041012,3041013",,,,
304201,0.3,28,3042011,,,,
304202,0.5,28,3042011,,,,
304203,1.2,28,"3042012,3041013",,,,
304301,0.3,28,3043011,,,,
304302,0.5,28,3043011,,,,
304303,1.2,28,"3043012,3041013",,,,
304401,0.3,28,3044011,,,,
304402,0.5,28,3044011,,,,
304403,1.2,28,"3044012,3041013",,,,
304501,0.3,28,3045011,,,,
304502,0.5,28,3045011,,,,
304503,1.2,28,"3045012,3041013",,,,
305101,0,24,3051011,,,,
305201,0,24,3052011,,,,
305301,0,24,3053011,,,,
305401,0,24,3054011,,,,
305501,0,24,3055011,,,,
306101,0,29,3061011,,,,
306201,0,29,3062011,,,,
306301,0,29,3063011,,,,
306401,0,29,3064011,,,,
306501,0,29,3065011,,,,
307101,0,1,3071011,,,,
307201,0,1,3072011,,,,
307301,0,1,3073011,,,,
307401,0,1,3074011,,,,
307501,0,1,3075011,,,,
308101,0,30201,3081011,,,,
308201,0,30201,3082011,,,,
308301,0,30201,3083011,,,,
308401,0,30201,3084011,,,,
308501,0,30201,3085011,,,,
1000711,0,1,1000711,,,,
1000712,0,1,1000721,,,,
1000713,0,1,1000731,,,,
1000714,0,1,1000741,,,,
1000715,0,1,1000751,,,,
1001611,0,29,1001611,,,,
1001621,0,29,1001621,,,,
1001631,0,29,1001631,,,,
1001641,0,29,1001641,,,,
1001651,0,29,1001651,,,,
1002211,0.1,100221,1002211,,,,
1002221,0.1,100221,1002221,,,,
1002231,0.1,100221,1002231,,,,
1002241,0.1,100221,1002241,,,,
1002251,0.1,100221,1002251,,,,
2000711,0,200071,2000711,,,,
2000721,0,200071,2000721,,,,
2000731,0,200071,2000731,,,,
2000741,0,200071,2000741,,,,
2000751,0,200071,2000751,,,,
2997011,0.9,100,2997011,,,,
2997021,0.42,100,2997021,,,,
2997031,2.4,100,2997031,,,,
2997041,2,100,2997041,,,,
2997042,2.1,100,2997042,,,,
2997043,2.2,100,2997043,,,,
2997044,2.3,100,2997044,,,,
2997045,2.4,100,2997045,,,,
2997046,2.5,100,2997046,,,,
2998011,0.77,100,2998011,,,,
2998021,0.7,100,2998021,,,,
2998031,1.15,100,"2998031,2998032",,,,
4000111,0.8,4000111,4000111,,,,
4000112,0.8,4000111,4000111,,,,
4000121,2,100,4000121,,,,
4000131,1.2,100,4000131,,,,
4000141,1.4,1,4000141,,,,
4000144,0,28,4000144,,,,
4000151,3.3,100,4000151,100,4000152,100,4000153
4000161,1.84,1,4000161,1,4000162,1,4000163
4000171,3.3,100,4000171,100,4000175,,
4000172,3.7,100,4000171,,,,
4000173,4.1,100,4000171,,,,
4000174,4.5,100,4000171,,,,
4000175,4.9,100,4000171,100,4000174,,
4000181,0,1,4000181,,,,
6001011,0.5,100,6001011,,,,
6001021,0.5,100,6001021,,,,
6001031,0,101,6001031,,,,
6001041,0,101,6001041,,,,
6001051,0,101,6001051,,,,
6001061,0,101,6001061,,,,
6002011,0.6,1001,6002011,,,,
6002021,0.5,100,6002021,,,,
6002031,0.85,100,6002030,,,,
6002051,0.6,3,6002051,,,,
6002052,1.73,3,6002051,,,,
6002053,2.86,3,6002051,,,,
6002054,3.99,3,6002051,,,,
6002055,5.12,3,6002051,,,,
6002071,1,6014041,6002071,,,,
6002072,1.2,6014042,6002071,,,,
6002073,1.4,6014043,6002071,,,,
6002074,1.6,6014044,6002071,,,,
6002075,1.8,6014045,6002071,,,,
6003011,0.3,1001,6003011,,,,
6003021,0.4,1000,6003021,,,,
6003031,0.5,6003031,6003031,,,,
6003032,0.6,6003031,6003032,,,,
6003033,0.7,6003031,6003033,,,,
6003034,0.8,6003031,6003034,6003031,6003036,,
6004011,0.6,1000,6004011,,,,
6004021,0.6,1000,6004021,,,,
6004031,0,1,"6004031,6004032",,,,
6005011,0.4,1000,6005011,,,,
6005021,0.9,1,6005021,,,,
6005041,0,1,6005041,,,,
6005051,0.85,100,6005051,,,,
6005061,0,1,6005061,,,,
6006011,0.5,1000,6006011,,,,
6006021,0.5,100,6006021,,,,
6006031,1,100,6006031,100,6006033,,
6006041,0.5,1000,6006041,,,,
6007011,0.5,1001,6007011,,,,
6007021,0.4,1000,6007021,,,,
6007031,0.5,100,6007031,,,,
6007041,1.6,100,6007041,,,,
6008011,0.7,3,6008011,,,,
6008012,0.4,1000,6008012,,,,
6008021,1.3,1,6008021,1,6008022,,
6008031,1.3,1,6008031,,,,
6008041,0.35,100,6008041,,,,
6008042,0.8,100,6008042,100,6008043,,
6009011,0.5,1001,6009011,,,,
6009021,0.5,1000,6009021,,,,
6009031,0.4,100,6009031,,,,
6009041,1.48,100,6009041,,,,
6010011,0.5,1000,6010011,,,,
6010021,0.8,3,6010021,,,,
6010051,0.5,1000,6010051,,,,
6010061,1.3,100,6010061,100,6010062,,
6011011,0.5,3,6011011,,,,
6011021,0.5,1000,6011021,,,,
6011031,0.6,6011031,6011031,,,,
6011032,0.6,6011031,6011031,,,,
6011033,0.6,6011031,6011031,,,,
6011041,0.7,100,6011041,100,6011043,100,6011045
6012011,0.5,1000,6012011,,,,
6012012,0,1,6012012,,,,
6012051,0,6012051,6012051,,,,
6012061,0,1,6012061,,,,
6013011,0.5,1000,6013011,,,,
6013021,0.9,1,6013021,,,,
6013031,0.75,100,6013031,,,,
6013041,0,1,6013041,,,,
6013061,0.5,1000,6013061,,,,
6014011,0.65,1001,6014011,,,,
6014021,0.6,1000,6014021,,,,
6014031,0.85,3,6014031,,,,
6014041,1,6014041,6014041,6014041,6014047,,
6014042,1.2,6014042,6014042,6014042,6014047,,
6014043,1.4,6014043,6014043,6014043,6014047,,
6014044,1.6,6014044,6014044,6014044,6014047,,
6014045,1.8,6014045,6014045,6014045,6014047,,
6014051,1.68,100,6014051,,,,
6014052,1.68,100,6014052,,,,
6014053,1.78,100,6014052,,,,
6014054,1.88,100,6014052,,,,
6014055,1.98,100,6014052,,,,
6014056,2.08,100,6014052,,,,
6014071,0.6,3,6014071,,,,
6014072,1.73,3,6014071,,,,
6014073,2.86,3,6014071,,,,
6014074,3.99,3,6014071,,,,
6014075,5.12,3,6014071,,,,
6015011,0.3,100,6015011,,,,
6015021,0.85,100,6015021,,,,
6015022,0.85,100,6015022,100,6015023,,
6015031,1.7,29,6015031,,,,
6015041,1.4,100,6015041,,,,
6015043,1.4,6015043,6015043,,,,
6016011,0.5,100,6016011,,,,
6016021,2.1,6016021,6016021,,,,
6016022,2.1,6016021,6016022,,,,
6016031,0,1,6016031,,,,
6016041,1.8,1,6016041,,,,
6016042,1.8,1,6016042,,,,
6017011,0.5,1001,6017011,,,,
6017021,0.6,1000,6017021,,,,
6017031,0.75,3,6017030,,,,
6017041,1,6014041,6017041,,,,
6017042,1.2,6014042,6017041,,,,
6017043,1.4,6014043,6017041,,,,
6017044,1.6,6014044,6017041,,,,
6017045,1.8,6014045,6017041,,,,
6017061,0.55,3,6017061,,,,
6017062,1.68,3,6017061,,,,
6017063,2.81,3,6017061,,,,
6017064,3.94,3,6017061,,,,
6017065,5.07,3,6017061,,,,
6017081,1.65,100,6017081,,,,
6017082,1.65,100,6017082,,,,
6017083,1.75,100,6017082,,,,
6017084,1.85,100,6017082,,,,
6017085,1.95,100,6017082,,,,
6017086,2.05,100,6017082,,,,
6018011,0.4,100,6018011,,,,
6018031,0,1,6018031,,,,
6018032,0.7,6018031,6018032,,,,
6019011,0.4,100,6019011,,,,
6019031,0.7,1000,6019031,,,,
6019041,0.4,100,"6019041,6019042",,,,
6020011,0.4,100,6020011,,,,
6020021,0.6,1000,6020021,,,,
6020031,0,101,6020031,,,,
6020041,0,100,6020041,,,,
6020042,2.3,6020042,6020042,,,,
6020043,2.3,6020042,6020043,,,,
6021011,0.3,100,6021011,,,,
6021031,0.9,107,6021031,,,,
6022011,0.6,100,6022011,,,,
6022021,0.4,1000,6022021,,,,
6022031,0.9,100,6022031,,,,
6023011,0.7,100,6023011,,,,
6023021,0.4,1000,6023021,,,,
6023022,0.6,1000,6023022,,,,
6023031,0,29,6023031,,,,
6023041,1.2,1001,6023041,,,,
6024011,0.58,100,6024011,,,,
6024021,0.55,100,"6024021,6024022",,,,
6024031,0,29,6024031,,,,
6025011,0.55,100,6025011,,,,
6025021,1.08,100,"6025021,6025022",,,,
6026011,0.56,100,6026011,,,,
6026021,0.56,6026021,"6026021,6026022",,,,
6027011,0.89,100,6027011,,,,
6027021,0.88,100,6027021,,,,
6027022,0.94,100,6027022,,,,
6027023,1.4,100,6027023,,,,
6027024,2.14,100,6027024,,,,
6028011,0.6,1000,6028011,,,,
6028021,0.6,100,6028021,,,,
6028022,1.3,100,"6028022,6028023",,,,
6029011,1,100,6029011,,,,
6029021,0.8,1000,6029021,,,,
6029022,1.1,1000,6029022,,,,
6029031,0,100,6029031,,,,
6029032,2,6029032,6029032,,,,
6029033,2.1,6029032,6029033,,,,
6029034,2.2,6029032,6029034,,,,
6029035,2.3,6029032,6029035,,,,
6029036,2.4,6029032,6029036,,,,
6030011,0.86,100,6030011,,,,
6030021,0.62,100,6030021,,,,
6031011,0.64,100,6031011,,,,
6031021,0.64,100,"6031021,6031022",,,,
6031031,0.46,100,6031031,,,,
6032011,0.61,100,6032011,,,,
6032021,0.6,100,6032021,,,,
6032031,0.8,100,6032031,,,,
6032041,0,100,6032041,,,,
6032042,1.6,6032041,6032042,,,,
6033011,0.54,100,6033011,,,,
6033021,0.94,100,6033021,,,,
6033031,1.2,100,6033031,,,,
6033041,0.54,100,"6033041,6033042",,,,
6034011,0.87,100,6034011,,,,
6034021,0.54,100,6034021,,,,
6034031,0.57,100,6034031,,,,
6034041,1,100,6034041,,,,
6035011,0.5,100,6035011,,,,
6035021,0.42,100,6035021,,,,
6035041,0.69,100,6035041,,,,
6035051,2,100,6035051,,,,
6036011,0.61,100,6036011,,,,
6036021,0.7,100,6036021,,,,
6036031,1.1,6036031,6036031,,,,
6036032,1.1,101,6036032,,,,
6037011,0.64,100,6037011,,,,
6037021,0.64,100,"6037021,6037022",,,,
6037031,0.43,1,6037031,,,,
6037032,0.43,5,6037032,,,,
6037033,1.3,1000,6037033,,,,
6037041,0.46,100,6037041,,,,
6038011,0.61,100,6038011,,,,
6038021,0.6,100,6038021,,,,
6038031,0.8,100,6038031,,,,
6038041,0,100,6038041,,,,
6038042,1.2,6038041,"6038042,6038043",,,,
6039011,0.58,100,6039011,,,,
6039031,0.2,100,6039031,,,,
6039032,0.8,100,6039032,,,,
6040011,0.87,100,6040011,,,,
6040021,0.54,100,6040021,,,,
6040031,1,100,6040031,,,,
6041011,0.5,100,6041011,,,,
6041021,0.42,100,6041021,,,,
6041041,2,100,6041041,,,,
6042011,0.61,100,6042011,,,,
6042021,0.7,100,6042021,,,,
6042031,1.1,100,6042031,,,,
6045011,0.48,3,6045011,,,,
6045021,0.45,3,6045021,,,,
6045031,0.54,6045031,6045031,,,,
6045032,0.54,6045031,6045031,,,,
6045033,0.54,6045031,6045031,,,,
6045041,0.8,100,6045041,100,6045042,,
6045042,1.12,100,6045041,,,,
6045043,1.7,100,6045041,,,,
6046011,0.64,100,6046011,,,,
6046021,0.46,100,6046021,,,,
6046031,0.44,1,6046031,,,,
6046032,0.44,5,6046032,,,,
6046033,1.3,100,6046033,,,,
6047011,0.61,100,6047011,,,,
6047021,0.9,100,6047021,,,,
6047031,1.1,6047031,6047031,,,,
6048011,0.9,100,6048011,,,,
6048021,0.42,100,6048021,,,,
6048031,0.5,1,6048031,,,,
6048041,2.4,100,6048041,,,,
6048051,2,100,6048051,,,,
6048052,2.1,100,6048052,,,,
6048053,2.2,100,6048053,,,,
6048054,2.3,100,6048054,,,,
6048055,2.4,100,6048055,,,,
6048056,2.5,100,6048056,,,,
6049011,0.61,100,6049011,,,,
6049021,0.6,100,6049021,,,,
6049031,1.23,100,6049031,,,,
6049041,0,100,6049041,,,,
6049042,1.2,6049041,6049042,,,,
6051011,0.58,1000,6051011,,,,
6051012,0.76,1000,6051011,,,,
6051021,2.2,6051021,6051021,,,,
6051031,0.6,6051031,6051031,,,,
6051041,0,29,6051041,,,,
6053011,0.5,1000,6053011,,,,
6053012,0.83,1000,6053011,,,,
6053021,0,1,6053021,,,,
6053031,0.16,2,6053031,,,,
6053032,0.6,100,6053031,,,,
6053041,0,29,6053041,,,,
6060011,0.8,1001,6060011,,,,
6060021,0.85,1000,6060021,,,,
6060031,1.24,6060031,6060031,,,,
6060034,1.7,1,6060034,,,,
6060041,2.16,6060041,6060041,,,,
6060051,0,1,6060051,,,,
6067011,0.5,100,6067011,,,,
6067021,0.52,6067021,6067021,,,,
6067031,0.5,100,6067031,,,,
6067041,0,6067041,6067041,,,,
6068011,0.66,100,6068011,,,,
6068021,0.66,100,6068021,,,,
6068031,0.5,100,6068031,,,,
6069011,0.5,1000,6069011,,,,
6069021,0.3,1000,6069021,,,,
6069022,0.9,1000,6069022,1000,6069023,,
6071011,0.59,3,6071011,,,,
6071021,1.47,100,6071021,,,,
6071022,1.5,100,6071022,,,,
6071023,1.5,100,6071023,,,,
6071031,1.1,6071031,6071031,6071031,6071032,6071031,6071033
6072011,0.6,100,6072011,,,,
6072012,0.8,100,6072011,,,,
6072041,0.07,6072021,6072031,6072021,6072032,6072021,6072033
6072061,0,6072051,6072061,,,,
6072062,0.5,6072051,6072061,,,,
6072063,1.5,6072051,6072061,,,,
6072064,2,6072051,6072061,,,,
6072065,2.5,6072051,6072061,,,,
6072066,3,6072051,6072061,,,,
6072067,3.5,6072051,6072061,,,,
6072068,4,6072051,6072061,,,,
6072069,4.5,6072051,6072061,,,,
6072070,5,6072051,6072061,,,,
6073011,0.4,100,6073011,,,,
6073021,0.5,100,6073021,100,6073022,1,6073023
6073031,0.92,100,6073031,100,6073032,,
7000002,0,1,7000002,1,7000003,,
7001011,0.8,1000,7001011,,,,
7001021,0.6,2,7001021,,,,
7001031,1,7001031,7001031,,,,
7001032,1.3,7001031,7001031,,,,
7001033,1.6,7001031,7001031,,,,
7001041,0.9,1,7001041,,,,
7001042,1.3,28,7001042,28,7001062,28,7001063
7001043,1.5,28,7001043,,,,
7001044,1.7,28,7001044,,,,
7001051,0.6,1,7001051,,,,
7001061,2.7,28,7001061,28,7001062,28,7001063
7001081,0.6,1,7001081,,,,
7001091,0,1,7001091,,,,
7001111,0,1,7001111,,,,
7001211,0,1,7001211,,,,
7001311,0,1,7001311,,,,
7002011,0.63,1001,7002011,,,,
7002021,0.7,7002021,7002021,,,,
7002022,0.9,7002021,7002022,,,,
7002023,1.1,7002021,7002023,,,,
7002024,1.3,7002021,7002024,,,,
7002025,1.5,7002021,7002025,,,,
7002031,0.78,100,"7002031,7002032",,,,
7002041,0.8,28,7002041,,,,
7002051,1.2,28,"7002051,7002052",,,,
7002061,0.8,1,"7002061,7002061,7002061,7002061,7002061,7002061,7002061,7002061,7002061,7002061,7002061,7002061,7002061,7002061,7002061,7002061,7002061,7002061,7002061,7002061",,,,
7002063,0.8,1,"7002063,7002067",,,,
7002081,1.1,28,7002081,,,,
7002082,1.2,28,7002082,,,,
7002083,1.24,28,7002083,,,,
7002084,1.27,28,7002084,,,,
7002085,1.3,28,7002085,,,,
7002086,0,1,7002090,,,,
7002102,0.8,1,7002102,,,,
7003011,0.55,1001,7003011,,,,
7003021,0,100,7003021,,,,
7003022,0.8,100,7003022,,,,
7003023,0.8,100,7003023,,,,
7003031,0.5,28,7003031,,,,
7003041,0,1,,,,,
7003051,0,100,7003051,100,7003053,,
7003052,1,100,7003051,,,,
7003053,2,100,7003051,,,,
7003054,3,100,7003051,,,,
7003055,4,100,7003051,,,,
7003056,0,1,7003056,,,,
7003057,0,1,7003057,,,,
7003058,0,1,7003058,,,,
7003061,0,1,,,,,
7003071,0,100,7003071,,,,
7003072,0.46,1,7003072,,,,
7003081,0.6,100,7003083,100,7003084,,
7003091,3.26,28,7003091,,,,
7003101,0.95,28,7003101,,,,
7003102,0.95,1,7003102,,,,
7003121,3.26,28,7003121,,,,
7004011,0.4,1000,7004011,,,,
7004021,0.4,1000,7004021,,,,
7004031,0.6,1000,7004031,,,,
7004041,0.6,7004041,7004041,,,,
7004042,0.6,7004041,7004042,,,,
7004051,1,1,7004051,,,,
7004062,0.3,100,7004062,,,,
7004063,1,7004062,7004063,,,,
7004064,1,7004062,7004064,,,,
7004065,0.3,100,7004062,,,,
7004066,1,7004062,7004063,,,,
7004067,1,7004062,7004064,,,,
7004068,0.3,100,7004062,,,,
7004069,1,7004062,7004063,,,,
7004070,1,7004062,7004064,,,,
7004071,0.3,100,7004062,,,,
7004072,1,7004062,7004063,,,,
7004073,1,7004062,7004064,,,,
7004131,1.65,7004131,7004131,1,7004133,,
7004168,0.3,100,7004162,,,,
7004169,1,7004062,7004163,,,,
7004170,1,7004062,7004164,,,,
7005011,0.6,28,7005011,,,,
7005021,0.6,1,7005021,,,,
7005031,1.6,7005031,7005031,,,,
7005042,0.8,1,7005042,,,,
7005051,0.84,7005061,7005051,,,,
7005071,0,28,7005072,,,,
7005074,1,28,7005075,,,,
7005077,2,28,7005078,,,,
7005080,3,28,7005081,,,,
7005083,4,28,7005084,,,,
7005111,0,7005061,7005111,,,,
7005112,0.3,7005061,7005113,,,,
7005113,0.6,7005061,7005115,,,,
7005114,0.9,7005061,7005117,,,,
7005115,1.2,7005061,7005119,,,,
7005116,1.5,7005061,7005123,,,,
7005121,0,1,7005121,,,,
7006011,1.6,7006011,7006011,,,,
7006021,1.8,28,7006021,,,,
7006031,1.5,7006031,7006031,,,,
7006032,2,1,7006032,,,,
7006041,1.68,100,7006041,100,7006043,,
7006051,1.72,28,7006051,,,,
7006052,2.02,28,7006052,,,,
7006053,2.32,28,7006053,,,,
7006056,2.32,28,7006056,,,,
7006061,1.45,7006011,7006061,7006011,7006062,,
7006064,1.85,7006011,7006064,7006011,7006062,,
7006066,2.25,7006011,7006066,7006011,7006062,,
7006068,2.65,7006011,7006068,7006011,7006062,,
7006071,1.87,7006071,7006071,,,,
7006072,2.03,7006072,7006071,,,,
7006073,2.2,7006073,7006071,,,,
7006074,2.32,7006074,7006071,,,,
7006075,2.5,7006075,7006071,,,,
7006081,0.8,7006081,7006081,7006081,7006082,,
7006082,1.3,7006081,7006081,7006081,7006082,,
7006083,1.8,7006081,7006081,7006081,7006082,,
7006084,2.3,7006081,7006081,7006081,7006082,,
7006085,2.8,7006081,7006081,7006081,7006082,,
7006091,0,1,7006094,,,,
7006092,0,7006081,7006092,,,,
7007011,0.3,1000,70070101,,,,
7007021,0.96,1,70070201,,,,
7007031,0.97,100,70070301,,,,
7007032,1.1,100,70070302,,,,
7007041,0.5,1000,70070401,,,,
7007042,2.3,1000,70070402,,,,
7007051,0.5,700705,70070501,,,,
7007052,0.6,700705,70070502,,,,
7007061,0.43,1000,70070601,,,,
7007062,1.3,1000,"70070602,70070603",,,,
7007081,0.7,100,"70070801,70070803",,,,
7007101,0,2,70071001,,,,
7007102,0.1,100,70071002,,,,
7007103,0.5,100,70071003,,,,
7007104,0.6,100,70071004,,,,
7007105,0.7,100,70071005,,,,
7007106,1,100,70071006,,,,
7008011,0.4,1000,70080101,,,,
7008021,0.3,100,70080201,,,,
7008022,0.8,100,70080202,,,,
7008023,1.3,100,70080203,,,,
7008024,1.8,100,70080204,,,,
7008025,2.3,100,70080205,,,,
7008031,0.7,2006031,70080301,,,,
7008040,0,1,70080406,,,,
7008041,0.8,1,70080401,,,,
7008042,1.5,1000,70080402,,,,
7008043,1.7,1000,70080403,,,,
7008044,1.9,1000,70080404,,,,
7008045,2.3,1000,70080405,,,,
7008051,0.8,1,"70080501,70080502",,,,
7008061,0.4,1000,70080601,,,,
7009011,0.47,100,7009011,,,,
7009021,0.34,7009021,7009021,,,,
7009022,0.9,7009021,7009022,,,,
7009023,2,7009021,"7009023,7009024",,,,
7009031,1.2,7009031,"7009031,7009033",,,,
7009051,1,100,7009051,,,,
7009061,1.6,100,7009061,,,,
7009081,0,100,7009081,,,,
7009082,2.2,7009081,"7009082,7009083",,,,
7009083,2.6,7009081,7009084,,,,
7009084,3,7009081,7009085,,,,
7010011,0.9,100,7010011,,,,
7010041,0.8,100,7010041,,,,
7010051,0.8,100,7010051,,,,
7010061,2,100,7010061,,,,
7010071,0.8,100,"7010071,7010073",,,,
7010091,1,100,7010091,,,,
7010111,0,100,7010111,,,,
7011011,0.8,1001,7011011,,,,
7011021,0.66,1000,7011021,,,,
7011031,1.3,7011031,7011031,,,,
7011041,1.8,7011041,7011041,,,,
7011042,0.2,1,7011042,,,,
7011045,1.8,7011041,7011045,,,,
7011046,1.45,1,7011046,,,,
7011051,1.4,7011051,7011051,,,,
7011061,0.3,28,7011061,,,,
7011062,3.4,28,7011063,1,7011064,,
7011066,2.7,28,7011066,,,,
7011071,2.7,28,7011071,,,,
7011091,0,1,7011091,,,,
7011101,1,1,7011101,,,,
7012011,0.5,7012011,7012011,,,,
7012012,1,7012011,7012012,,,,
7012031,2.2,1,7012031,,,,
7012032,2.5,1,7012031,,,,
7012033,3,1,7012031,,,,
7012034,3.7,1,7012031,,,,
7012035,4.4,1,7012031,,,,
7012041,1.1,7012011,7012041,,,,
7012051,0.9,1,"7012051,7012052,7012053",,,,
7012061,0,3,7012061,,,,
7012062,0.1,28,7012062,,,,
7012063,0,28,7012063,,,,
7012064,1,28,7012064,28,7012065,,
7012071,0,3,,,,,
7012081,0.5,3,,,,,
7012091,0.3,7012091,"7012091,7012093",,,,
7012101,1.4,28,7012101,,,,
7012111,0.5,1,7012111,1,7012113,1,7012115
7012113,0,1,7012113,,,,
7012121,0.3,7012121,7012121,,,,
7012125,0.3,7012121,7012125,,,,
7012129,0.3,7012121,7012129,,,,
7012141,0,1,7012141,,,,
7012142,0,28,7012142,,,,
7013011,0.9,100,70130101,,,,
7013021,0,1,70130201,,,,
7013031,1,100,70130301,,,,
7013041,0.7,2019031,70130401,,,,
7013042,1,2019031,70130402,,,,
7013051,0.9,100,70130500,,,,
7013052,0.5,2019041,"70130502,70130503,3",,,,
7013061,0.7,100,70130601,,,,
7014011,0.6,100,7014011,,,,
7014040,0,1,7014040,,,,
7014041,0.3,28,7014041,,,,
7014042,0.6,28,7014041,,,,
7014043,0.9,28,7014041,,,,
7014044,1.2,28,7014041,,,,
7014045,1.5,28,7014041,,,,
7014046,1.8,28,7014041,,,,
7014061,0.7,100,7014061,,,,
7014071,0.8,100,7014071,,,,
7014081,0.9,100,7014081,,,,
7014101,1,100,7014101,,,,
7015011,0.6,100,70150101,,,,
7015021,0.6,100,70150201,,,,
7015031,1.8,100,70150301,,,,
7015041,0.8,1,70150401,,,,
7015042,2.4,100,70150402,,,,
7015051,0.8,100,70150501,,,,
7015061,0.8,100,70150601,,,,
7015071,0,1,70150701,,,,
7016011,0.5,100,7016011,,,,
7016031,0.5,100,7016031,,,,
7016041,0.8,100,7016041,,,,
7016051,1.1,100,7016051,,,,
7016071,2.1,100,7016071,,,,
7016081,0.5,100,7016081,,,,
7017031,0.7,7017031,7017031,,,,
7017041,1.3,100,7017041,,,,
7017051,1.2,28,7017051,,,,
7017061,0.7,105,7017061,,,,
7017062,0.8,105,7017062,,,,
7017063,1.1,105,7017063,,,,
7017071,0.6,100,7017071,,,,
7017081,0.6,100,7017081,,,,
7018011,0.5,100,7018011,,,,
7018021,0.8,100,7018021,,,,
7018041,0,1,7018023,,,,
7018051,1.4,1,7018051,,,,
