id,hpMax,hpMaxExtra,hpMaxPercent,globalHpMaxPercent,phyAtk,phyAtkExtra,phyAtkPercent,globalPhyAtkPercent,phyDfs,phyDfsExtra,phyDfsPercent,globalPhyDfsPercent,magAtk,magAtkExtra,magAtkPercent,globalMagAtkPercent,magDfs,magDfsExtra,magDfsPercent,globalMagDfsPercent,critAtkRatio,critDfsRatio,critAtkValue,critDfsValue,hitRateValue,evadeValue,normalAtkUp,normalDfsUp,skillAtkUp,skillDfsUp,ultraAtkUp,ultraDfsUp,skillPhyAtkUp,skillPhyDfsUp,skillMagAtkUp,skillMagDfsUp,cureUp,cureDown,healUp
11130212,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130213,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11130221,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
11130222,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,
11130223,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,
11130231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
11130232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,
11130233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,
11140011,,,,,,,100,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,
11140012,,,,,,,150,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,
11140013,,,,,,,200,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,
11140014,,,,,,,250,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,
11140015,,,,,,,300,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,
11140021,,,,,,,,,,,100,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
11140022,,,,,,,,,,,150,,,,,,,,,,,,,350,,,,,,,,,,,,,,,
11140023,,,,,,,,,,,200,,,,,,,,,,,,,400,,,,,,,,,,,,,,,
11140024,,,,,,,,,,,250,,,,,,,,,,,,,450,,,,,,,,,,,,,,,
11140025,,,,,,,,,,,300,,,,,,,,,,,,,500,,,,,,,,,,,,,,,
11140031,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,100,,,
11140032,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,150,,,
11140033,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,200,,,
11140034,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,250,,,
11140035,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,300,,,
11140111,,,100,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,
11140112,,,150,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,
11140113,,,200,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,
11140114,,,250,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,
11140115,,,300,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,
11140121,,,100,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,
11140122,,,150,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,
11140123,,,200,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,
11140124,,,250,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,
11140125,,,300,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,
11140131,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,100,,,,,,
11140132,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,150,,,,,,
11140133,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,200,,,,,,
11140134,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,250,,,,,,
11140135,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,300,,,,,,
11140211,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
11140212,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,
11140213,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,
11140214,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,
11140215,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,
11140221,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
11140222,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,
11140223,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,
11140224,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,
11140225,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,
11140231,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,100,,,,,
11140232,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,150,,,,,
11140233,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,200,,,,,
11140234,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,250,,,,,
11140235,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,300,,,,,
11230011,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230012,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230013,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230021,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230022,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230023,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
11230032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,
11230033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,
11230111,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230112,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230113,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230121,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
11230122,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,
11230123,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,
11230131,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230132,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230133,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230211,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230212,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230213,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230221,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230222,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230223,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11230231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
11230232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,
11230233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,
11240011,,,,,,,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11240012,,,,,,,150,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11240013,,,,,,,200,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11240014,,,,,,,250,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11240015,,,,,,,300,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11240021,,,,,,,,,,,,,,,,,,,,,,300,,300,,,,,,,,,,,,,,,
11240022,,,,,,,,,,,,,,,,,,,,,,350,,350,,,,,,,,,,,,,,,
11240023,,,,,,,,,,,,,,,,,,,,,,400,,400,,,,,,,,,,,,,,,
11240024,,,,,,,,,,,,,,,,,,,,,,450,,450,,,,,,,,,,,,,,,
11240025,,,,,,,,,,,,,,,,,,,,,,500,,500,,,,,,,,,,,,,,,
11240031,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,100,,,
11240032,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,150,,,
11240033,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,200,,,
11240034,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,250,,,
11240035,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,300,,,
11240111,,,,,,,,,,,100,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
11240112,,,,,,,,,,,150,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
11240113,,,,,,,,,,,200,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
11240114,,,,,,,,,,,250,,,,,,,,250,,,,,,,,,,,,,,,,,,,,
11240115,,,,,,,,,,,300,,,,,,,,300,,,,,,,,,,,,,,,,,,,,
11240121,,,100,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,
11240122,,,150,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,
11240123,,,200,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,
11240124,,,250,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,
11240125,,,300,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,
11240131,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,100,,,,,,
11240132,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,150,,,,,,
11240133,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,200,,,,,,
11240134,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,250,,,,,,
11240135,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,300,,,,,,
11240211,,,100,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11240212,,,150,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11240213,,,200,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11240214,,,250,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11240215,,,300,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11240221,,,,,,,,,,,,,,,,,,,,,300,,300,,,,,,,,,,,,,,,,
11240222,,,,,,,,,,,,,,,,,,,,,350,,350,,,,,,,,,,,,,,,,
11240223,,,,,,,,,,,,,,,,,,,,,400,,400,,,,,,,,,,,,,,,,
11240224,,,,,,,,,,,,,,,,,,,,,450,,450,,,,,,,,,,,,,,,,
11240225,,,,,,,,,,,,,,,,,,,,,500,,500,,,,,,,,,,,,,,,,
11240231,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
11240232,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,
11240233,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,
11240234,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,
11240235,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,
11330011,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11330012,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11330013,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11330021,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11330022,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11330023,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11330031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
11330032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,
11330033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,
11330111,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11330112,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11330113,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11330121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
11330122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,
11330123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,
11330131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
11330132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,
11330133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,
11330211,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,
11330212,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,
11330213,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,
11330221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
11330222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,
11330223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,
11330231,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11330232,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11330233,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11340011,,,100,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,
11340012,,,150,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,
11340013,,,200,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,
11340014,,,250,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,
11340015,,,300,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,
11340021,,,,,,,100,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
11340022,,,,,,,150,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,
11340023,,,,,,,200,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,
11340024,,,,,,,250,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,
11340025,,,,,,,300,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,
11340031,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,100,,,
11340032,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,150,,,
11340033,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,200,,,
11340034,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,250,,,
11340035,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,300,,,
11340111,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,100,,,
11340112,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,150,,,
11340113,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,200,,,
11340114,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,250,,,
11340115,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,300,,,
11340121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,
11340122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,150,,,
11340123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,200,,,
11340124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,250,,,
11340125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,300,,,
11340131,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,100,,,,,,
11340132,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,150,,,,,,
11340133,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,200,,,,,,
11340134,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,250,,,,,,
11340135,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,300,,,,,,
11340211,,,,,,,100,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,
11340212,,,,,,,150,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,
11340213,,,,,,,200,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,
11340214,,,,,,,250,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,
11340215,,,,,,,300,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,
11340221,,,,,,,,,,,,,,,,,,,,,300,,300,,,,,,,,,,,,,,,,
11340222,,,,,,,,,,,,,,,,,,,,,350,,350,,,,,,,,,,,,,,,,
11340223,,,,,,,,,,,,,,,,,,,,,400,,400,,,,,,,,,,,,,,,,
11340224,,,,,,,,,,,,,,,,,,,,,450,,450,,,,,,,,,,,,,,,,
11340225,,,,,,,,,,,,,,,,,,,,,500,,500,,,,,,,,,,,,,,,,
11340231,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
11340232,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,
11340233,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,
11340234,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,
11340235,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,
11430011,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430012,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430013,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430021,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430022,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430023,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
11430032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,
11430033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,
11430111,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430112,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430113,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
11430122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,
11430123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,
11430131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,
11430132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,
11430133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,
11430211,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,
11430212,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,
11430213,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,
11430221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,
11430222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,
11430223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,
11430231,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430232,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11430233,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11440011,,,100,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,
11440012,,,150,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,
11440013,,,200,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,
11440014,,,250,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,
11440015,,,300,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,
11440021,,,,,,,100,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,
11440022,,,,,,,150,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,
11440023,,,,,,,200,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,
11440024,,,,,,,250,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,
11440025,,,,,,,300,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,
11440031,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,100,,,
11440032,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,150,,,
11440033,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,200,,,
11440034,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,250,,,
11440035,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,300,,,
11440111,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,100,,,
11440112,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,150,,,
11440113,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,200,,,
11440114,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,250,,,
11440115,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,300,,,
11440121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,,,
11440122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,150,,,
11440123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,200,,,
11440124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,250,,,
11440125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,300,,,
11440131,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,100,,,,,,
11440132,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,150,,,,,,
11440133,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,200,,,,,,
11440134,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,250,,,,,,
11440135,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,300,,,,,,
11440211,,,,,,,100,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,
11440212,,,,,,,150,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,
11440213,,,,,,,200,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,
11440214,,,,,,,250,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,
11440215,,,,,,,300,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,
11440221,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
11440222,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,
11440223,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,
11440224,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,
11440225,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,
11440231,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,
11440232,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,
11440233,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,
11440234,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,
11440235,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,
11530011,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
11530012,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,
11530013,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,
11530021,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,
11530022,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,
11530023,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,
11530031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
