id,hp_max_Final,phy_atk_Final,mag_atk_Final,phy_dfs_Final,mag_dfs_Final,crit_atk_ratio,crit_dfs_ratio,crit_atk_value,crit_dfs_value,hit_rate_value,evade_value,normal_atk_up,normal_dfs_up,skillAtkUp,skillDfsUp,ultraAtkUp,ultraDfsUp,skill_phy_atk_up,skill_phy_dfs_up,skill_mag_atk_up,skill_mag_dfs_up,cure_up,heal_up,phyPen,magPen,final_dmg
1007,0.093,1.667,0.182,0.59,0.577,0.395,0.395,0.395,0.395,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1008,0.144,0.2,1.465,0.69,0.707,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1009,0.091,0.222,1.62,0.545,0.632,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1012,0.099,1.393,0.206,0.677,0.654,0.405,0.405,0.405,0.405,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1013,0.102,0.203,1.636,0.591,0.594,0.395,0.395,0.395,0.395,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1014,0.102,1.379,0.203,0.691,0.65,0.37,0.37,0.37,0.37,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1024,0.102,1.373,0.197,0.66,0.657,0.399,0.399,0.399,0.399,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1031,0.1,1.313,0.205,0.675,0.649,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
2001,0.101,1.54,0.197,0.68,0.684,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
2005,0.099,1.421,0.199,0.657,0.68,0.387,0.387,0.387,0.387,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
2006,0.099,1.414,0.198,0.68,0.663,0.381,0.381,0.381,0.381,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
2007,0.096,0.2,1.636,0.591,0.606,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
2008,0.099,0.202,1.596,0.606,0.591,0.377,0.377,0.377,0.377,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
2009,0.098,1.313,0.2,0.646,0.686,0.414,0.414,0.414,0.414,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
2011,0.101,0.197,1.596,0.609,0.612,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
2019,0.099,0.203,1.612,0.588,0.609,0.387,0.387,0.387,0.387,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
2020,0.099,1.579,0.198,0.68,0.663,0.381,0.381,0.381,0.381,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
2021,0.101,1.379,0.197,0.68,0.684,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
2041,0.15,0.2,1.45,0.7,0.7,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
3002,0.099,1.32,0.199,0.652,0.675,0.387,0.387,0.387,0.387,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
3003,0.099,1.414,0.198,0.68,0.663,0.381,0.381,0.381,0.381,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
3004,0.098,1.421,0.199,0.66,0.68,0.376,0.376,0.376,0.376,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
3005,0.148,0.202,1.429,0.707,0.69,0.377,0.377,0.377,0.377,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
3006,0.097,1.667,0.205,0.608,0.629,0.391,0.391,0.391,0.391,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
3007,0.098,1.307,0.197,0.682,0.652,0.374,0.374,0.374,0.374,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
3008,0.098,1.366,0.211,0.654,0.705,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
3010,0.099,1.555,0.204,0.638,0.623,0.376,0.376,0.376,0.376,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
3011,0.1,1.3,0.2,0.665,0.665,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
4001,0.099,1.421,0.199,0.657,0.68,0.387,0.387,0.387,0.387,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
4002,0.099,1.313,0.198,0.675,0.658,0.381,0.381,0.381,0.381,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
4003,0.098,1.65,0.199,0.611,0.629,0.376,0.376,0.376,0.376,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
4004,0.099,0.202,1.596,0.606,0.591,0.377,0.377,0.377,0.377,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
4005,0.145,0.205,1.487,0.686,0.711,0.391,0.391,0.391,0.391,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
4006,0.098,1.571,0.197,0.687,0.657,0.374,0.374,0.374,0.374,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1017,0.101,1.393,0.199,0.657,0.677,0.387,0.387,0.387,0.387,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1018,0.099,0.198,1.628,0.606,0.594,0.381,0.381,0.381,0.381,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1019,0.098,1.393,0.199,0.66,0.675,0.379,0.379,0.379,0.379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1022,0.148,0.199,1.465,0.704,0.69,0.377,0.377,0.377,0.377,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
2014,0.099,0.202,1.604,0.609,0.594,0.381,0.381,0.381,0.381,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
2015,0.101,1.601,0.197,0.629,0.633,0.385,0.385,0.385,0.385,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1021,0.149,0.202,1.443,0.704,0.693,0.391,0.391,0.391,0.391,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
1011,0.099,1.555,0.203,0.663,0.68,0.379,0.379,0.379,0.379,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,
