id,comment,eventsID,duration,cd,icd,anim,animType,animAngle,animCenter,ultraAnim,isAtkSpd,next,target,cost,preloadCharacter,preloadFx,preloadBullet
1084,公会荣耀4级,108401,0.1,50,15,,,,,,FALSE,,1,0,,,
1085,公会荣耀5级,108501,0.1,50,15,,,,,,FALSE,,1,0,,,
1101,单体强化1级,110101,0.1,13,2,,,,,,FALSE,,106,0,,,
1102,单体强化2级,110201,0.1,13,2,,,,,,FALSE,,106,0,,,
1103,单体强化3级,110301,0.1,13,2,,,,,,FALSE,,106,0,,,
1104,单体强化4级,110401,0.1,13,2,,,,,,FALSE,,106,0,,,
1105,单体强化5级,110501,0.1,13,2,,,,,,FALSE,,106,0,,,
1111,单体护盾1级,111101,0.1,15,3,,,,,,FALSE,,10111,0,,,
1112,单体护盾2级,111201,0.1,15,3,,,,,,FALSE,,10111,0,,,
1113,单体护盾3级,111301,0.1,15,3,,,,,,FALSE,,10111,0,,,
1114,单体护盾4级,111401,0.1,15,3,,,,,,FALSE,,10111,0,,,
1115,单体护盾5级,111501,0.1,15,3,,,,,,FALSE,,10111,0,,,
1121,雷电三连击1级,"112101,112102,112103,112601",0.1,20,5,,,,,,FALSE,,10112,0,,,
1122,雷电三连击2级,"112201,112202,112203,112601",0.1,20,5,,,,,,FALSE,,10112,0,,,
1123,雷电三连击3级,"112301,112302,112303,112601",0.1,20,5,,,,,,FALSE,,10112,0,,,
1124,雷电三连击4级,"112401,112402,112403,112601",0.1,20,5,,,,,,FALSE,,10112,0,,,
1125,雷电三连击5级,"112501,112502,112503,112601",0.1,20,5,,,,,,FALSE,,10112,0,,,
1141,奥术智慧1级,104101,1,999,0,,,,,,FALSE,,1,0,,,
1142,奥术智慧2级,104201,1,999,0,,,,,,FALSE,,1,0,,,
1143,奥术智慧3级,104301,1,999,0,,,,,,FALSE,,1,0,,,
1144,奥术智慧4级,104401,1,999,0,,,,,,FALSE,,1,0,,,
1145,奥术智慧5级,104501,1,999,0,,,,,,FALSE,,1,0,,,
3011,正义荣耀1级,301101,0.1,15,2,,,,,,FALSE,,30101,0,,,
3012,正义荣耀2级,301201,0.1,15,2,,,,,,FALSE,,30101,0,,,
3013,正义荣耀3级,301301,0.1,15,2,,,,,,FALSE,,30101,0,,,
3014,正义荣耀4级,301401,0.1,15,2,,,,,,FALSE,,30101,0,,,
3015,正义荣耀5级,301501,0.1,15,2,,,,,,FALSE,,30101,0,,,
3021,雷电强化1级,302101,0.1,20,5,,,,,,FALSE,,30201,0,,,
3022,雷电强化2级,302201,0.1,20,5,,,,,,FALSE,,30201,0,,,
3023,雷电强化3级,302301,0.1,20,5,,,,,,FALSE,,30201,0,,,
3024,雷电强化4级,302401,0.1,20,5,,,,,,FALSE,,30201,0,,,
3025,雷电强化5级,302501,0.1,20,5,,,,,,FALSE,,30201,0,,,
3031,阵营被动-暴击1级,303101,0,0,0,,,,,,FALSE,,1,0,,,
3032,阵营被动-暴击2级,303201,0,0,0,,,,,,FALSE,,1,0,,,
3033,阵营被动-暴击3级,303301,0,0,0,,,,,,FALSE,,1,0,,,
3034,阵营被动-暴击4级,303401,0,0,0,,,,,,FALSE,,1,0,,,
3035,阵营被动-暴击5级,303501,0,0,0,,,,,,FALSE,,1,0,,,
3041,次元斩1级,"304101,304102,304103",6,50,15,,,,,,FALSE,,28,0,,,
3042,次元斩2级,"304201,304202,304203",6,50,15,,,,,,FALSE,,28,0,,,
3043,次元斩3级,"304301,304302,304303",6,50,15,,,,,,FALSE,,28,0,,,
3044,次元斩4级,"304401,304402,304403",6,50,15,,,,,,FALSE,,28,0,,,
3045,次元斩5级,"304501,304502,304503",6,50,15,,,,,,FALSE,,28,0,,,
3051,持续回血1级,305101,0.1,15,6,,,,,,FALSE,,24,0,,,
3052,持续回血2级,305201,0.1,15,6,,,,,,FALSE,,24,0,,,
3053,持续回血3级,305301,0.1,15,6,,,,,,FALSE,,24,0,,,
3054,持续回血4级,305401,0.1,15,6,,,,,,FALSE,,24,0,,,
3055,持续回血5级,305501,0.1,15,6,,,,,,FALSE,,24,0,,,
3061,群体护盾1级,306101,0.1,30,8,,,,,,FALSE,,27,0,,,
3062,群体护盾2级,306201,0.1,30,8,,,,,,FALSE,,27,0,,,
3063,群体护盾3级,306301,0.1,30,8,,,,,,FALSE,,27,0,,,
3064,群体护盾4级,306401,0.1,30,8,,,,,,FALSE,,27,0,,,
3065,群体护盾5级,306501,0.1,30,8,,,,,,FALSE,,27,0,,,
3071,阵营被动-牺牲1级,307101,0,0,0,,,,,,FALSE,,1,0,,,
3072,阵营被动-牺牲2级,307201,0,0,0,,,,,,FALSE,,1,0,,,
3073,阵营被动-牺牲3级,307301,0,0,0,,,,,,FALSE,,1,0,,,
3074,阵营被动-牺牲4级,307401,0,0,0,,,,,,FALSE,,1,0,,,
3075,阵营被动-牺牲5级,307501,0,0,0,,,,,,FALSE,,1,0,,,
3081,尘世庇护1级,308101,0.1,40,15,,,,,,FALSE,,30201,0,,,
3082,尘世庇护2级,308201,0.1,40,15,,,,,,FALSE,,30201,0,,,
3083,尘世庇护3级,308301,0.1,40,15,,,,,,FALSE,,30201,0,,,
3084,尘世庇护4级,308401,0.1,40,15,,,,,,FALSE,,30201,0,,,
3085,尘世庇护5级,308501,0.1,40,15,,,,,,FALSE,,30201,0,,,
299701,帝国弓骑士普攻,6048011,1.33,0,0,attack,,"56,-11","-0.161,1.347",,TRUE,,1001,0,,,6048011
299702,帝国弓骑士近战普攻,6048021,1.03,0,0,melee,,,,,TRUE,,1000,0,,,
400011,娜迦普攻,"4000111,4000112",1.4,0,0,attack,,,,,TRUE,,3,0,,,4000111
400012,娜迦技能一,4000121,2,0,0,skill01,,,,,TRUE,,4000121,0,,,
400013,娜迦技能二,4000131,1.94,0,0,skill02,,,,,TRUE,,4000131,0,,,
400014,娜迦技能三,4000141,1.67,0,0,skill03,,,,,TRUE,,1,0,,,
400015,娜迦技能四,4000151,3.74,0,0,skill04,,,,,TRUE,,28,0,,,
400016,娜迦技能五,4000161,2.4,0,0,skill05,,,,,TRUE,,1,0,,,
400017,娜迦奥义,"4000171,4000172,4000173,4000174,4000175",3.94,0,0,ultraSkill,,,,40001,TRUE,,28,0,,,
600101,帝国骑士普攻,6001011,1.1,0,0,attack,,,,,TRUE,,1000,0,,,
600102,帝国骑士技能一,6001021,1.2,9,0,skill_01,,,,,TRUE,,3,4,,,
600201,帝国弓骑士普攻,6002011,1.2,0,0,attack,,"60,-30","-0.4326246,1.145236",,TRUE,,1001,0,,,6002011
600202,帝国弓骑士近战普攻,6002021,0.9,0,0,melee,,,,,TRUE,,1000,0,,,
600203,帝国弓骑士技能一,6002031,1.5,0,0,skill_01,,"60,-30","-0.4052839,1.101152",,TRUE,,1001,0,,,6002021
600204,帝国弓骑士技能二起手,,0.33,0,0,skill_02_start,1,,,,TRUE,600205,1,0,,,6002031
600205,帝国弓骑士技能二循环,"6002051,6002052,6002053,6002054,6002055",5,0,0,skill_02_loop,2,"60,-30","-0.4825846,0.9113345",,TRUE,,3,0,,,
600206,帝国弓骑士技能二结束,,0.27,0,0,skill_02_end,,,,,TRUE,,1,0,,,
600207,帝国弓骑士技能三,"6002071,6002072,6002073,6002074,6002075",1.2,9,0,skill_03,,,,,TRUE,,6014046,4,,,
600301,阳光圣典普攻,6003011,0.9,0,0,attack,,,,,TRUE,,1001,0,,,
600302,阳光圣典近战普攻,6003021,0.9,0,0,melee,,,,,TRUE,,1000,0,,,
600303,阳光圣典技能一,"6003031,6003032,6003033,6003034",1.1,9,0,skill01,,,,,TRUE,,6003031,4,,,
600401,火焰天使普攻,6004011,0.97,0,0,attack,,,,,TRUE,,1000,0,,,
600402,火焰天使技能一,6004021,1.2,9,0,skill01,,,,,TRUE,,1000,4,,,
600403,火焰天使特效,6004031,0,0,0,,,,,,TRUE,,1,0,,,
600501,冒险者坦克普攻,6005011,1.1,0,0,attack,,,,,TRUE,,1000,0,,,
600502,冒险者坦克技能一,6005021,1.5,9,0,skill01,,,,,TRUE,,1,4,,,
600505,冒险者坦克技能二,6005051,1.43,0,0,skill02,,,,,TRUE,,6005051,0,,,
600601,冒险者战士普攻,6006011,1.1,0,0,attack,,,,,TRUE,,3,0,,,
600602,冒险者战士技能一,6006021,1.2,0,0,skill_01,,,,,TRUE,,1000,0,,,
600603,冒险者战士技能二,6006031,2.17,9,0,skill02,,,,,TRUE,,6006031,4,,,
600604,冒险者战士普攻带击退,6006041,1.1,0,0,attack,,,,,TRUE,,1000,0,,,
600701,冒险者法师普攻,6007011,1,0,0,attack,,,,,TRUE,,1001,0,,,6007011
600702,冒险者法师近战普攻,6007021,0.9,0,0,melee,,,,,TRUE,,1000,0,,,
600703,冒险者法师技能一,6007031,0.9,9,0,skill_01,,,,,TRUE,,6007031,4,,,
600704,冒险者法师技能二,6007041,2.43,0,0,skill_02,,,,,TRUE,,3,0,,,
600801,冒险者刺客普攻,6008011,1,0,0,attack,,,,,TRUE,,3,0,,,
600802,冒险者刺客技能一,6008021,1.7,9,0,skill_01,,,,,TRUE,,1,4,,,
600803,冒险者刺客技能一,6008031,1.7,0,0,skill_01,,,,,TRUE,,1,0,,,
600804,冒险者刺客技能二,"6008041,6008042",1.7,0,0,skill_02,,,,,TRUE,,2,0,,,
600901,冒险者辅助普攻,6009011,0.9,0,0,attack,,,,,TRUE,,1001,0,,,6009011
600902,冒险者辅助近战普攻,6009021,0.9,0,0,melee,,,,,TRUE,,1000,0,,,
600903,冒险者辅助加血,6009031,0.9,0,0,skill_01,,,,,TRUE,,6009031,0,,,
600904,冒险者辅助群体加血,6009041,2.1,9,0,skill_02,,,,,TRUE,,101,4,,,
601001,哥布林战士普攻,6010011,0.9,0,0,attack,,,,,TRUE,,1000,0,,,
601002,哥布林战士技能一,6010021,1.3,9,0,skill_01,,,,,TRUE,,3,4,,,
601005,哥布林战士普攻击退,6010051,0.9,0,0,attack,,,,,TRUE,,1000,0,,,
601006,哥布林战士技能二,6010061,1.3,0,0,skill_02,,,,,TRUE,,6010061,0,,,
601101,哥布林射手普攻,6011011,1.3,0,0,attack,,"50,-30","0.1310329,0.9582187",,TRUE,,3,0,,,6011011
601102,哥布林射手近战普攻,6011021,0.9,0,0,melee,,,,,TRUE,,1000,0,,,
601103,哥布林射手技能一,"6011031,6011032,6011033",1.4,9,0,skill_01,,,,,TRUE,,28,4,,,6011031
601104,哥布林射手技能二,6011041,1.57,0,0,skill_02,,,,,TRUE,,3,0,,,6011041
601201,冒险者僵尸战士普攻,6012011,1.4,0,0,attack,,,,,TRUE,,1000,0,,,
601205,冒险者僵尸战士被动伤害,6012051,0,0,0,,,,,,TRUE,,1,0,,,
601206,冒险者僵尸战士被动特效,6012061,0,0,0,,,,,,TRUE,,1,0,,,
601301,骷髅战士普攻,6013011,1.1,0,0,attack,,,,,TRUE,,1000,0,,,
601302,骷髅战士技能一,6013021,1.5,9,0,skill_01,,,,,TRUE,,1,4,,,
601303,骷髅战士技能二,6013031,1.5,0,0,skill_02,,,,,TRUE,,6005051,0,,,
601306,骷髅战士普攻,6013061,1.1,0,0,attack,,,,,TRUE,,1000,0,,,
601401,骷髅弓箭手普攻,6014011,1.2,0,0,attack,,"60,-30","-0.0237571,1.250789",,TRUE,,1001,0,,,6014011
601402,骷髅弓箭手近战普攻,6014021,0.9,0,0,melee,,,,,TRUE,,1000,0,,,
601403,骷髅弓箭手技能一,6014031,1.5,0,0,skill_01,,"60,-30","-0.3308589,0.9818555",,TRUE,,3,0,,,6014032
601404,骷髅弓箭手技能二,"6014041,6014042,6014043,6014044,6014045",2,9,0,skill_02,,,,,TRUE,,6014046,4,,,
601405,骷髅弓箭手技能三,"6014051,6014052,6014053,6014054,6014055,6014056",1.97,0,0,skill_03,,,,,TRUE,,3,0,,,
601406,骷髅弓箭手技能四起手,,0.33,0,0,skill_04_start,1,,,,TRUE,601407,1,0,,,6014071
601407,骷髅弓箭手技能四循环,"6014071,6014072,6014073,6014074,6014075",5,0,0,skill_04_loop,2,"60,-30","-0.3308589,0.9818555",,TRUE,,3,0,,,
601408,骷髅弓箭手技能四结束,,0.27,0,0,skill_04_end,,,,,TRUE,,1,0,,,
601501,骷髅骑兵普攻,6015011,0.77,0,0,attack,,,,,TRUE,,1000,0,,,
601502,骷髅骑兵技能一,"6015021,6015022",1.34,0,0,skill_01,,,,,TRUE,,3,0,,,
601503,骷髅骑兵技能二,6015031,2.7,9,0,skill_02,,,,,TRUE,,29,4,,,
601504,骷髅骑兵技能三,6015041,2,0,0,skill_03,,,,,TRUE,,6015041,0,,,
601601,食人魔普攻,6016011,1.2,0,0,attack,,,,,TRUE,,3,0,,,
601602,食人魔技能一,"6016021,6016022",2.6,9,0,skill_01,,,,,TRUE,,6016021,4,,,
601604,食人魔技能二,"6016041,6016042",3,0,0,skill_02,,,,,TRUE,,1,0,,,
601701,冒险者射手普攻,6017011,1.2,0,0,attack,,"60,-30","-0.1204462,1.396668",,TRUE,,1001,0,,,6017011
601702,冒险者射手近战普攻,6017021,0.9,0,0,melee,,,,,TRUE,,1000,0,,,
601703,冒险者射手技能一,6017031,1.5,0,0,skill_01,,"60,-30","-0.4360422,1.150746",,TRUE,,3,0,,,6017032
601704,冒险者射手技能二,"6017041,6017042,6017043,6017044,6017045",1.2,9,0,skill_02,,,,,TRUE,,6014046,4,,,
601705,冒险者射手技能四起手,,0.33,0,0,skill_04_start,1,,,,TRUE,601706,1,0,,,6017061
601706,冒险者射手技能四循环,"6017061,6017062,6017063,6017064,6017065",5,0,0,skill_04_loop,2,"60,-30","0.2587669,1.381886",,TRUE,,3,0,,,
601707,冒险者射手技能四结束,,0.27,0,0,skill_04_end,,,,,TRUE,,1,0,,,
601708,冒险者射手技能五,"6017081,6017082,6017083,6017084,6017085,6017086",2,0,0,skill_03,,,,,TRUE,,3,0,,,6017032
601801,蜥蜴人坦克普攻,6018011,0.94,0,0,attack,,,,,TRUE,,1000,0,,,
601803,蜥蜴人坦克技能一,"6018031,6018032",1.97,9,0,skill01,,,,,TRUE,,1000,4,,,
601901,蜥蜴人战士普攻,6019011,0.967,0,0,attack,,,,,TRUE,,1000,0,,,
601903,蜥蜴人战士技能一,6019031,1.3,9,0,skill01,,,,,TRUE,,1000,4,,,
601904,蜥蜴人战士普攻包围战,6019041,0.967,0,0,attack,,,,,TRUE,,1000,0,,,
602001,蜥蜴人法师普攻,6020011,0.9,0,0,attack,,,,,TRUE,,1001,0,,,6020011
602002,蜥蜴人法师近战普攻,6020021,1.1,0,0,melee,,,,,TRUE,,1000,0,,,
602004,蜥蜴人法师技能一,6020041,1.933,9,0,skill01,,,,,TRUE,,3,4,,,
602101,蜥蜴人刺客普攻,6021011,0.833,0,0,attack,,,,,TRUE,,1000,0,,,
602103,蜥蜴人刺客技能一,6021031,1.7,9,0,skill01,,,,,TRUE,,107,4,,,6021031
602201,蜥蜴人辅助普攻,6022011,1.07,0,0,attack,,,,,TRUE,,1001,0,,,6022011
602202,蜥蜴人辅助近战普攻,6022021,0.97,0,0,melee,,,,,TRUE,,1000,0,,,
602203,蜥蜴人辅助技能一回血,6022031,1.5,9,0,skill01,,,,,TRUE,,103,4,,,
602301,蜥蜴人射手普攻,6023011,1.17,0,0,attack,,"66,-12","0.102,1.29",,TRUE,,3,0,,,6023011
602302,蜥蜴人射手近战普攻,"6023021,6023022",1.1,0,0,melee,,,,,TRUE,,1000,0,,,
602304,蜥蜴人射手技能一,6023041,2.1,9,0,skill01,,"66,-12","-0.419,1.29",,TRUE,,3,4,,,6023041
602401,亡灵狼普攻,6024011,1.07,0,0,attack,,,,,TRUE,,1000,0,,,
602402,亡灵狼技能一,6024021,1.17,9,0,skill01,,,,,TRUE,,1000,4,,,
602501,亡灵熊普攻,6025011,1,0,0,attack,,,,,TRUE,,1000,0,,,
602502,亡灵熊技能一,6025021,1.67,9,0,skill01,,,,,TRUE,,101,4,,,
602601,亡灵野猪普攻,6026011,1,0,0,attack,,,,,TRUE,,1000,0,,,
602602,亡灵野猪技能一,6026021,1.1,9,0,skill01,,,,,TRUE,,1000,4,,,
602701,湿地精灵普攻,6027011,2,0,0,attack,,,,,TRUE,,1000,0,,,
602702,湿地精灵技能一,"6027021,6027022,6027023,6027024",3.97,9,0,skill01,,,,,TRUE,,1000,4,,,
602801,僵尸彼得莫克普攻,6028011,1.33,0,0,attack,,,,,TRUE,,1000,0,,,
602802,僵尸彼得莫克技能一,"6028021,6028022",2.17,9,0,skill01,,,,,TRUE,,1000,4,,,
602901,僵尸卢克诺克普攻,6029011,1.7,0,0,attack,,"58,-12","-0.235,1.485",,TRUE,,1001,0,,,6029011
602902,僵尸卢克诺克近战普攻,"6029021,6029022",2.33,0,0,melee,,,,,TRUE,,1000,0,,,
602903,僵尸卢克诺克技能一,6029031,2.83,9,0,skill01,,,,,TRUE,,3,4,,,
603001,僵尸达因普攻,6030011,1.6,0,0,attack,,,,,TRUE,,1000,0,,,
603002,僵尸达因奥义,6030021,1.33,9,0,skill,,,,,TRUE,,101,4,,,
603101,八指坦克普攻,6031011,1.33,0,0,attack,,,,,TRUE,,1000,0,,,
603102,八指坦克技能一,6031021,1.5,0,0,skill01,,,,,TRUE,,997,0,,,
603103,八指坦克奥义,6031031,1.27,9,0,skill02,,,,,TRUE,,101,4,,,
603201,八指法师普攻,6032011,1.33,0,0,attack,,,,,TRUE,,1001,0,,,6032011
603202,八指法师近战普攻,6032021,1.33,0,0,melee,,,,,TRUE,,1000,0,,,
603203,八指法师技能一,6032031,1.53,0,0,skill01,,,,,TRUE,,1001,0,,,6032031
603204,八指法师奥义,6032041,2.53,9,0,skill04,,,,,TRUE,,1001,4,,,
603301,八指刺客普攻,6033011,1.27,0,0,attack,,,,,TRUE,,1000,0,,,
603302,八指刺客技能一,6033021,1.67,0,0,skill02,,,,,TRUE,,1,0,,,
603303,八指刺客奥义,6033031,2.1,9,0,skill05,,,,,TRUE,,1000,4,,,
603304,八指刺客普攻-包围战,6033041,1.27,0,0,attack,,,,,TRUE,,1000,0,,,
603401,八指辅助普攻,6034011,1.33,0,0,attack,,,,,TRUE,,1001,0,,,
603402,八指辅助近战普攻,6034021,1.17,0,0,melee,,,,,TRUE,,1000,0,,,
603403,八指辅助技能一,6034031,2.17,0,0,skill02,,,,,TRUE,,24,0,,,6034031
603404,八指辅助奥义,6034041,2,9,0,skill05,,,,,TRUE,,101,4,,,
603501,八指射手普攻,6035011,1.33,0,0,attack,,"52,-9","-0.053,1.5",,TRUE,,1001,0,,,6035011
603502,八指射手近战普攻,6035021,1.33,0,0,melee,,,,,TRUE,,1000,0,,,
603504,八指射手技能一,6035041,1.47,0,0,skill01,,"52,-9","-0.473,0.926",,TRUE,,1001,0,,,6035041
603505,八指射手奥义,6035051,3,9,0,skill06,,"46,-22","-0.819,1.143",,TRUE,,22,4,,,6035051
603601,八指战士普攻,6036011,1.33,0,0,attack,,,,,TRUE,,1000,0,,,
603602,八指战士技能一,6036021,1.17,0,0,skill02,,,,,TRUE,,1000,0,,,
603603,八指战士奥义,"6036031,6036032",2,9,0,skill04,,,,,TRUE,,101,4,,,
603701,六臂坦克普攻,6037011,1.33,0,0,attack,,,,,TRUE,,1000,0,,,
603702,六臂坦克技能一,6037021,1.5,0,0,skill01,,,,,TRUE,,1000,0,,,
603703,六臂坦克技能二,"6037031,6037032,6037033",2,0,0,skill03,,,,,TRUE,,1,0,,,
603704,六臂坦克奥义,6037041,1.27,9,0,skill02,,,,,TRUE,,101,4,,,
603801,六臂法师普攻,6038011,1.33,0,0,attack,,,,,TRUE,,1001,0,,,6038011
603802,六臂法师近战普攻,6038021,1.33,0,0,melee,,,,,TRUE,,1000,0,,,
603803,六臂法师技能一,6038031,1.53,0,0,skill01,,,,,TRUE,,1001,0,,,6038031
603804,六臂法师奥义,6038041,2.5,9,0,skill05,,,,,TRUE,,1001,4,,,
603901,六臂刺客普攻,6039011,1.27,0,0,attack,,,,,TRUE,,1000,0,,,
603903,六臂刺客奥义,"6039031,6039032",1.5,9,0,skill03,,,,,TRUE,,107,4,,,
604001,六臂辅助普攻,6040011,1.33,0,0,attack,,,,,TRUE,,1001,0,,,
604002,六臂辅助近战普攻,6040021,1.17,0,0,melee,,,,,TRUE,,1000,0,,,
604003,六臂辅助奥义,6040031,2,9,0,skill05,,,,,TRUE,,101,4,,,
604101,六臂射手普攻,6041011,1.33,0,0,attack,,"52,-9","-0.053,1.5",,TRUE,,1001,0,,,6041011
604102,六臂射手近战普攻,6041021,1.33,0,0,melee,,,,,TRUE,,1000,0,,,
604104,六臂射手奥义,6041041,3,9,0,skill06,,"46,-22","-0.819,1.143",,TRUE,,107,4,,,6041041
604201,六臂战士普攻,6042011,1.33,0,0,attack,,,,,TRUE,,1000,0,,,
604202,六臂战士技能一,6042021,1.47,0,0,skill03,,,,,TRUE,,1,0,,,
604203,六臂战士奥义,6042031,1.17,9,0,skill02,,,,,TRUE,,1000,4,,,
604501,地狱猎犬普攻,6045011,1.13,0,0,attack,,,,,TRUE,,3,0,,,
604502,地狱猎犬近战普攻,6045021,1,0,0,melee,,,,,TRUE,,3,0,,,
604503,地狱猎犬技能一,"6045031,6045032,6045033",1.26,0,0,skill01,,,,,TRUE,,3,0,,,
604504,地狱猎犬技能二,"6045041,6045042,6045043",2.56,9,0,skill02,,,,,TRUE,,6045041,4,,,
604601,王城坦克普攻,6046011,1.33,0,0,attack,,,,,TRUE,,1000,0,,,
604602,王城坦克技能一,6046021,1.27,0,0,skill02,,,,,TRUE,,103,0,,,
604603,王城坦克奥义,"6046031,6046032,6046033",2,9,0,skill03,,,,,TRUE,,1000,4,,,
604701,王城战士普攻,6047011,1.17,0,0,attack,,,,,TRUE,,1000,0,,,
604702,王城战士技能一,6047021,1.47,0,0,skill03,,,,,TRUE,,1,0,,,
604703,王城战士奥义,6047031,2,9,0,skill04,,,,,TRUE,,1000,4,,,
604801,王城卫兵弓箭手普攻,6048011,1.33,0,0,attack,,"56,-11","-0.161,1.347",,TRUE,,1001,0,,,6048011
604802,王城卫兵弓箭手近战普攻,6048021,1.03,0,0,melee,,,,,TRUE,,1000,0,,,
604803,王城卫兵弓箭手技能一,6048031,1.2,0,0,skill05,,,,,TRUE,,1,0,,,
604804,王城卫兵弓箭手奥义,6048041,3.27,9,0,skill06,,"50,-11","-0.5,1.17",,TRUE,,1001,4,,,6048041
604805,王城卫兵弓箭手技能二,"6048051,6048052,6048053,6048054,6048055,6048056",2.6,0,0,skill02,,,,,TRUE,,6048051,0,,,
604901,王城法师普攻,6049011,1.33,0,0,attack,,,,,TRUE,,1001,0,,,6049011
604902,王城法师近战普攻,6049021,1.33,0,0,melee,,,,,TRUE,,1000,0,,,
604903,王城法师技能一,6049031,1.83,0,0,skill02,,,,,TRUE,,998,0,,,
604904,王城法师奥义,6049041,2.5,9,0,skill05,,,,,TRUE,,1001,4,,,
605101,精英人类战士普攻,"6051011,6051012",1.4,0,0,attack,,,,,TRUE,,1000,0,,,
605102,精英人类战士技能一,6051021,3.2,0,0,skill01,,,,,TRUE,,6051021,0,,,
605103,精英人类战士技能二,6051031,1.74,0,0,skill02,,,,,TRUE,,6051031,0,,,
605301,精英人类刺客普攻,"6053011,6053012",1.4,0,0,attack,,,,,TRUE,,1000,0,,,
605302,精英人类刺客技能一,6053021,1.7,0,0,skill01,,,,,TRUE,,1,0,,,
605303,精英人类刺客技能二,"6053031,6053032",1.5,0,0,skill02,,,,,TRUE,,2,0,,,
606001,精英蜥蜴人射手普攻,6060011,1.23,0,0,attack,,"60,-30","-0.01384616,1.41035",,TRUE,,1001,0,,,6060011
606002,精英蜥蜴人射手近战普攻,6060021,1.9,0,0,melee,,,,,TRUE,,1000,0,,,
606003,精英蜥蜴人射手技能一,"6060031,6060034",2.7,0,0,skill_01,,,,,TRUE,,3,0,,,
606004,精英蜥蜴人射手技能二,6060041,2.7,0,0,skill_02,,,,,TRUE,,3,0,,,
606701,眷属狼普攻,6067011,1.07,0,0,attack,,,,,TRUE,,1000,0,,,
606702,眷属狼技能一,6067021,1.1,9,0,skill01,,,,,TRUE,,6067021,4,,,
606703,眷属狼普攻,6067031,1.07,0,0,attack,,,,,TRUE,,1000,0,,,
606801,眷属蝙蝠群普攻,6068011,1,0,0,attack,,,,,TRUE,,1001,0,,,6068011
606802,眷属蝙蝠群近战普攻,6068021,1,0,0,melee,,,,,TRUE,,1000,0,,,
606803,眷属蝙蝠群奥义,6068031,1,9,0,skill01,,,,,TRUE,,101,4,,,
606901,暗杀者普攻,6069011,1.1,0,0,attack,,,,,TRUE,,3,0,,,
