id,charaName,aiName,attackinterval,normalAtkID,normalMeleeAtkID,moveAtkID,enterSkillID,warningSkill,uiSkillIDs,skillID,ultraSkillID,acitvePassiveSkills,collideRect,meleeHitRange,remoteHitRange,knockBackDuration,getUpDuration,damagedDuration,enterDuration,bkStartDuration,bkEndDuration,enterDelay,translateData
10021,蜥蜴人刺客,ai10021,700,602101,,,,,,602101,602103,,"0.7,0.4",3,3,1,0.833,0.667,,,,,
10022,蜥蜴人輔助,ai10022,800,602201,602202,,,,,602201,602203,,"0.7,0.4",3,14,1,0.833,0.667,,,,,
10023,蜥蜴人射手,ai10023,600,602301,602302,,,,,602301,602304,,"0.7,0.4",3,14,1,1.167,0.667,,,,,
10024,亡靈狼,ai10024,800,602401,,,,,,602401,602402,602403,"1.4,0.8",3,3,0.967,0.767,0.667,,,,,
10025,亡靈熊,ai10025,1000,602501,,,,,,602501,602502,,"0.7,0.4",3,3,1,1,0.667,,,,,
10026,亡靈野豬,ai10026,800,602601,,,,,,602601,602602,,"1.4,0.8",3,3,1,0.833,0.667,,,,,
10027,濕地精靈,ai10027,1000,602701,,,,,,602701,602702,,"0.7,0.4",3,3,2,2,2,2,,,,
10028,僵屍彼得莫克,ai10028,800,602801,,,,,,602801,602802,"601205,601206","0.7,0.4",3,3,0.767,1,0.667,,,,,
10029,僵屍盧克諾克,ai10029,600,602901,602902,,,,,602901,602903,,"0.7,0.4",3,14,0.867,1.633,0.667,,,,,
10030,僵屍達因,ai10030,800,603001,,,,,,"603001,603002",603002,"601205,601206","0.7,0.4",3,3,0.9,1.433,0.667,,,,,
10031,八指坦克,ai10031,1000,603101,,,,,,"603101,603102,603103",603103,,"0.7,0.4",3,3,0.667,0.9,0.567,,,,,
10032,八指法師,ai10032,800,603201,603202,,,,,"603201,603203,603204",603204,,"0.7,0.4",3,14,0.667,0.9,0.567,,,,,
10033,八指刺客,ai10033,700,603301,,,,,,"603301,603302,603303",603303,,"0.7,0.4",3,3,0.867,0.8,0.633,,,,,
11033,八指刺客包圍戰,ai11033,700,603301,,,,,,"603301,603302,603303,603304",603303,,"0.7,0.4",3,3,0.867,0.8,0.633,,,,,
10034,八指輔助,ai10034,800,603401,603402,,,,,"603401,603403,603404",603404,,"0.7,0.4",3,14,0.833,0.9,0.567,,,,,
10035,八指射手,ai10035,600,603501,603502,,,,,"603501,603504,603505",603505,,"0.7,0.4",3,14,0.667,0.9,0.567,,,,,
10036,八指戰士,ai10036,800,603601,,,,,,"603601,603602,603603",603603,,"0.7,0.4",3,3,0.667,0.9,0.567,,,,,
10037,六臂坦克,ai10037,1000,603701,,,,,,"603701,603702,603703",603704,,"0.7,0.4",3,3,0.667,0.9,0.567,,,,,
10038,六臂法師,ai10038,800,603801,603802,,,,,"603801,603802,603803",603804,,"0.7,0.4",3,14,0.667,0.9,0.567,,,,,
10039,六臂刺客,ai10039,700,603901,,,,,,"603901,603903",603903,,"0.7,0.4",3,3,0.867,0.8,0.633,,,,,
10040,六臂輔助,ai10040,800,604001,604002,,,,,"604001,604002",604003,,"0.7,0.4",3,14,0.833,0.9,0.567,,,,,
10041,六臂射手,ai10041,600,604101,604102,,,,,"604101,604102",604104,,"0.7,0.4",3,14,0.667,0.9,0.567,,,,,
10042,六臂戰士,ai10042,800,604201,,,,,,"604201,604202",604203,,"0.7,0.4",3,3,0.667,0.9,0.567,,,,,
10045,地獄獵犬,ai10045,800,604501,604502,,,,,604503,604504,604505,"0.7,0.4",3,14,1,0.76,0.666,,,,,
10046,王城坦克,ai10046,1000,604601,,,,,,"604601,604602,604603",604603,,"0.7,0.4",3,3,0.667,0.9,0.567,,,,,
10047,王城戰士,ai10047,800,604701,,,,,,"604701,604702,604703",604703,,"0.7,0.4",3,3,0.667,0.9,0.567,,,,,
10048,王城衛兵弓箭手,ai10048,600,604801,604802,,,,,"604801,604802,604803,604804",604804,,"0.7,0.4",3,14,0.967,1.5,0.5,,,,,
11048,王城衛兵弓箭手,ai2997,600,604801,604802,,,,,604805,604804,,"0.7,0.4",3,10,0.967,1.5,0.5,,,,,
10049,王城法師,ai10049,800,604901,604902,,,,,"604901,604902,604903,604904",604904,,"0.7,0.4",3,14,0.667,0.9,0.567,,,,,
10051,精英人類戰士,ai10051,800,605101,,,,,,"605103,605102",,605104,"0.7,0.4",3,3,0.867,1.067,0.733,,,,,
10052,精英人類戰士,ai10051,800,605101,,,,,,"605103,605102",,605104,"0.7,0.4",3,3,0.867,1.067,0.733,,,,,
10053,精英人類刺客,ai10053,700,605301,,,,,,"605302,605303",,605304,"0.7,0.4",3,3,0.867,0.9,0.533,,,,,
10060,精英蜥蜴人射手,ai10060,600,606001,606002,,,,,"606003,606004",,606005,"0.7,0.4",3,14,1,1.167,0.667,,,,,
10067,眷屬狼,ai10067,800,606701,,,,,,"606701,606702",606702,606704,"0.7,0.4",2,3,1,0.767,0.667,1,,,,
11067,眷屬狼-普攻擊退,ai11067,800,606701,,,,,,"606701,606702,606703",606702,606704,"0.7,0.4",2,3,1,0.767,0.667,1,,,,
10068,眷屬蝙蝠群,ai10068,800,606801,606802,,,,,"606801,606802,606803",606803,,"0.7,0.4",3,14,0.5,0.667,1,1,,,,
10069,暗殺者,ai10069,700,606901,,,,,,,606902,,"0.7,0.4",3,3,0.867,0.8,0.633,,,,,
10071,千鞭蟲,ai10071,700,607101,,,,,,607102,607103,607104,"1.4,0.8",3,3,0.833,1.13,0.93,,,,,
10072,劍刀蟲,ai10072,800,607201,,,,,,607202,607205,607207,"0.7,0.4",3,3,1.3,1,0.6,,,,,
10073,硬甲蟲,ai10073,1000,607301,,,,,,607302,607303,,"0.7,0.4",2.5,3,0.866,0.5,0.5,,,,,
100021,帝國弓騎士,ai100021,600,6002101,6002102,,,,,"6002101,6002102,6002103,6002104,6002105,6002106",,,"0.7,0.4",3,14,0.867,1.067,0.733,,,,,
30001,根源之火精靈-主線/歷練,ai30001,800,700101,,,,700199,"700104,700105,700106","700102,700103,700104,700105,700106",700199,"700111,700131","1.4,0.8",3,12,,,,1.23,,,,
31001,根源之火精靈-3技能-混沌之門,ai31001,800,700101,,,,700199,700104,"700102,700103,700104,700105,700106",700199,"700002,700004,700131","1.4,0.8",3,12,,,,1.23,1.6,2.16,,
32001,根源之火精靈-4技能-混沌之門,ai32001,800,700101,,,,700199,"700104,700105,700106","700102,700103,700104,700105,700106",700199,"700002,700004,700111,700131","1.4,0.8",3,12,,,,1.23,1.6,2.16,,
33001,根源之火精靈-全技能-混沌之門,ai33001,800,710101,,,,710199,"710104,700105,710106,700121","710102,710103,710104,700105,710106",710199,"700002,700004,700111,700121,700131","1.4,0.8",3,12,,,,1.23,1.6,2.16,,
34001,根源之火精靈-全技能-低免傷,ai34001,800,710101,,,,710199,"710104,700105,710106,700121","710102,710103,710104,700105,710106",710199,"700111,700121,700131","1.4,0.8",3,12,,,,1.23,1.6,2.16,,
35001,根源之火精靈-全技能-高免傷,ai34001,800,710101,,,,710199,"710104,700105,710106,700141","710102,710103,710104,700105,710106",710199,"700111,700141,700131","1.4,0.8",3,12,,,,1.23,1.6,2.16,,
39001,根源之火精靈-序章【高飛修改版】,ai39001,800,700101,,,,700199,"700104,700105,700106","700102,700103,700104,700108,700106",700199,"700111,700131","1.4,0.8",3,12,,,,1.23,,,,
300011,小火精靈,ai300011,800,7001101,,,,,,7001101,,,"0.7,0.4",10,12,,,,1.23,,,,
300012,根源之火精靈,ai300012,800,700101,,,,700199,"700104,700105,700106,700121","700102,700103,700104,700105,700106",700199,"700000,700121,700109","1.4,0.8",3,12,,,,1.23,,,,
30002,監察權天使-主線/歷練,ai30002,800,700201,,,,700207,"700203,700207","700202,700203,700204,700205,700206,700210",700207,"700000,700211","0.7,0.4",3,14,,,,3,,,,
31002,監察權天使-全技能,ai31002,800,710201,,,,700207,"700203,700206,700207","710202,700203,710204,710205,700206,700210",700207,"700000,700211","0.7,0.4",3,14,,,,3,,,,
30003,威光主天使-主線/歷練,ai30003,800,700301,,,,700311,"700307,700309,700310","700302,700303,700304,700307,700308,700309,700310",700311,700000,"0.7,0.4",3,14,,,,2,,,,
31003,威光主天使-引導,ai31003,800,700301,,,,700312,"700307,700308,700309,700310","700302,700303,700304,700307,700308,700309,700310",700312,700000,"0.7,0.4",3,3,,,,2,,,,
32003,威光主天使-全技能,ai32003,800,700301,,,,700311,"700303,700307,700308,700309,700310","700302,700303,700304,700307,700308,700309,700310",700311,"700000,700313","0.7,0.4",3,14,,,,2,,,,
30004,倉助-主線/歷練,ai30004,1000,700401,,,,700411,"700403,700405,700406","700402,700403,700404,700405,700406,700413",700411,700000,"2.1,1.2",3,3,,,,,,,,
31004,倉助-主線-全技能,ai31004,1000,710401,,,,710411,"710403,710404,700405,710406","710402,710403,710404,700405,710406,710413",710411,700000,"2.1,1.2",3,3,,,,,,,,
39004,倉助-主線【高飛修改版】,ai39004,1000,700401,,,,700411,"700403,700404,700405,700406","700402,700403,700404,700405,700419,700413",700418,700000,"2.1,1.2",3,3,,,,,,,,
300041,倉助,ai30004,1000,700401,,,,700411,"700404,700405,700406","700402,700403,700404,700405,700406,700413",700411,"700000,700409,700410","2.1,1.2",3,3,,,,,,,,
30005,卡吉特-主線/歷練,ai30005,800,700501,,,,700513,"700503,700504,700506,700509","700502,700503,700504,700505,700506,700509",700513,"700000,700516,700517","0.7,0.4",3,14,,,,,,,,
31005,卡吉特-全技能,ai31005,800,710501,,,,710513,"710503,710504,710506,710509","710502,710503,710504,710505,710506,710509",710513,"700000,700512,700516,700517","0.7,0.4",3,14,,,,,,,,
30006,骨龍-主線/歷練,ai30006,800,700602,,,,700610,"700603,700605,700607,700608","700601,700603,700604,700605,700606,700607,700608",700610,700000,"2,2",14,14,,,,5.36,,,,
31006,骨龍-3技能-混沌之門,ai31006,800,700602,,,,700610,"700603,700605,700607","700601,700603,700604,700605,700606,700607,700608",700610,"700000,700002,700004","2,2",14,14,,,,5.36,1.76,2.03,,
32006,骨龍-5技能-混沌之門,ai32006,800,700602,,,,700610,"700603,700605,700607","700601,700603,700604,700605,700606,700607,700608",700610,"700000,700002,700004","2,2",14,14,,,,5.36,1.76,2.03,,
33006,骨龍-全技能-低免傷-混沌之門,ai33006,800,710602,,,,700610,"710603,700605,710607,700608,700609","710601,710603,710604,700605,710606,710607,700608",700610,"700000,700002,700004,700609,700610","2,2",14,14,,,,5.36,1.76,2.03,,
34006,骨龍-全技能-低免傷,ai34006,800,710602,,,,700610,"710603,700605,710607,700608,700609","710601,710603,710604,700605,710606,710607,700608",700610,"700000,700609,700610","2,2",14,14,,,,5.36,1.76,2.03,,
35006,骨龍-全技能-高免傷,ai34006,800,710602,,,,700610,"710603,700605,710607,700608,700609","710601,710603,710604,700605,710606,710607,700608",700610,"700000,700610,700611","2,2",14,14,,,,5.36,1.76,2.03,,
30007,克萊門汀-主線,ai30007,700,700701,,,,700707,"700702,700705,700706,700707","700702,700703,700704,700705,700706,700707,700708,700712",700707,700709,"0.7,0.4",3,3,0.833,0.667,0.6,,,,,30007battle
31007,克萊門汀,ai31007,700,700701,,,,700707,"700702,700705,700706,700707","700702,700703,700704,700705,700706,700707,700708",700707,700709,"0.7,0.4",3,3,0.833,0.667,0.6,,,,,30007battle
30008,布萊恩-主線,ai30008,800,700801,,,,700804,"700802,700805,700806,700804","700802,700803,700804,700805,700806",700804,"700000,700808","1.4,0.8",3,3,0.867,0.833,0.6,,,,,
31008,布萊恩,ai30008,800,700801,,,,700804,"700802,700805,700806,700804","700802,700803,700804,700805,700806",700804,"700000,700807,700808","1.4,0.8",3,3,0.867,0.833,0.6,,,,,
30009,漆黑聖典一席-主線,ai30009,800,700901,,,,700908,"700902,700906,700907,700908","700902,700903,700905,700906",700908,"700000,700907","1.4,0.8",3,3,1.167,1,0.5,3.667,,,,
31009,漆黑聖典一席-3技能,ai31009,800,700901,,,,,700902,"700902,700903,700905,700906,700908",,"700000,700002,700004","1.4,0.8",3,3,1.167,1,0.5,3.667,1.16,1.96,,
32009,漆黑聖典一席-5技能,ai32009,800,700901,,,,,"700902,700906,700907","700902,700903,700905,700906,700908",,"700000,700002,700004,700904","1.4,0.8",3,3,1.167,1,0.5,3.667,1.16,1.96,,
33009,漆黑聖典一席-全技能,ai33009,800,700901,,,,700908,"700902,700904,700906,700907","700902,700903,700905,700906,700908",700908,"700000,700002,700004,700904,700907","1.4,0.8",3,3,1.167,1,0.5,3.667,1.16,1.96,,
34009,漆黑聖典一席-全技能,ai34009,800,700901,,,,700908,"700902,700904,700906,700907","700902,700903,700905,700906,700908",700908,"700000,700904,700907","1.4,0.8",3,3,1.167,1,0.5,3.667,1.16,1.96,,
300091,漆黑聖典一席幻象,ai300091,800,7009011,,,,,,"7009011,7009051",,,"0.7,0.4",3,3,1.167,1,0.5,1,,,,
30010,漆黑聖典第八席,ai30010,1000,701001,,,,701007,"701004,701009,701008,701007","701004,701005,701006,701008,701009",701007,"701002,701003,701010","1.4,0.8",3,3,1,1.333,0.567,,,,,
30011,伊格瓦爾基-主線/歷練,ai30011,600,701101,,,,701106,"701105,701106,701110","701103,701104,701105,701110",701106,700000,"1.4,0.8",3,14,0.867,0.833,0.6,,,,,
30012,夏提雅-主線/歷練,ai30012,800,701201,,,,701205,"701203,701207,701210,701211","701202,701203,701204,701206,701207,701210,701211",701205,"700000,701215","1.4,0.8",3,14,,,,2.333,1.33,2.66,,
300121,英靈戰士-主線,ai300121,800,7012101,,,,,,7012102,,700000,"1.4,0.8",3,14,,,,,,,,
300122,夏提雅-主線表演,ai300122,800,701201,,,,,"701203,701207,701210,701211","701202,701203,701204,701206,701207,701210,701211,701214,701215",701205,700000,"1.4,0.8",3,14,,,,2.333,1.33,2.66,,
30013,伊古瓦-主線,ai30013,800,701301,,,,701302,"701302,701303,701304,701305,701306","701303,701304,701305,701306,701310",701302,"701307,701309","1.4,0.8",3,12,0.767,1,1,,,,,
30014,紮裡尤斯沙沙-主線,ai30014,800,701401,,,,701403,"701402,701403,701406,701407","701406,701407,701408,701410",701403,"701409,700000","1.4,0.8",3,3,0.533,0.5,0.533,,,,,
30015,沙斯林沙沙-主線,ai30015,800,701501,,,,701504,"701502,701503,701504,701505,701506","701502,701503,701509,701505,701506,701507,701508",701504,"701507,701508","1.4,0.8",3,3.5,0.867,1,0.733,,,,,
39015,沙斯林沙沙-722,ai39015,800,701501,,,,701504,"701502,701503,701504,701505,701506","701502,701503,701504,701505,701506,701507,701508",701504,"701507,701508","1.4,0.8",3,3.5,0.867,1,0.733,,,,,
30016,斯修喬喬-主線,ai30016,600,701601,,,,701607,"701602,701603,701607,701608","701603,701604,701605,701607,701608",701607,"701602,701606,701609,701610","1.4,0.8",3,14,0.9,1.033,0.5,,,,,
30017,休古茲茲-主線,ai30017,1000,701708,,,,701705,"701702,701703,701705,701706,701707","701703,701704,701706,701707,701710",701705,"701701,701702,701709","1.4,0.8",3,3,1.033,1.333,0.5,,,,,
30018,澤伯魯咕咕-主線,ai30018,800,701801,,,,701805,"701802,701807,701808","701802,701806,701807,701808",701805,701809,"1.4,0.8",3,3.5,0.933,1.033,0.5,,,,,
30019,諾諾諾-主線,ai30019,1000,701901,,,,,,"701902,701904",701903,"700000,701906","1.4,0.8",3,3,,,,,,,,
30020,庫魯雪魯魯-主線,ai30020,800,702001,,,,,"702004,702005,702006","702004,702005,702006",,702009,"1.4,0.8",3,12,1,0.8,0.633,,,,,
30021,沙丘隆特,ai30021,700,702101,,,,702103,"702102,702104,702105,702108","702102,702104,702105",702103,"702106,702107,702108","1.4,0.8",3,3,0.633,0.9,0.5,,,,,
300211,沙丘隆特的幻象,ai300211,700,702101,,,,,,702101,,,"1.4,0.8",3,3,0.633,0.9,0.5,,,,,
30028,賽巴斯-主線,ai30028,800,3002800,,,,3002805,"3002809,3002805,3002801,3002802,3002803","3002801,3002802,3002803,3002804,3002805,3002806,3002807,3002808,3002809,3002810",3002805,"700000,3002808,3002809,3002810","1.4,0.8",3,3,0.733,0.967,0.5,,,,,30028battle
30029,葛傑夫-主線,ai30029,800,702901,,,,702906,"702903,702904,702905,702906,702907","702903,702904,702905,702907",702906,"700000,702902","1.4,0.8",3,3,0.833,1.1,0.6,,,,,
30046,知拉農首領,ai30046,800,704601,,,,704613,"704603,704604,704606,704609","704602,704603,704604,704605,704606,704609",704613,"700000,704612,704616,700517","0.7,0.4",3,14,,,,,,,,
40001,娜迦 首領,ai40001,800,400011,,,,400017,"400013,400014,400015,400017,400018","400012,400013,400014,400015,400016",400017,"700000,400014,400018","1.4,0.8",3,12,,,,,,,,
51001,骨王,ai51001,800,900101,,,,,,,100104,,"1.4,0.8",3,12,,,,4.66,,,,
52998,死亡骑士,ai52998,800,299801,,,,,,"299802,299803",,"2998041,2998042","1.8,1.6",3,3,0.833,1,0.5,,,,,
510021,希姿德爾塔-1級技能,ai1002,600,1002011,1002001,,,,,1002031,1002041,"1002051,1002021","0.7,0.4",3,14,0.8,1,0.7,,,,,1002battle
510023,希姿德爾塔-3級技能,ai1002,600,1002013,1002003,,,,,1002033,1002043,"1002053,1002023","0.7,0.4",3,14,0.8,1,0.7,,,,,1002battle
510025,希姿德爾塔-5級技能,ai1002,600,1002015,1002005,,,,,1002035,1002045,"1002055,1002025","0.7,0.4",3,14,0.8,1,0.7,,,,,1002battle
510031,露普斯蕾琪娜-1級技能,ai1003,800,1003011,,,,,,"1003021,1003031",1003041,1003051,"0.7,0.4",2.5,3,1.067,1.6,0.833,,,,,
510033,露普斯蕾琪娜-3級技能,ai1003,800,1003013,,,,,,"1003023,1003033",1003043,1003053,"0.7,0.4",2.5,3,1.067,1.6,0.833,,,,,
510035,露普斯蕾琪娜-5級技能,ai1003,800,1003015,,,,,,"1003023,1003035",1003045,1003055,"0.7,0.4",2.5,3,1.067,1.6,0.833,,,,,
510041,雅兒貝德-1級技能,ai1004,1000,1004011,,,,,,"1004021,1004031",1004041,1004051,"0.7,0.4",2,3,0.833,0.933,0.6,,,,,
510043,雅兒貝德-3級技能,ai1004,1000,1004013,,,,,,"1004023,1004033",1004043,1004053,"0.7,0.4",2,3,0.833,0.933,0.6,,,,,
510045,雅兒貝德-5級技能,ai1004,1000,1004015,,,,,,"1004025,1004035",1004045,1004055,"0.7,0.4",2,3,0.833,0.933,0.6,,,,,
510051,科塞特斯-1級技能,ai1005,800,1005011,,,,,,1005021,1005041,"1005031,1005051","0.7,0.4",2.5,3,1.067,0.5,0.6,,,,,
510053,科塞特斯-3級技能,ai1005,800,1005013,,,,,,1005023,1005043,"1005033,1005055","0.7,0.4",2.5,3,1.067,0.5,0.6,,,,,
510055,科塞特斯-5級技能,ai1005,800,1005015,,,,,,1005025,1005045,"1005033,1005055","0.7,0.4",2.5,3,1.067,0.5,0.6,,,,,
510061,塞巴斯蒂安-1級技能,ai1006,800,1006011,,,,,,1006021,1006041,"1006031,1006051","0.7,0.4",2.5,3,1.067,0.5,0.6,,,,,
510063,塞巴斯蒂安-3級技能,ai1006,800,1006013,,,,,,1006023,1006043,"1006033,1006055","0.7,0.4",2.5,3,1.067,0.5,0.6,,,,,
510065,塞巴斯蒂安-5級技能,ai1006,800,1006015,,,,,,1006025,1006045,"1006033,1006055","0.7,0.4",2.5,3,1.067,0.5,0.6,,,,,
510071,亞烏拉-1級技能,ai1007,800,1007011,1007001,,,,,1007021,1007041,"1007031,1007051","0.7,0.4",2.5,5,0.8,0.73,0.5,,,,,
510073,亞烏拉-3級技能,ai1007,800,1007013,1007003,,,,,1007023,1007043,"1007033,1007055","0.7,0.4",2.5,5,0.8,0.73,0.5,,,,,
510075,亞烏拉-5級技能,ai1007,800,1007015,1007005,,,,,1007025,1007045,"1007033,1007055","0.7,0.4",2.5,5,0.8,0.73,0.5,,,,,
510081,馬雷-1級技能,ai1008,800,1008011,,,,,,"1008021,1008031",1008041,1008051,"0.7,0.4",2.5,12,0.87,1.07,1,,,,,
510083,馬雷-3級技能,ai1008,800,1008013,,,,,,"1008023,1008033",1008043,1008053,"0.7,0.4",2.5,12,0.87,1.07,1,,,,,
510085,馬雷-5級技能,ai1008,800,1008015,,,,,,"1008025,1008035",1008045,1008055,"0.7,0.4",2.5,12,0.87,1.07,1,,,,,
510091,迪米烏哥斯-1級技能,ai1009,800,1009011,,,,,,"1009021,1009031",1009041,1009051,"0.7,0.4",2.8,3,0.5,0.833,0.6,,,,,
510093,迪米烏哥斯-3級技能,ai1009,800,1009013,,,,,,"1009023,1009033",1009043,1009053,"0.7,0.4",2.8,3,0.5,0.833,0.6,,,,,
510095,迪米烏哥斯-5級技能,ai1009,800,1009015,,,,,,"1009025,1009035",1009045,1009055,"0.7,0.4",2.8,3,0.5,0.833,0.6,,,,,
