id,value
1164011,拉斐爾的聖裁
1164012,十誡冕冠
1164013,聖靈的衣缽
1164021,女神的訓誡
1164022,輝光白冠
1164023,潔白的風衣
1172001,狼牙吊墜
1172002,工匠指環
1172003,幸運項鍊
1173001,銀十字勳章
1173002,紅楓葉
1173003,啟明星
1173004,自囚鎖鏈
1173005,黃金懷錶
1173006,信仰交易
1174001,尼德霍格毒牙
1174002,荷魯斯的遠視
1174003,阿頓的指引
1174004,魯伯特之淚
1174005,風暴神之骨
1174006,勝利之杯
1183001,標準之劍
1183002,標準之帽
1183003,標準之袍
1183004,標準之戒
1184001,概念之劍
1184002,概念之帽
1184003,概念之袍
1184004,概念之戒
122101,白銀之種
122102,黃金之種
122103,閃光之葉
122104,彩虹之葉
122105,淨化之葉
122106,雷霆之花
122107,寒冰之花
122108,火焰之花
122109,平衡果實
122110,中立果實
122201,白銀鱗片
122202,黃金鱗片
122203,刀鋒之爪
122204,漆黑之爪
122205,劇毒之爪
122206,邪雷之角
122207,惡稠之角
122208,冷炎之角
122209,沉淪之瞳
122210,極惡之瞳
122301,初生瓢蟲
122302,古老瓢蟲
122303,邪能之鼇
122304,翠綠之鼇
122305,赤紅之鼇
122306,邪雷之網
122307,霜凍之網
122308,焚燒之網
122309,墮落之牙
122310,邪惡之牙
122401,治癒之卵
122402,包容之卵
122403,閃光之羽
122404,祝福之羽
122405,純淨之羽
122406,雷霆之尾
122407,寒冰之尾
122408,燃燒之尾
122409,冷靜羽冠
122410,友善羽冠
121001,初級經驗藥水
121002,中級經驗藥水
121003,高級經驗藥水
121004,特級經驗藥水
123201,初級靈犀符石
123202,中級靈犀符石
123203,高級靈犀符石
123204,特級靈犀符石
123301,初級奧秘符石
123302,中級奧秘符石
123303,高級奧秘符石
123304,特級奧秘符石
123101,盾之琥珀
123102,劍之琥珀
123103,匕之琥珀
123104,矢之琥珀
123105,杖之琥珀
123106,愈之琥珀
131001,初級精煉之水
131002,中級精煉之水
131003,高級精煉之水
131004,特級精煉之水
133001,善惡之錐
151001,初級遺世之淚
151002,中級遺世之淚
151003,高級遺世之淚
151004,特級遺世之淚
152201,初級世界草
152301,中級世界草
152401,高級世界草
1600001,初級混沌遺火
1600002,中級混沌遺火
1600003,高級混沌遺火
1600211,白色武器
1600221,藍色武器
1600231,紫色武器
1600241,橙色武器
1600212,白色頭盔
1600222,藍色頭盔
1600232,紫色頭盔
1600242,橙色頭盔
1600213,白色防具
1600223,藍色防具
1600233,紫色防具
1600243,橙色防具
1600224,藍色飾品
1600234,紫色飾品
1600244,橙色飾品
1601001,1級時之沙漏
1601002,2級時之沙漏
1601003,3級時之沙漏
1601004,4級時之沙漏
1601005,5級時之沙漏
1601006,6級時之沙漏
1603001,1級征幣令（<color=#85ce5a>1小時</color>）
1603002,2級征幣令（<color=#85ce5a>2小時</color>）
1603003,3級征幣令（<color=#85ce5a>4小時</color>）
1603004,4級征幣令（<color=#85ce5a>8小時</color>）
1603005,5級征幣令（<color=#85ce5a>12小時</color>）
1603006,6級征幣令（<color=#85ce5a>24小時</color>）
1604001,1級征魂令（<color=#85ce5a>1小時</color>）
1604002,2級征魂令（<color=#85ce5a>2小時</color>）
1604003,3級征魂令（<color=#85ce5a>4小時</color>）
1604004,4級征魂令（<color=#85ce5a>8小時</color>）
1604005,5級征魂令（<color=#85ce5a>12小時</color>）
1604006,6級征魂令（<color=#85ce5a>24小時</color>）
1605001,1級征泉令（<color=#85ce5a>1小時</color>）
1605002,2級征泉令（<color=#85ce5a>2小時</color>）
1605003,3級征泉令（<color=#85ce5a>4小時</color>）
1605004,4級征泉令（<color=#85ce5a>8小時</color>）
1605005,5級征泉令（<color=#85ce5a>12小時</color>）
1605006,6級征泉令（<color=#85ce5a>24小時</color>）
1606001,1級征淚加速（<color=#85ce5a>1小時</color>）
1606002,2級征淚加速（<color=#85ce5a>2小時</color>）
1606003,3級征淚加速（<color=#85ce5a>4小時</color>）
1606004,4級征淚加速（<color=#85ce5a>8小時</color>）
1606005,5級征淚加速（<color=#85ce5a>12小時</color>）
1606006,6級征淚加速（<color=#85ce5a>24小時</color>）
1615001,1級征鐵加速（<color=#85ce5a>0.5小時</color>）
1615002,2級征鐵加速（<color=#85ce5a>1小時</color>）
1615003,3級征鐵加速（<color=#85ce5a>2小時</color>）
1615004,4級征鐵加速（<color=#85ce5a>4小時</color>）
1615005,5級征鐵加速（<color=#85ce5a>8小時</color>）
1615006,6級征鐵加速（<color=#85ce5a>12小時</color>）
1610001,1級征燼加速（<color=#85ce5a>6小時</color>）
1610002,2級征燼加速（<color=#85ce5a>12小時</color>）
1610003,3級征燼加速（<color=#85ce5a>18小時</color>）
1610004,4級征燼加速（<color=#85ce5a>24小時</color>）
1610005,5級征燼加速（<color=#85ce5a>30小時</color>）
1610006,6級征燼加速（<color=#85ce5a>36小時</color>）
1611001,1級鑄兵之錘
1611002,2級鑄兵之錘
1611003,3級鑄兵之錘
1611004,4級鑄兵之錘
1611005,5級鑄兵之錘
1611006,6級鑄兵之錘
1612001,1級鑄盔之錘
1612002,2級鑄盔之錘
1612003,3級鑄盔之錘
1612004,4級鑄盔之錘
1612005,5級鑄盔之錘
1612006,6級鑄盔之錘
1613001,1級鑄甲之錘
1613002,2級鑄甲之錘
1613003,3級鑄甲之錘
1613004,4級鑄甲之錘
1613005,5級鑄甲之錘
1613006,6級鑄甲之錘
1614001,1級雕飾之錘
1614002,2級雕飾之錘
1614003,3級雕飾之錘
1614004,4級雕飾之錘
1614005,5級雕飾之錘
1614006,6級雕飾之錘
1616001,1級魂之祭
1616002,2級魂之祭
1616003,3級魂之祭
1616004,4級魂之祭
1616005,5級魂之祭
1616006,6級魂之祭
1616101,魔晶
1600101,末日熔金
1600102,2級末日熔金
1600103,3級末日熔金
1600104,4級末日熔金
1600105,5級末日熔金
1600106,6級末日熔金
172001,災厄餘燼
172002,中級災厄餘燼
172003,高級災厄餘燼
501001,安茲·烏爾·恭碎片
501002,希姿碎片
501003,露普斯蕾琪娜碎片
501004,雅兒貝德碎片
501005,科塞特斯碎片
501006,賽巴斯碎片
501007,亞烏拉碎片
501008,馬雷碎片
501009,迪米烏哥斯碎片
501010,潘朵拉碎片
501011,索留香碎片
501012,漆黑戰士飛飛碎片
501013,夏提雅碎片
501014,鮮血女武神碎片
501015,亞爾巴頓碎片
501016,恐怖公碎片
501017,由莉碎片
501018,娜貝拉爾碎片
501019,艾多瑪碎片
501020,黑騎士·雅兒貝德碎片
501021,威克提姆碎片
501022,佩斯特妮碎片
501023,絕死絕命碎片
501024,漆黑聖典碎片
501025,時間亂流碎片
501026,四大精靈碎片
501027,神聖咒歌碎片
501028,一人師團碎片
501029,聖擊一掃碎片
501030,占星千里碎片
501031,賽德蘭碎片
501032,布瑪爾查碎片
501033,人類最強碎片
501034,無限魔力碎片
501035,天上天下碎片
502001,美姬娜貝碎片
502002,嫉妒碎片
502003,貪婪碎片
502004,暴怒碎片
502005,葛傑夫碎片
502006,布萊恩碎片
502007,依比魯艾碎片
502008,菈萩絲碎片
502009,格格蘭碎片
502010,緹婭和緹娜碎片
502011,狄瓦諾克碎片
502012,帕爾帕朵拉碎片
502013,岢可道爾碎片
502014,愛雪碎片
502015,伊米娜碎片
502016,羅伯戴克碎片
502017,赫克朗碎片
502018,艾爾亞碎片
502019,伊古瓦碎片
502020,克萊門汀碎片
502021,桀洛碎片
502041,恩菲雷亞碎片
503001,納劄米碎片
503002,倉助碎片
503003,紮裡尤斯·沙沙碎片
503004,沙斯林·沙沙碎片
503005,庫魯雪·魯魯碎片
503006,斯修·喬喬碎片
503007,休古·茲茲碎片
503008,澤伯魯·咕咕碎片
503009,馬姆維斯特碎片
503010,薩丘隆特碎片
503011,克萊姆碎片
503012,勃魯姆拉修侯碎片
503013,尼根碎片
504001,布莉塔碎片
504002,彼得碎片
504003,盧克諾克碎片
504004,尼亞碎片
504005,戴因碎片
504006,伯里斯碎片
504007,格林漢碎片
10001,不淨銀匙
10002,神裁之矛
10003,天幕之盾
10004,羊皮古卷
10005,永恆造星
10006,魔風之鐮
10007,先鋒之槍
10008,統禦之璽
10009,聖靈之盅
10010,瑣碎的往昔
10011,棘刺之矛
10012,獨夫短劍
10013,樓煩箭矢
10014,冥河的紗布
10015,索取與施捨
10016,悲愴之壁
10017,鮮紅之瑰
10018,魔靈斗篷
10019,貝西摩斯之顎
10020,丑角
10021,天之瞳
10022,昏王的愚行
10023,絕對否定
10024,光影之晷
20001,罪欲之肇
20002,闔目的裹布
20003,船夫金幣
20004,撕裂之鋒
20005,背水的決意
20006,諸言萬語碑
20007,爭執的本源
20008,戈爾貢之面
20009,艾爾摩之火
20010,反抗的意志
20011,繁盛意識
20012,陣前的礫石
20013,第五元素
20014,精准命中
20015,無想無念
20016,庇護之淚
30001,法芙納之心
30002,雷暴戰神紋印
30003,原初的惡意
30004,獅鷲之翼
30005,星宮天球
30006,安卡的祝福
1611011,武器buffⅠ
1611012,武器buffⅡ
1611021,武器buffⅢ
1612011,頭盔buffⅠ
1612012,頭盔buffⅡ
1612021,頭盔buffⅢ
1613011,衣服buffⅠ
1613012,衣服buffⅡ
1613021,衣服buffⅢ
1614011,飾品buffⅠ
1614012,飾品buffⅡ
1614021,飾品buffⅢ
1173007,清醒之火
1173008,鎮靜手鐲
1173009,盾之耳飾
1173010,匕之耳飾
1173011,真誠寶石
1173012,龍源之戒
1173013,金凰胸針
1173014,銅木頸圈
1173015,日眷手鐲
1174007,蝠翼胸針
1174008,深紅臂甲
1174009,菱晶耳飾
1174010,羽翼胸針
1174011,鐮之耳飾
1174012,虔之吊墜
1174013,樹心吊墜
1174014,奧能胸針
1174015,貪婪魔戒
1174016,魔能耳飾
1174017,天堂胸針
1174018,魔源吊墜
1174019,火龍之戒
1174020,寒葉胸針
1174021,三位手鐲
1174022,詭月吊墜
